,Unnamed: 0,店铺名称,用户名,评论,sent
0,0,一只酸奶牛（财大店）,RQm625397451,"味道很美味  冬天喝最合适了  物美价廉  「#套餐：【暖暖热饮】暖暖奶香紫米（含酸奶盖）」「#鲜奶紫米露」「#刨酸奶」「#红枣味酸奶紫米露」「#黄桃味酸奶」「#玫瑰味裸酸奶」「#暖暖奶香紫米」「#莓莓小帽」「#草莓朵朵酸奶多」「#卡乐比酸奶杯」
【口味】",1
1,1,一只酸奶牛（财大店）,VJj324710682,第一次点这家的杨枝甘露，搭配酸奶真的绝绝子！芒果很甜很新鲜，酸奶清甜不腻，也不是很冻，冰刚刚好，大杯实惠。服务很好，店家没有椰果了特地用了和我说了给我换别的小料，也很好吃！热量低不长胖，不知比奶茶好多少！,1
2,2,一只酸奶牛（财大店）,雾眠气泡水O,还可以吧 只能做热饮 没有他们家招牌的紫米酸奶好喝 喝到后面 奶油化了融在奶茶里面 喝下去有点腻了 之前想喝冰的 谁知道不能做冰的哈哈哈 好吧 适合冬天 不适合夏天 夏天也喝不下去哈哈哈 一只酸奶牛还是爱和他的家招牌酸奶 其他的emmmm 忙来忙去系列也还可以 但是性价比不高 另外等了很久！ 太难等了,1
3,3,一只酸奶牛（财大店）,匿名用户,这家店做的真得无敌超级难喝了，酸奶很稀，紫米也很硬很硬,1
4,4,一只酸奶牛（财大店）,匿名用户,服务态度差，可能是因为太忙了？反正服务员垮起个练，感觉惹到她了一样,0
5,5,一只酸奶牛（财大店）,自律即自由321,好喝，但是喝一半就腻了有点。太甜太稠了,0
6,6,一只酸奶牛（财大店）,自律即自由321,奶盖好喝。有点太甜蜜了，,1
7,7,一只酸奶牛（财大店）,Noz440438663,买的最划算一次，味道还可以，做卖家生意兴隆,1
8,8,一只酸奶牛（财大店）,ArG504906817,做得太慢了，从下单到拿到等了二十多分钟。,1
9,9,一只酸奶牛（财大店）,果儿Dr.L,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务、团购接待。,1
10,10,一只酸奶牛（财大店）,正在吃饭吃饭,还行吧，这家有燕麦，但我觉得其他家的更好吃,1
