店铺名称,用户名,评论
乡村基（国色天香店）,QuEeN爽倩妹儿,「#套餐：酸豆角肉末盖饭」 【口味】很好吃，酸的很到位，里面还有笋子和肉，看得出来很新鲜。 【环境】周末去的，人挺多的，但作为还是能很快找到，看得出来配套设施齐全。 【服务】服务好的点在于，给小朋友加热水，弄不懂热水机，工作人员很快能帮忙解决问题，唯一不足的就是，热水机的出水率有点低。
乡村基（国色天香店）,tanluilui,乡村基现在是走对路子了，推出了丰盛的儿童套餐，为了孩子吃饭现在多次惠顾乡村基，希望儿童的炒饭软和一点，素菜切小一点，性价比很高，饭菜也可口，比去商场的饭店实惠，现在走儿童路线就是商机啊，不过现在好多饭店还没有这个意识
乡村基（国色天香店）,jfy429161756,一如既往喜欢吃乡村基的东西，不错不错，力挺这样放中式快餐（评论专用啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦，啦啦啦啦啦啦啦啦啦啦，啦啦啦啦啦啦，啦啦啦啦，啦啦啦啦啦啦啦啦啦啦）
乡村基（国色天香店）,匿名用户,口味环境服务态度都还好，一般不需要怎么排队，约2-3分钟即可上菜。 主要是价格偏高，最近暗中涨了价，表现为高德地图上的口碑的乡村基没有9.9元的酸豆角了，套餐最低价就是培根蛋炒饭套餐，全网统一为12.8左右的价格了，以前9.9的我可以一天去吃两顿，现在12.8元的，我只能去吃一次了
乡村基（国色天香店）,扶我起来继续干饭,泡椒鸡杂饭很辣，但我想吃热乎的盖浇饭，结果是凉的，让我感觉很失望，我不习惯吃凉的，而且非常影响口感。也不知道有没有微波炉加热一下。所以感觉不是现炒的，是炒好放在那很久了。烦请店家下次注意一下，如果是小孩子吃的话会受凉拉肚子。如果看到我这条评论请回复我一下谢谢😊！
乡村基（国色天香店）,喝啤酒当漱口,逛了国色天乡，就附近找的吃的，环境很干净。套餐的汤可以换成可乐，饭可以加，这点还是比较人性化的。泡豇豆肉末很下饭，配的小菜味道也还可以，网上直接下单，很方便。中午过了午饭时间了，人不是很多，不需要排队
乡村基（国色天香店）,z281528115,挺好吃的，感觉很划算可以的话包个月吧。这个看着像萝卜的冬瓜，味道微微辣辣的。还可以吧。送的辣酱挺下饭的，就是后颈有点足，鸡排口味还好吧，就是那个脆皮基本没有。炒饭料挺好的，就是饭悄悄有一点硬，不柔软。可能保暖时间长了干了吧。总体来说挺实惠。
乡村基（国色天香店）,dEK489818745,这个是线下取的，不能送餐真的不方便。
乡村基（国色天香店）,就这体力还吃饭,儿童饭的饮料是一个粉粉的饮料，味道还行就是不够冰，成人吃儿童套餐也能吃饱，好吃，喜欢吃炒饭
乡村基（国色天香店）,徐長丶,好吃真的很不错哦@江户川·工藤酱：我买基金肯定不会亏的，因为我懂得风险对冲，我把八成的钱买基金，剩下两成买保险，基金大涨我就赚，基金大跌我跳楼。永远不会赔钱的。[看][强壮]@江户川·工藤酱：我买基金肯定不会亏的，因为我懂得风险对冲，我把八成的钱买基金，剩下两成买保险，基金大涨我就赚，基金大跌我跳楼。永远不会赔钱的。[看][强壮]@江户川·工藤酱：我买基金肯定不会亏的，因为我懂得风险对冲，我把八成的钱买基金，剩下两成买保险，基金大涨我就赚，基金大跌我跳楼。永远不会赔钱的。[看][强壮]我裂幵了哈哈哈哈
乡村基（国色天香店）,,
乡村基（国色天香店）,李佳葶,这个珍珠是什么鬼？结成一坨子，本来是一大坨子，咬成小块才想起拍照，史上最差珍珠啊！
乡村基（国色天香店）,qHq804899904,味道可以，我幺儿子最喜欢吃乡村基的卤肉饭来
乡村基（国色天香店）,喝啤酒当漱口,这鸡排也太小了吧，用的都是小蝶子装，感觉不如来个汉堡还吃的实在些
乡村基（国色天香店）,～裤衩。331,一般吧 没有想象中的好吃，土豆丝没有炒耙
乡村基（国色天香店）,菠菜爱吃冻豆腐,挺好
乡村基（国色天香店）,李豫南940,环境优美，菜品可口，份量适中，服务态度热情
乡村基（国色天香店）,seb797370437,很满意的一次就餐体验，整体评价的话我觉得：服务细致。最近到处的配菜都是萝卜丝，好难吃，也难怪，萝卜最便宜节约成本解放军的并不代表CNN CNC聚聚疾风劲草进进出出家居居家解放军解放军附加费解放军的解放军
乡村基（国色天香店）,LBH829891287,挺不错的，分量足，好吃味道巴适
乡村基（国色天香店）,CIa506186914,太难吃了，特别是那个宫保鸡丁饭，
乡村基（国色天香店）,大树7413,很满意的一次就餐体验，整体评价的话我觉得：性价比。
乡村基（国色天香店）,oJD480585785,很满意的一次就餐体验，整体评价的话我觉得：环境优雅、性价比高、服务细致。比我想象中的要好很多，味道这些也很不错，服务态度非常好，环境优雅，音乐柔和，是非常理想的就餐环境，大家可以来体验一下，非常不错。
乡村基（国色天香店）,布吉岛叫什么7821,支付宝买更便宜 是真的很一般很一般 不好吃 绝了 又干又硬 不推荐
乡村基（国色天香店）,fang08888,不错
乡村基（国色天香店）,IEJ368923265,味道不错，环境优美，人不是很多
乡村基（国色天香店）,亿不小新,可以，很好，很快，一级棒 111111111111111111111111111111
乡村基（国色天香店）,mbt690554967,赞👍
乡村基（国色天香店）,球球有爱哒,鸡排小的可怜，同样的套餐，鸡排一次比一次小，我也是醉了
乡村基（国色天香店）,mingshiwa,"乡村基的黑糖冰粉简直是最佳单品 每次必点
茶味很浓  夏天冰冰凉凉的简直太舒服了
关键是团购价格太便宜了 有时真的愿意为了这杯冰粉去吃乡村基
周末在温江玩 逛累了吃个简餐 真心不错 推荐
这家的位置也很好找 还有地下停车场 方便"
乡村基（国色天香店）,mingshiwa,"周末在温江玩 逛累了吃个简餐
乡村基推出的这个黑糖冰粉奶茶简直太赞了
第三次喝了 每次都很惊艳 6元的价格太划算了
但是今天这个炒饭的套餐配的白菜完全是夹生的 难吃死了
然后蒸蛋挖开后有点黑黑的感觉 
配的炸鸡排也是有点老了"
乡村基（国色天香店）,一梦3千年,挺好的，不错(*๓´╰╯`๓)♡
乡村基（国色天香店）,bsX530887068,这家的乡村基最难吃，咸，还不如去旁边永辉超市吃碗河粉安逸
乡村基（国色天香店）,匿名用户,说说这次用餐感到不太满意的地方吧，主要有：团购接待，希望店家能注意改善。很实惠
乡村基（国色天香店）,GdO756817631,很好吃的一家店，经常去吃，那里的人也很热情，一进门就招呼我，我以为来到了自己家，以后会经常去这家吃饭，还有这里的菜品也特别好吃，每一个菜品都吃过，味道还挺不错的，会推荐给身边的朋友，朋友也觉得挺不错的！！！！！
乡村基（国色天香店）,茜829,一般！品种不是很多，而且饮料也不能续杯！成都的都可以随便续！希望有所改善！
乡村基（国色天香店）,匿名用户,难吃，娃娃吃了几口就不吃了，鸡肉品质很差
乡村基（国色天香店）,玲丶780,这次就餐整体感觉很赞，比较满意的方面有：性价比。
乡村基（国色天香店）,美女9386,还可以
