店铺名称,用户名,评论
五味鲜肉抄手（温江总店）,呵呵呵呵哈哈咿呀,五星推荐⭐️⭐️⭐️⭐️⭐️ 很有特色的一家店铺，早上中午晚上一日三餐都囊括👍👍👍 特色菜品特别多，整个操作间都是可视，很干净卫生，吃的也放心👏👏 菜品都特别新鲜👍 他家的抄手确实不错，小份都完全够，肉很多😋😋好吃就行和老公两个人吃的都比较撑，店家还送了我们一人一份凉糕，天啦，太有心了👍👍👍👏👏👏实力推荐店铺很好找，就在地铁口出口那里，开了很多年的老店了😁 真心不错😄 鸡丝凉面味道也不错，还可以打包，凉菜，卤菜都有，晚上还有烧烤简直了☺️
五味鲜肉抄手（温江总店）,袂卜笙収,"【口味】点了鲫鱼汤抄手和干拌抄手，鲫鱼的汤很好喝，干拌的味道真的是一级棒，推荐推荐。鸭头也很入味，越吃越辣，很好吃。凉面无功无过，和其它店的差不多。卤拼也不错  没吃完还打包了，店家还送了两份凉糕，爱了爱了。
【服务】到了店里说是霸王餐也没有区别对待，上菜速度很快。"
五味鲜肉抄手（温江总店）,枫叶21220,请成都的朋友到五味抄手吃抄手，虽然我已经是他们的忠实粉丝了，还是要给各位吃货们推荐一下。这家百年老店，他家的抄手是我吃过的最好吃的抄手，怪味抄手是我的最爱，兔头鸭头与卤菜也不错。我最喜欢大鸡爪还有烧烤
五味鲜肉抄手（温江总店）,zwJ778932533,总的不错，鲫鱼汤抄手不错，有特色
五味鲜肉抄手（温江总店）,MQy412314208,吃一次就晓得了，绝对不想吃第二次
五味鲜肉抄手（温江总店）,qj198561,非常不错呢，下次再来。上菜也快，味道可以，性价比高
五味鲜肉抄手（温江总店）,匿名用户,味道太咸了，吃着不利于健康啊！
五味鲜肉抄手（温江总店）,qj198561,找到合口味的凉面了，真是不错呢，下次还来？
五味鲜肉抄手（温江总店）,WFS915028952,可以，自己小轻松一下，吃点东西，味道好。环境干净。
五味鲜肉抄手（温江总店）,EjZ392564035,好吃是好吃的。如果可以改良一下我觉得可少点油。
五味鲜肉抄手（温江总店）,,
五味鲜肉抄手（温江总店）,匿名用户,非常不错，值得再来
五味鲜肉抄手（温江总店）,Dze980787769,味道不错，还送了凉糕，服务态度很好
五味鲜肉抄手（温江总店）,雪因子,这次就餐整体感觉很赞，比较满意的方面有：口味、环境。
五味鲜肉抄手（温江总店）,chenhuaihong,此次用餐总体来说不错，觉得比较认可的地方有：口味。
五味鲜肉抄手（温江总店）,GZW龚振伟,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务、团购接待。
五味鲜肉抄手（温江总店）,weZ842266697,味道不错
五味鲜肉抄手（温江总店）,维爱吾悔,今天和同事聚餐，店里太多人来吃了，/今天。服务周到，热情，希望五味抄越做越好
五味鲜肉抄手（温江总店）,mHF701118747,真的很一般，不如牟抄手好吃，皮厚。这家店我们还没吃就想我们给他们好评，五星是不可能的，两星拿走
五味鲜肉抄手（温江总店）,维爱吾悔,味道不错，吃的海味抄手，还是老味道
五味鲜肉抄手（温江总店）,走黯456,好的很啊
五味鲜肉抄手（温江总店）,Elc992221720,～
五味鲜肉抄手（温江总店）,CBj902768060,服务特别好，菜品也非常丰富
五味鲜肉抄手（温江总店）,ang235319544,这家的鸭头超赞，记得吃热的。
五味鲜肉抄手（温江总店）,YKp276976200,服务很好
五味鲜肉抄手（温江总店）,jvY689175538,温江老字号，味道特别好！
五味鲜肉抄手（温江总店）,gWt334099617,不错
五味鲜肉抄手（温江总店）,Qbj558957558,味道很好 服务业好 价格实惠
五味鲜肉抄手（温江总店）,DZv653120051,好吃的巴适
五味鲜肉抄手（温江总店）,CBj902768060,相当巴适
五味鲜肉抄手（温江总店）,ppo769854557,很好哈
五味鲜肉抄手（温江总店）,JUJU805,红油抄手好评
五味鲜肉抄手（温江总店）,走黯456,要的
五味鲜肉抄手（温江总店）,嘿！一起吃吧。,带了很多朋友来吃都很喜欢，还专门让我打包带走哈哈，三年多了，笔芯
五味鲜肉抄手（温江总店）,gJt166793228,味道没有以前好了，抄手还都煮烂了
五味鲜肉抄手（温江总店）,fdk247146630,味道好的很   简直不摆了
五味鲜肉抄手（温江总店）,默风or,还不错，挺好吃的
五味鲜肉抄手（温江总店）,xiaowang911119,好
五味鲜肉抄手（温江总店）,袁·忠,可以
五味鲜肉抄手（温江总店）,维爱吾悔,卤味鸡爪味道不错
五味鲜肉抄手（温江总店）,qqC869888289,味道不错
五味鲜肉抄手（温江总店）,Dsc937731513,一直很喜欢吃他们家的东西，好吃
五味鲜肉抄手（温江总店）,二十四阿,好吃回头客
五味鲜肉抄手（温江总店）,维爱吾悔,味道不错，这家店
五味鲜肉抄手（温江总店）,万俟匿原,味道不错，经常来
五味鲜肉抄手（温江总店）,JiB956798415,可以
五味鲜肉抄手（温江总店）,枫叶21220,今天过来，帮朋友打包，寄到外地，上次朋友到温江来耍，带他来吃了之后，一直恋恋不忘，特别喜欢吃，兔头，糖醋排骨，与抄手，五花肉把把签，烧烤与抄手无法打包，只能发兔头与糖醋排骨……朋友还是非常满意……
五味鲜肉抄手（温江总店）,JiB956798415,还可以
五味鲜肉抄手（温江总店）,bly820354745,味道不错，份量又够，环境卫生也不错
五味鲜肉抄手（温江总店）,雪语梦,味道不错
五味鲜肉抄手（温江总店）,驼驼驼驼驼哦,很好
五味鲜肉抄手（温江总店）,GtI963513131,很bu
五味鲜肉抄手（温江总店）,oRQ327235115,好
五味鲜肉抄手（温江总店）,Rlr795446080,味道好，服务好
五味鲜肉抄手（温江总店）,EjL596494057,服务态度很好，环境也不错。抄手很好吃
五味鲜肉抄手（温江总店）,_qqwsd1333821650,好，服务态度太好了！
五味鲜肉抄手（温江总店）,pqs542780105,味道不错
五味鲜肉抄手（温江总店）,Yz2205,全温江最好吃的抄手认真的
五味鲜肉抄手（温江总店）,viR773820115,服务很好
五味鲜肉抄手（温江总店）,jtd219907833,好吃，方便
五味鲜肉抄手（温江总店）,RZr112966984,好吃，分量足
五味鲜肉抄手（温江总店）,nHi252739480,100086个好评
五味鲜肉抄手（温江总店）,URn900165363,味道很好
五味鲜肉抄手（温江总店）,NOV395765019,味道很好，吃过几次了！
五味鲜肉抄手（温江总店）,Mwy297543478,很好吃哦
五味鲜肉抄手（温江总店）,兜兜鱼867,抄手很扎实
五味鲜肉抄手（温江总店）,壮壮0429A,好
五味鲜肉抄手（温江总店）,零下十几度123,老店，经常吃
五味鲜肉抄手（温江总店）,Hds622470795,好吃
五味鲜肉抄手（温江总店）,枫叶21220,特别喜欢吃吃他家的兔头，鸭头，这已经不知是多少次帮朋友寄了，朋友很喜欢……
五味鲜肉抄手（温江总店）,翌日雨涵913,好吃！
五味鲜肉抄手（温江总店）,Pph903266646,味道好
五味鲜肉抄手（温江总店）,墨城之诚,老店了，经常来
五味鲜肉抄手（温江总店）,榮璟,服务很好
五味鲜肉抄手（温江总店）,IZz324867845,千万别点三两，吃不完！
五味鲜肉抄手（温江总店）,HcW705078866,长期吃的。稳当
五味鲜肉抄手（温江总店）,BUx160760520,服务没问题，就是难吃而且贵
五味鲜肉抄手（温江总店）,kOs129353269,好吃
五味鲜肉抄手（温江总店）,Zyf240920877,温江五味抄十多年的老店，今天来尝试果然名不虚传，美味素椒面味道很不错，牛肉绍子干香干香的，有肉香味，值得推荐
五味鲜肉抄手（温江总店）,nci987792205,味道很好，服务到位！
五味鲜肉抄手（温江总店）,wmI941195171,温江最好吃的抄手，份量足，抄手很大一个个的，女生一人吃一两就够了。最推荐鲫鱼汤和海味抄手。他家的面一般。
五味鲜肉抄手（温江总店）,Vera进,现在的服务员都是老板了。
五味鲜肉抄手（温江总店）,QYN214752480,凉拌🐔非常好吃
五味鲜肉抄手（温江总店）,杨猫猫猫猫,好👌🏻
五味鲜肉抄手（温江总店）,frg402475931,好
五味鲜肉抄手（温江总店）,omp871048845,第一次吃饭给评价，刚刚进店点餐就让给好评，没理会走到桌子旁边让给好评，扭到说！点了一份干拌面  自助打汤哪里是昨天的面汤没换 膄了😪 😪面汤都不给打 本来重不评论的 反正要扭到我给好评我就点评一下
五味鲜肉抄手（温江总店）,HHx104447981,不错的体验
五味鲜肉抄手（温江总店）,CKr325642647,鲫鱼汤好喝
五味鲜肉抄手（温江总店）,imD544212674,太棒了！
五味鲜肉抄手（温江总店）,枫叶21220,中午到那边办事，老店了，古色古香，感觉很不错，有卤菜，还有烧烤……
五味鲜肉抄手（温江总店）,幼儿园扛把子王啊,服务态度好
五味鲜肉抄手（温江总店）,TVx295251281,味道好
五味鲜肉抄手（温江总店）,eeX694998052,可以
五味鲜肉抄手（温江总店）,sunjie7191,非常好吃！
五味鲜肉抄手（温江总店）,shq5203344,好吃，吃得差不多才来评论，都吃干净啦 哈哈 😄
五味鲜肉抄手（温江总店）,oQH102448599,非常好
五味鲜肉抄手（温江总店）,Wannn_zy,环境挺好的
五味鲜肉抄手（温江总店）,Hds622470795,棒棒棒
五味鲜肉抄手（温江总店）,走黯456,巴适
五味鲜肉抄手（温江总店）,枫叶21220,不愧是温江抄手的代表，慕名而来，很不错，卤菜味道很好吃，抄手我推荐鲫鱼汤抄手，还有烧烤可惜要晚上去了……
五味鲜肉抄手（温江总店）,Ragdoll364,好吃。
五味鲜肉抄手（温江总店）,BcM461580602,好吃
五味鲜肉抄手（温江总店）,BcM461580602,好
五味鲜肉抄手（温江总店）,lHU999893938,全温江最好吃的抄手
五味鲜肉抄手（温江总店）,笨笨杀神,味道好
