店铺名称,用户名,评论
伍氏猪脚（柳浪湾店）,约定lxq,之前自己来吃的，后面又带朋友来吃，味道好，价格便宜
伍氏猪脚（柳浪湾店）,约定lxq,味道很不错，猪蹄很软，有点点辣，不过可以接受，比较有特色
伍氏猪脚（柳浪湾店）,hHT544786636,鸡肉份量足，饭可以加，吃得很饱。
伍氏猪脚（柳浪湾店）,MMA705283171,一般    地方好找就是份量一般   味道也还行
伍氏猪脚（柳浪湾店）,小熙牛,不错哦！
伍氏猪脚（柳浪湾店）,洋。769,味道不错
伍氏猪脚（柳浪湾店）,匿名用户,好吃，猪皮软糯，味道也很好
伍氏猪脚（柳浪湾店）,匿名用户,好评，非常好，以后再去
伍氏猪脚（柳浪湾店）,匿名用户,好评
伍氏猪脚（柳浪湾店）,匿名用户,价格便宜，味道也好吃，五年了一直这个价。
伍氏猪脚（柳浪湾店）,,
伍氏猪脚（柳浪湾店）,J.Meteor,太好吃了我的天 真的
伍氏猪脚（柳浪湾店）,dGK928317400,日常想念伍氏猪脚的味道 #伍氏猪脚# #猪脚活水原汤面# #原汤桂林米粉#
伍氏猪脚（柳浪湾店）,kIA210667042,还可以味道
伍氏猪脚（柳浪湾店）,QIONGLAI,上午去的比较早 很多其他店铺都还没开始营业，按照导航的地址 位置准确。店家态度挺好，验券后就开始准备了 不一会儿面就好了，味道不错，是我喜欢的素面。有辣味，汤底是猪脚的招牌味，面像是方便面体，总体还挺不错的，环境也干净，好评
伍氏猪脚（柳浪湾店）,匿名用户,猪脚面线的主要原料:猪蹄 建议:首先将猪蹄炖煮得软糯，然后放在煮熟的面上即可进行食用了。 效果：第一个猪蹄中含有的胶原蛋白特别的丰富，其中的胶原蛋白会转换成明胶成分，这样可以帮助调节皮肤的储水功能，可以帮助肌肤变得衰老情况。第二个是经常吃猪脚面线可以缓解四肢乏力的情况，以及帮助青少年的生长发育和缓解老年人的骨质疏松。
伍氏猪脚（柳浪湾店）,匿名用户,还好吧口味 不是很巴适。。。。。。。
伍氏猪脚（柳浪湾店）,xxO595765414,【口味】 【环境】 【服务】 【等位】不满意
伍氏猪脚（柳浪湾店）,xxO595765414,【口味】 【环境】 【服务】 【等位】
伍氏猪脚（柳浪湾店）,匿名用户,不错，很好👍值得推荐
伍氏猪脚（柳浪湾店）,匿名用户,不错，强烈推荐，好吃😋……
伍氏猪脚（柳浪湾店）,xxO595765414,棒棒哒
伍氏猪脚（柳浪湾店）,匿名用户,挺好的，不过这次没怎么入味。
伍氏猪脚（柳浪湾店）,匿名用户,这个猪脚的汤汁还比较多，估计是用的中火收汁，收汁的时候肯定有不停搅动避免粘锅，把汤汁淋在盛盘的猪蹄上，撒上葱末就完成啦。 慢火炖出来的猪蹄，用筷子轻轻戳一下，肉就会从骨头上掉下来，猪皮黏黏软软，咸鲜迷人。
伍氏猪脚（柳浪湾店）,匿名用户,猪蹄炖煮得太软糯了吧！猪蹄放在煮熟的面上即可进行食用了。 猪蹄中含有的胶原蛋白特别的丰富，其中的胶原蛋白会转换成明胶成分，这家店服务态度挺好的，上菜也快，猪蹄味道也好的不得了。所以冬天我们赶快来多吃猪蹄面吧！
伍氏猪脚（柳浪湾店）,匿名用户,行吧，还可以吧，
伍氏猪脚（柳浪湾店）,小花猫呵呵,分量太少，10块一份只有小4块，汤都舍不的多给点，话不多说一般不想给差评的，第一个
伍氏猪脚（柳浪湾店）,匿名用户,味道不错，环境也很好。比较满意!
伍氏猪脚（柳浪湾店）,yVx910245944,猪脚味道很不错，小姐姐很温柔。
伍氏猪脚（柳浪湾店）,周生薏,猪脚又很多，美团上又很便宜，很划算呢
伍氏猪脚（柳浪湾店）,喵小鱼66,猪脚真的好吃，稀溜耙
伍氏猪脚（柳浪湾店）,喵小鱼66,猪脚很耙，面很劲道
伍氏猪脚（柳浪湾店）,lND901148854,肉很好，味道也好
伍氏猪脚（柳浪湾店）,zh445136345,东西非常不错
伍氏猪脚（柳浪湾店）,匿名用户,味道还可以，份量将就了，毕竟价格不贵。
伍氏猪脚（柳浪湾店）,jYJ847380966,味道一般般，店里面就猪脚还可以，其他的就一般般啦
伍氏猪脚（柳浪湾店）,amz244277520,下次还会在去
伍氏猪脚（柳浪湾店）,amz244277520,我吃不完
