店铺名称,用户名,评论
华莱士（农大店）,匿名用户,爱了爱了!真的好吃!给店家五星好评!东西味道很好!然后店家服务态度好!配送速度很快!下次继续点!
华莱士（农大店）,yzi8,味道好「#可乐」 【口味】「#套餐：香辣鸡腿汉堡」「#小酥肉」「#套餐：香辣鸡腿汉堡」「#可乐」「#套餐：香辣鸡腿汉堡」「#套餐：香辣鸡腿汉堡」「#套餐：香辣鸡腿汉堡」「#蜜汁手扒鸡口口流汁」「#可乐」「#鸡肉卷」「#黑椒鸡块」「#套餐：香辣鸡腿汉堡」「#套餐：香辣鸡腿汉堡」「#套餐：香辣鸡腿汉堡」「#鸡肉卷」服务态度很好，待人热情，卫生干净，
华莱士（农大店）,Telamon丶,价格实惠，但是口感不是特别的好
华莱士（农大店）,淼然186,很满意的一次就餐体验，整体评价的话我觉得：性价比、环境、口味、服务。
华莱士（农大店）,匿名用户,很好很好很好，性价比高还好吃。
华莱士（农大店）,Erunaqwq,等烤鸡等了二十分钟 不开心
华莱士（农大店）,xNp190246385,很好
华莱士（农大店）,HLa103578989,价格实惠性价比高
华莱士（农大店）,匿名用户,这次就餐整体感觉很赞，比较满意的方面有：性价比、口味。包装太差了，可乐漏一袋
华莱士（农大店）,JOU185400783,感觉不咋样吧，等的还等了好一会儿呢，真的很一般般，觉得不怎么样？味道就更不用说了，更是一般价格也就那样吧，还不如买其他套餐呢，服务态度也不咋样，总之就那样呗，想买就买，不想买拉倒，看自己吧，没啥好说的
华莱士（农大店）,,
华莱士（农大店）,Bfs990319484,超级快，不到5分钟我就麻烦购买的汉堡和可乐套餐。本来中午感觉会的肚子，赶着去上课，害怕时间不够了，想退了，结婚还是去试了一下。结果！！！很快，一下我就得到了东西。就凭这速度我也要五星好评。可乐还做了封口，对于我这种赶课的人来说，真的很贴心了。！
华莱士（农大店）,TQO114639034,好爱
华莱士（农大店）,水木年华5166,吃一次拉一次肚子！投诉无门！不管多便宜再也不吃农业大学华莱士吃任何东西了！
华莱士（农大店）,匿名用户,说说这次用餐感到不太满意的地方吧，主要有：性价比低，希望店家能注意改善。套餐东西不全，来了喊临时换
华莱士（农大店）,水木年华5166,吃了拉肚子！肚子疼！再也不去那吃东西了！
华莱士（农大店）,匿名用户,我是八号去的，其它东西也半价
华莱士（农大店）,铠甲勇士768,服务不怎么好
华莱士（农大店）,yzi8,孩子点的挺喜欢吃的，每次吃都吃这家的， 华莱士吃过好多次了，我觉得他家的价格比较亲民， 不贵，味道也很好，每次都点的挺多的 他家的鸡排了，肉肉很嫩，就是爱吃大鸡排，他家鸡 排挺大的，五星好评！！！！！！！！！
华莱士（农大店）,OGI545911838,不错 很好吃 实惠便宜，外卖小哥也很快
华莱士（农大店）,旭娃子滴滴,坚持以人民为中心的发展思想、统筹发展和安全、加强党的全面领导
华莱士（农大店）,喋喋Yyang,很不错，老顾客了，一如既往好吃！！！
华莱士（农大店）,zEA395109686,等了好久，服务也很不耐心。站在面前就好像看不见一样。
华莱士（农大店）,旭娃子滴滴,服务周到
华莱士（农大店）,旭娃子滴滴,漂亮！
华莱士（农大店）,旭娃子滴滴,完美
华莱士（农大店）,旭娃子滴滴,物美价廉哦！
华莱士（农大店）,kwF243461541,美团外卖点单的，好吃不贵，以后还会回购。
华莱士（农大店）,AKT755594772,还是喜欢吃他们家的紫薯好吃，薯条好硬
华莱士（农大店）,niW777771792,第二次买了，还是比较好吃的，也很实惠。
华莱士（农大店）,匿名用户,华莱士真的很良心了，便宜好吃，每次做活动都超级划算，味道也还不错，会继续吃的。
华莱士（农大店）,XAR743403599,我这是时候点的，味道好噢
华莱士（农大店）,匿名用户,"好吃的，分量够够的，可乐也大杯😉😉

主要便宜哈哈哈哈哈自取方便，出餐很快呀，服务态度特别好，反正很开心呀呀呀"
华莱士（农大店）,童1719,此次用餐总体来说不错，觉得比较认可的地方有：性价比。
华莱士（农大店）,WlM398766253,挺好的，胃口越来越大，以前吃一个，现在要两个才吃饱，离学校近，刚出的炸鸡也挺好吃的
华莱士（农大店）,FAL913795399,样品齐全。价格实惠，服务热情周到，推一下。
华莱士（农大店）,lJJ840047546,便宜好吃!
华莱士（农大店）,YH易,此次用餐总体来说不错，觉得比较认可的地方有：口味不错。
华莱士（农大店）,你过份美俪,此次用餐总体来说不错，觉得比较认可的地方有：配菜合理、服务到位。
华莱士（农大店）,liucs8986,此次用餐总体来说不错，觉得比较认可的地方有：口味不错。
华莱士（农大店）,匿名用户,我觉得很划算的啦，店员也挺热情的没有因为是券就冷脸
华莱士（农大店）,Slz981220756,还行，买了好多次了
华莱士（农大店）,QxR911476574,好评还不错
华莱士（农大店）,QxR911476574,不错好评
华莱士（农大店）,QxR911476574,好评不错
华莱士（农大店）,QxR911476574,好评好吃😋
华莱士（农大店）,QxR911476574,「#套餐：豪华单人套餐[上线][复制]」「#套餐：豪华单人套餐[上线][复制]」「#套餐：豪华单人套餐[上线][复制]」
华莱士（农大店）,QxR911476574,「#套餐：豪华单人套餐[上线][复制]」
华莱士（农大店）,QxR911476574,「#套餐：单人品质套餐」
华莱士（农大店）,QxR911476574,味道不错
华莱士（农大店）,老子是慌心,nice
华莱士（农大店）,kenken106,熟悉的味道
华莱士（农大店）,匿名用户,挺好的
华莱士（农大店）,RvO255730454,汉堡还是不错，虽然是买给儿子吃的，看着还是新鲜
华莱士（农大店）,匿名用户,便宜，味道也还可以吧！卫生干净，服务态度也挺好的，派送外卖也快。经常有活动。
华莱士（农大店）,旭娃子滴滴,比之前的质量差了！没有弄透有腥味儿！
华莱士（农大店）,Wpf357795506,只能说便宜
华莱士（农大店）,伞下的你w,还可以还可以
华莱士（农大店）,匿名用户,还不错，就是找门面找了半天。
华莱士（农大店）,旭娃子滴滴,一如既往的好！
华莱士（农大店）,匿名用户,还可以吧！附近没有其他选择，哈哈哈哈哈我
华莱士（农大店）,匿名用户,总体来说还挺不错的，就是有时候店里外卖接单比较多，可能等的时间会久一点。但是和肯德基麦当劳相比价格会实惠很多，味道差距不是很大。味道还是挺满意的，下次也会进行回购。不过快餐是真的蛮方便的，对于不知道吃什么的时候非常值得选择。
华莱士（农大店）,匿名用户,服务人员少，弄错一样，问到了换了！高峰期感觉不耐烦！
华莱士（农大店）,里妙,花了31，给了两个番茄酱，一包辣椒粉，孩子去换还不给换，说给了两包了，态度有待改进！
华莱士（农大店）,OAy181013467,位置好，菜品好，服务也好～！！！
华莱士（农大店）,不忘初心rs,挺好的，总来吃
华莱士（农大店）,匿名用户,华莱士还是挺不错的吧，挺喜欢吃，美团上买的券，比较划算，感觉和麦当劳肯德基其实没有太大的差别（个人不是很能吃得出来）
华莱士（农大店）,匿名用户,还不错1营业时间长，味道不错，热的
华莱士（农大店）,匿名用户,换个前台好多了，还记得之前每次要把香辣包换成番茄酱都要被白眼，然后扔过来，现在只有一包番茄酱，避免了把香辣包换成番茄酱的尴尬场面，谢谢老板原因在这个暖暖的秋天送给我无限的清凉感觉，以后还是会一如既往地支持华莱士的！
华莱士（农大店）,不忘初心rs,不错，总是来吃，划算！
华莱士（农大店）,不忘初心rs,还可以，团购很划算，单人餐量也大，能吃饱
华莱士（农大店）,kenken106,每天都有不同的活动，团购还不错
华莱士（农大店）,AKT755594772,买了很多次了
华莱士（农大店）,小花22739,好吃
华莱士（农大店）,匿名用户,环境挺好的，卫生做得挺干净，团购的券，性价比很高，值得推荐
华莱士（农大店）,匿名用户,挺好吃哒  一样的味道  以后还会来的
华莱士（农大店）,erm214909025,嗯嗯额懂 还不错 看着吃着都是好好好好好的
华莱士（农大店）,不忘初心rs,不错，很划算
华莱士（农大店）,匿名用户,菜品是热乎乎的，点个赞。只是招待服务的小姐姐有些高冷，很高冷感觉不是很热情。
