店铺名称,用户名,评论
在首尔韩国料理•自助烤肉（温江店）,红色WiFi侠,这家餐厅环境很好，非常干净整洁，食物不仅外形美观，重要的是味道非常棒，色味俱佳。做法保留了食材原有的味道，清新爽口。而且菜品选择非常多，价格也不高，适合和朋友一起去。
在首尔韩国料理•自助烤肉（温江店）,kIO899359227,「#海鲜年糕火锅」菜品很多，很丰盛， 【环境】环境不错，在二楼 【性价比】性价比还行，人均50左右， 【服务】服务很好，大叔的服务很好， 【口味】这家店的味道很不错，下次还会再来的哈哈哈哈哈哈哈哈哈哈很可以，值得推荐。很不错
在首尔韩国料理•自助烤肉（温江店）,imissyoud,在双流一路吃到温江，味道一样很棒~进门就听见了sj的歌曲哈哈哈，最推荐的就是部队火锅了！分量也很多~拌饭以前点过也很不错哦，都推荐~ 来的时候没什么人，服务态度很不错！
在首尔韩国料理•自助烤肉（温江店）,DBM786321062,95块海鲜锅，一盘肥牛，一盘年糕，海鲜锅里就是四只虾，几个蟹棒，丸子，几块鱼，几小只鱿鱼须须，然后就是白菜一大锅汤。。。味道极其普通，我认为不值这95
在首尔韩国料理•自助烤肉（温江店）,阿怪有多怪呀,「#套餐：2-3 人餐」给个四星吧，「#肥牛部队火锅」肥牛部队火锅分量很足，两个人来没有吃完。味道还算不错。「#芝士炒年糕」炒年糕也还可以，套餐三四个人应该都完全够吃。店内环境一般，位置的话还是比较好找，很大的招牌。在大学城唯一一家吃过两次的店。图片忘拍了凑一下
在首尔韩国料理•自助烤肉（温江店）,ENGLANDGIRL,店面装修很好看，三个人吃的，能吃饱诶，还剩下很多辣白菜，不过辣白菜确实挺酸的，但是很喜欢这个煮花生，好吃👍
在首尔韩国料理•自助烤肉（温江店）,EWv462516920,「#套餐：2-3 人餐」韩国部队火锅口味独特，食材丰富。
在首尔韩国料理•自助烤肉（温江店）,Rainjiang579,总的来说还行吧，比较正宗的韩式小火锅
在首尔韩国料理•自助烤肉（温江店）,WWl958046918,店很好找，出地铁口走一会就到了，店内装饰优雅舒适，老板很热情，服务周到，点了4人餐，吃得饱饱的， 味道很好，赞一个，分量足，下次还来
在首尔韩国料理•自助烤肉（温江店）,家湾儿,不太会吃，觉得袋装火鸡面(三养)比这好吃得多，哈哈哈，菜的量到是不少
在首尔韩国料理•自助烤肉（温江店）,,
在首尔韩国料理•自助烤肉（温江店）,图图图图ii,「#套餐：部队火锅双人餐」「#肥牛部队火锅」 【口味】还行 【环境】也欧克 【服务】人有点少 【性价比】挺划算的
在首尔韩国料理•自助烤肉（温江店）,beast龙贤,菜品味道不错，环境也可以，老板特别热情，服务周到
在首尔韩国料理•自助烤肉（温江店）,無顖,第一次去，味道还不错。分量很足，两个人都没有吃完。还是比较推荐的。
在首尔韩国料理•自助烤肉（温江店）,哒啦哒啦哒啦耶嘿,整体很满意，年糕味道很正很不错，部队火锅也很香很好吃，四个女生点三人餐就基本够了，价格也算比较实惠，不错子！
在首尔韩国料理•自助烤肉（温江店）,uvN694602449,吃不惯这些菜！味道怪怪的，感觉！
在首尔韩国料理•自助烤肉（温江店）,王俊凯的小喵喵丫,"首先，店内环境还不错 位置也好找。

其次说说分量，感觉只点一个两人团购分量很小，两个人根本吃不饱。不过面是可以续的，不过加份面锅还要端走，要等的时间也蛮久的，有点不舒服。

老板态度挺好的，看到他家还有自助烤肉，下次可以试一下。"
在首尔韩国料理•自助烤肉（温江店）,OFJ153743010,我们几个人来吃的，感觉套餐还不错，花生米挺好吃的
在首尔韩国料理•自助烤肉（温江店）,ygD312215018,环境不错，服务态度很好，特别划算性价比高！味道也好，推荐！
在首尔韩国料理•自助烤肉（温江店）,Eeg843672698,海鲜年糕火锅不好吃，没有香味。
在首尔韩国料理•自助烤肉（温江店）,匿名用户,「#套餐：芝士肋排双人套餐」味道可以
在首尔韩国料理•自助烤肉（温江店）,匿名用户,"去过2次 
【口味】 6分吧
【环境】还可以
【服务】也不错
【性价比】还是蛮高的"
在首尔韩国料理•自助烤肉（温江店）,tHv451858705,老板服务态度很好哦   味道也很赞   菜色比较多  想吃好多东西，我们两个人点了超大一桌子  全都吃光了  想吃韩菜想了太久了终于找到一家满意的👍🏻    推荐推荐  下次一定要带男朋友一起来吃😭  还有烤肉什么的 闻着隔壁吃的好香啊
在首尔韩国料理•自助烤肉（温江店）,灿烂的鬼怪新娘,不如第一次吃的时候好吃了，白菜不酸，蒸锅端上来的时候，辣椒面锅身到处都有，没有卖相了
在首尔韩国料理•自助烤肉（温江店）,牛变成了哑巴,吃过多次，是老顾客了。每次来最爱点的是部队锅和芝士排骨，芝士排骨很大块，非常入味，部队锅也很好吃。另外，金枪鱼饭团也不错，芝士炒年糕也是经常吃的。美团上买套餐比较优惠。大家可以来尝试一下这家店，除了入口不好找，其他都挺好😊
在首尔韩国料理•自助烤肉（温江店）,WkZ126398659,服务态度很赞，老板热情。 环境很好，冬天来了很暖和，老板贴心把锅子打开给我们取暖。 味道很nice，已经来过很多次了。 菜品新鲜好吃，炒年糕推荐！ 性价比很高，在大学城交通方便。 团购价格实惠，2-3人餐加一点四个人就可以吃很饱。
在首尔韩国料理•自助烤肉（温江店）,jIp966776003,味道不错，特别是火锅味道不错
在首尔韩国料理•自助烤肉（温江店）,qDl840897984,室友推荐来吃的，室友吃完就给我们强推，肥牛卷很嫩，鱼饼还挺好吃的，辛拉面也很可，而且分量很足，还可以免费加量，价格实惠，太爱了，冬天和朋友一起来吃好暖和，好吃好吃好吃，真的绝了，下次还来吃！！！！！！
在首尔韩国料理•自助烤肉（温江店）,yiyuan妞妞,感觉挺一般般的
在首尔韩国料理•自助烤肉（温江店）,匿名用户,首先，等菜时间很长。等了20多分钟。 其次，口味不好。难吃。 最后，服务态度极其差，服务员走来走去一直给其他人服务，我挥手让他过来，他看到了居然走了？最后看我们准备走了才过来假惺惺地说欢迎再来。呵呵，中途想续泡面都不行，吃了个寂寞，总之，不会再来。
在首尔韩国料理•自助烤肉（温江店）,euq642004013,之前来吃过部队锅，今天吃了这个，味道的很美味，下次还会再来的。店里的叔叔人很好，东西很多，没有吃完的还帮我们的打包了。
在首尔韩国料理•自助烤肉（温江店）,可优甜一,和闺蜜一起吃的 两个人 撑死了 阔以免费加拉面 味道非常好 挺喜欢的 第一次吃韩料 然后第二次又去了这家店 不过就不是我买单了哈哈哈哈 偶尔吃还是很不错哒 不过现在不在温江了就没有去过了 但是还是很怀念哦 过了这么久才来评价～不好意思啦～～
在首尔韩国料理•自助烤肉（温江店）,爹我要钱,分量超级足，服务态度超级好，味道一级棒！部队火锅！超级nice！强力推荐，部队火锅有一点点微辣，但是非常好吃，炒年糕也超级好吃，香香糯糯的，入口即化，更加一级棒得是拉面！无敌好吃！赠送的韩国小饮料非常地道！
在首尔韩国料理•自助烤肉（温江店）,love卢浮宫,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务、团购接待。 态度很热情 服务很好 买的肥牛部队锅 值得来吃一下
在首尔韩国料理•自助烤肉（温江店）,ebC647848494,店里小哥哥小姐姐态度特别好，还可以多加一份泡面，部队火锅里的泡面真好恰！
在首尔韩国料理•自助烤肉（温江店）,一粒一粒小甜椒,一般般
在首尔韩国料理•自助烤肉（温江店）,可什么乐599,环境挺好的，味道一般般，菜品还好
在首尔韩国料理•自助烤肉（温江店）,youchill,味道一般 量不多 服务态度不错 总体还行
在首尔韩国料理•自助烤肉（温江店）,SCK824035088,味道一般，但是也不算太贵，总体上可以尝尝
在首尔韩国料理•自助烤肉（温江店）,IvH109264838,味道还是可以的，就是有些小吃没有，火锅味道淡了一点
在首尔韩国料理•自助烤肉（温江店）,GUO好当下,不符合期待，感觉不太符合最初的预期，味道也不是很喜欢
在首尔韩国料理•自助烤肉（温江店）,gPF279860423,量超级多耶，肥牛卷和虾都是真的 ，拍出来也超级好看 。整体味道非常的不错 有海鲜的风味 ，店里面布置的非常有韩国的风格 ，挂了很多经典的韩剧海报 ，也很适合小姐姐们过来拍照 老板的服务态度非常好哦 ~甚至配的音乐全都是韩国音乐 哈哈哈哈 很适合看韩剧韩综的姐妹来吃
在首尔韩国料理•自助烤肉（温江店）,负债一个家,可以 味道环境不错口感可以
在首尔韩国料理•自助烤肉（温江店）,匿名用户,一般般一般般一般般，感觉炸鸡没有在外面点的好吃 但是比外面贵，部队火锅味道也一般般
