店铺名称,用户名,评论
尼克熊西餐（财大东门店）,嘟嘟667788,一直都在本家吃的，老顾客了，还经常带朋友来做客，味道一如既往，最喜欢吃这里的水果篮子披萨，每次必须点，芝士千层饼也很不错，还有牛排和意大利面，最喜欢喝酸奶草莓，里面有红枣，感觉很棒，下次还和朋友一起来
尼克熊西餐（财大东门店）,阿珷344,从大一就喜欢吃这家，一直吃到现在。刚实习完回学校就来，可见是尼克熊真爱了哈哈哈。二人套餐和原来大差不离，我尤其偏爱意大利肉酱面酸酸的口味，男朋友最爱焗饭。份量特别足，每次吃到最后都还剩披萨吃不完，都要打包回去吃。
尼克熊西餐（财大东门店）,独殇9828,环境不错，在二楼，适合两个人去吃，清幽，装修也可以 但是我们是下午去的，人太多了，反而不适合吃西餐，再者有大人和小孩子的哭闹 不过味道很好，尤其是黑椒牛肉焖饭，真的香 不过八寸的披萨感觉好少哦，还可以多点。
尼克熊西餐（财大东门店）,hnh414333627,菜很好吃，两个人吃不完的，服务态度也很好，特别喜欢那个水果酸奶杂碎，如果菜再上快一点就好了，热的菜很好吃下次还想来，位置也还可以，环境也还不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，，
尼克熊西餐（财大东门店）,raa564977748,不得不说，份量很足，点了个2-3人餐，但是最后也没吃完。环境还可以，干净有点小氛围，主要是大学生在这就餐，价格就很合理。芝士焗薯条趁热吃，味道很不错！服务也挺好，团的券很方便，不用自己点餐，懒人喜欢了。
尼克熊西餐（财大东门店）,NbZ561681005,总体来说还是不错的，性价比比较高，好多人都去体验，开在大学城附近，客源主要是大学生，价格对于大学生来说比较友好，口味一般般吧，我是在美团上下的单，是一个二人套餐，还不错，比较推荐去体验一下，环境还不错
尼克熊西餐（财大东门店）,匿名用户,小姐姐服务态度很好，焗饭和披萨都不错，芝士千层饼是mvp
尼克熊西餐（财大东门店）,欣妍320,一直点外卖，今天第一次堂食。服务态度很好，有什么需求马上就满足。牛排全熟有一点点老，但是味道还是不错。意大利面好吃，孩子们喜欢。咖喱牛肉焗饭味道不错，比较地道。停车也方便，点了一个三人套餐，没吃完，最好还打包。
尼克熊西餐（财大东门店）,开心果001983,环境一般，没有想象的好，味道也不咋样，特别是牛排，完全不行。
尼克熊西餐（财大东门店）,eKs954029262,团的两人餐，分量挺足的，味道也还行，是学校附近性价比较高的的一家西餐厅了，服务态度也挺好的，环境也还不错，值得一去，意大利面我觉得比其他家的都要好吃，披萨味道也还行，总体来说还是比较值得起这个价格的，
尼克熊西餐（财大东门店）,,
