店铺名称,用户名,评论
泥巴小院市井火锅（温江店）,MQj130031936,温江这家泥巴小院火锅，就在我们家楼下我们。今天今天家庭聚会，一共坐了两桌，选择的中午来吃的火锅，因为晚上会排队，我们经常在楼上看到周末排队的人流，哈哈😄                     服务很不错，我们算是常客吧，服务员我们都认识，每次过来，她们都特别热情，端茶倒水非常积极，服务态度特别👌菜品是小分的，但是很新鲜，品种也特别多，可以吃到很多菜品，非常好的感觉。                锅底特别卫生，绝对一次性的，我们之所以经常光顾，就是因为感觉他们家锅底特别健康，让人很放心！                    环境装修算是这条街最亮的一家吧，四周都有种植花草，有些田园的感觉，这样的环境里用餐还是让人感觉挺惬意的！       总体说来，性价比不错！也会经常光顾的！
泥巴小院市井火锅（温江店）,NKh151818313,非常不错的体验！ 这个锅底是一次性的，非常卫生，看得见的健康，让人吃起来特别放心！真心点赞！ 菜品小份量，但是品种有很多，一次火锅下来呢，能吃到好多菜品，这个也是挺好的存在！ 服务员很热情，进门后反正就是坐等开吃的节奏，有什么需要，他们几乎坐到随叫随到，这样的服务还是不错了，可以滴 周末呢，人比较多，排了一哈队，但是讲实话，味道真心不错，感觉也是值得！ 环境呢，一般吧，但在这条街也算是挺有个性和风格了，装修的很不错，也算是花了心思的，很好！ 整体性价比很不错，推荐吧！
泥巴小院市井火锅（温江店）,kgJ590133938,"此次用餐总体来说不错，觉得比较认可的地方有：性价比。这家餐厅环境很好，非常干净整洁，食物不仅外形美观，重要的是味道非常棒，色味俱佳。

做法保留了食材原有的味道，清新爽口。

而且菜品选择非常多，价格也不高，适合带着家人一起去。

味道超赞，而且一看就让人觉得很有食欲，但是分量不大，属于比较精致的类型。

胜在菜品也很新鲜，味道咸淡适中，而且火候掌握的刚好。

上菜速度很快。"
泥巴小院市井火锅（温江店）,冬季6541,非常愉快的用餐，很满意！ 首先，味道是我们喜欢的，另外，环境也非常不错，装修很有特色，这个也很不错！ 服务员态度好，比较热情，服务工作比较主动！ 菜品很新鲜，口感都挺不错！ 最重要锅底是一次性的，很卫生，很健康！让人放心！ 提示哈，中午来吃不会排队，哈哈😊 性价比很不错，点赞！
泥巴小院市井火锅（温江店）,你曾为何,「#套餐：2-3 人套餐」「#手工虾滑」「#鲜血旺」「#鲜鸭肠」「#肥牛卷」「#草原毛肚」「#鲜郡花」「#小院麻辣牛肉」「#鲜猪黄喉」「#小院红糖糍粑」「#小院脆毛肚」「#小院挂面鸭肠」 我们两个第一次过来，中午来这家店吃的火锅 一次性锅底，味道很香，用矿泉水，非常卫生 菜品是小份的，很新鲜，我们两人也够吃了 味道绝绝子，非常合我们口味 服务挺好的，这个没毛病 那个鲜血真的好好吃，必吃推荐
泥巴小院市井火锅（温江店）,EungeegnuE,"「#套餐：2-3 人套餐」我和朋友出来玩看见这家感觉很不错的样子就团了一个套餐
「#手工虾滑」「#肥牛卷」「#草原毛肚」「#小院麻辣牛肉」「#鲜猪黄喉」「#小院红糖糍粑」「#鸳鸯锅」「#金针菇」「#美好火腿肠」「#小院香豆腐花」「#小院嫩牛肉」「#爽嫩小心肝」菜品很好吃 很新鲜 味道好极了下次又来 
吃火锅推荐来他们家"
泥巴小院市井火锅（温江店）,Jkd541746306,味道不错，他们还是一次性锅底，卫生也不错！ 我们点的三个格子的锅底，他们说起奔驰锅，想了一哈，感觉还比较贴切，有点意思，😄 服务都还是很不错了，他们都很热情的，基本上都在帮忙下菜，撤空盘子这些，比较到位了。 天气有点热，大厅有空调，还是挺凉快的，比较巴适了哈！ 性价比是比较好了，以后绝对会再来。
泥巴小院市井火锅（温江店）,OzG919449947,"「#套餐：2-3 人套餐」味道很好服务很不错，服务态度很好，下次还要来「#手工虾滑」「#鲜血旺」「#草原毛肚」「#肥牛卷」「#鲜鸭肠」「#小院手工黑豆腐」「#小院农家滑肉」「#小院农家酥肉」「#鲜猪黄喉」
菜品很新鲜很好吃  「#鲜猪黄喉」「#鲜猪黄喉」「#小院麻辣牛肉」"
泥巴小院市井火锅（温江店）,uuj370545511,以前和其他朋友来吃过 就是因为觉得好才会来第二次 但这次真的一言难尽 先说一下这个带皮牛肉 端上来就有黑黑的毛 然后与服务员协商 换了一盘上来 另加增一个酥肉 在这里都觉得挺好的 但是端上来的那一盘仍然还有 我们看了就摆在那里 也没有吃了 最气人的是这个服务员小姐姐 先是看了我们的菜 很用力的甩在了傍边 我水倒身上了她也无动于衷  锅里没水了也看不到 要不是与上次来服务的哥哥形成了鲜明的对比 也不至于那么气  味道是挺好的 但是不会再来了
泥巴小院市井火锅（温江店）,匿名用户,周末和小伙伴们一起来吃火锅。选了一家人气很旺的火锅店。点了一个「#套餐：4-5 人套餐」。非常不错。菜品很丰富。「#肥牛卷」「#草原毛肚」「#小院农家酥肉」「#小院农家滑肉」「」「#千层肚」「#金针菇」「#鹌鹑蛋」味道很好吃 服务态度非常好老板很热情
泥巴小院市井火锅（温江店）,,
泥巴小院市井火锅（温江店）,Pfi426449670,很开心的一次用餐 我们五个人，人均就是七十吧，吃不完，哈哈😊好多菜， 最喜欢他家素菜好多品种 汤圆也是我的最爱，注册会员不用花钱，菜品88折，服务员说每周二还可以锅底半价，还可以吧我觉得，蛮实惠的感觉 吸油面包是好新奇的东东，第一次遇到这样的，感觉好好玩，吃火锅之前服务员给每人发一片面包，我最开始还以为是给我们吃的，我心想怎么的才一片，后来听了解释才明白过来，哈哈有点意思 总之，挺开心的，服务也好，菜品也很新鲜，朋友们都说味道很不错了，我就毫不吝啬给你个五星点赞！
泥巴小院市井火锅（温江店）,RWP408084323,「#套餐：2-3 人套餐」「#套餐：2-3 人套餐」「#肥牛卷」「#奔驰锅」「#手工虾滑」「#鲜郡花」「#鲜血旺」「#鲜鸭肠」「#鲜郡花」「#鲜猪黄喉」 「#小院挂面鸭肠」「#鹌鹑蛋」「#耙牛肉」「#郡把」「#海霸王虾饺皇」「#午餐肉」「#小院香豆腐花」「#生菜」「#脆皮肠」味道还可以，服务也还行。 【口味】可以 【环境】好，
泥巴小院市井火锅（温江店）,MvZ944551602,今天团了一个套餐「#套餐：2-3 人套餐」 很多菜  都没有吃完  菜品也很新鲜  菜品也丰富  「#鲜血旺」 很好吃  很嫩  都不会煮老  点的红锅 味道还不错  很喜欢  很柔和  「#小院手工黑豆腐」「#鲜猪黄喉」「#小院麻辣牛肉」这些都是我喜欢的  值得信赖推荐！
泥巴小院市井火锅（温江店）,QYy790153816,「#套餐：6-7 人套餐」味道很好👌👌服务很不错 菜品很好吃 下次我们还要来「#奔驰锅」「#手工虾滑」「#鲜血旺」「#鲜鸭肠」「#肥牛卷」「#草原毛肚」「#鲜郡花」「#小院手工黑豆腐」「#小院农家酥肉」「#小院农家滑肉」「#苕粉」「#海带苗」「#小院挂面鸭肠」菜品很新鲜 服务好下次一定会来
泥巴小院市井火锅（温江店）,hq180623,非常满意的一次火锅用餐，六一儿童节带小孩子一起来吃，感觉很棒！ 锅底味道特别喜欢😘不会特别辛辣，非常鲜香！ 服务态度很不错，服务员比较热情❤️点赞👍比较热闹，生意很不错，来吃的人不少 整体性价比算是很不错，推荐，以后会再来。
