店铺名称,用户名,评论
裕昌火锅（德通桥路总店）,seF823478872,说实话，我觉得小贵，味道还是可以，但是有些菜品不行，麻辣牛肉差评，真的觉得不行，其他菜品还可以，麻辣牛肉感觉有点不像牛肉一样，总的来说一般嘛，性价比不高，小贵，味道一般，环境不行，现在正在装修，所以环境不行…………
裕昌火锅（德通桥路总店）,bTw394906190,菜品一般，环境将就，服务态度确实差了点，希望有改进吧。不是以前的感觉了。
裕昌火锅（德通桥路总店）,SlJ404305309,还好，味道很不错比较适中，主要是请外地的朋友比较合适
裕昌火锅（德通桥路总店）,胖子兄弟的mum,味道是比较好吃，但是服务和环境不行
裕昌火锅（德通桥路总店）,及莳止损,味道还可以 菜品一般 摆盘有点丑菜量少环境一般
裕昌火锅（德通桥路总店）,wmhjrh,比想像中差，服务态度还将就，服务员衣着有点随意，味道也不怎么样
裕昌火锅（德通桥路总店）,eER394794688,服务热情，份量4人足够，菜品新鲜，味道不错
裕昌火锅（德通桥路总店）,lly1024768,好几年都没有吃裕昌火锅了，今天和家里人特地去吃了一顿。中午人少，非常安静，环境卫生，地面干净防滑。服务很好，有求必应。菜品和火锅底都非常好，特别喜欢鸭肠，腰片，太好吃了。吃完身上也没有火锅味。口也不会干，买了工作餐券，价格实惠。下次再来。
裕昌火锅（德通桥路总店）,EAY205536493,一直觉得温江最好吃的火锅，没有之一
裕昌火锅（德通桥路总店）,九月冬12,环境可以。买的4人餐268，也不算多优惠，但先买后吃菜的分量明显太少！味道一般…不知是原本如此还是分了等级？收银那女人一副快断气了的样子，让人增加了一种密室逃脱的感觉…
裕昌火锅（德通桥路总店）,,
裕昌火锅（德通桥路总店）,xQc859720132,全家人最喜欢吃的火锅 ，锅底味道合适，菜品很新鲜。
裕昌火锅（德通桥路总店）,DogeChen0904,裕昌菜品一如既往的好！吃了多年了
裕昌火锅（德通桥路总店）,猪肉大大王子,好吃的不行 温江区第一好吃的 菜品新鲜 唯一不足 蟹柳不咋样
裕昌火锅（德通桥路总店）,aMT772211373,味道一般，没以前好吃
裕昌火锅（德通桥路总店）,pvu329622494,"【性价比】低
【环境】一般

【口味】还行
【服务】一般"
裕昌火锅（德通桥路总店）,匿名用户,服务差'中午本来就没几桌'喊服务员都要喊好几次才听得到'团的午餐代金券要在2点前吃完'两点后不给验券'不管你几点去的
裕昌火锅（德通桥路总店）,我还能继续再吃,味道还可以，服务态度，特差！假专人，一个劲的问谁买单，都说了杯中酒喝了就走，使劲催！
裕昌火锅（德通桥路总店）,Rpm932488987,超级棒！下次还要来。前台接待没有笑容，收银员也是。让客人不舒服。
裕昌火锅（德通桥路总店）,匿名用户,口味一般般了  感觉没得以前好吃了
裕昌火锅（德通桥路总店）,不要点外卖lalala,还行
裕昌火锅（德通桥路总店）,匿名用户,服务差，看人少爱答不理，坐下后也没人招呼，点完菜喊服务员，半天才过来，喊介绍酒水态度也不好，上完菜就再也没人服务了，而且上菜速度也很慢，味道也大不如前，价格还死贵，两个人269，总之以后不会再去了！差！
裕昌火锅（德通桥路总店）,NUH321070942,团了2次，都还不错，4个人份量刚好
裕昌火锅（德通桥路总店）,小熊熊熊熊君,好吃
裕昌火锅（德通桥路总店）,打饱嗝的小芹菜,就是觉得午餐的菜不是很好  可能是昨天的剩下的菜品吧 毕竟午餐便宜！
裕昌火锅（德通桥路总店）,咪咪猪94,两个女生吃了260多，美团实付240多，只点了6个还是7个菜，总体偏贵，锅底越吃越咸，但是服务还是可以，老板热情
裕昌火锅（德通桥路总店）,HuB864641013,不错
裕昌火锅（德通桥路总店）,媛媛老妈8305,菜品不新鲜，味道不好，服务也差，买的4人套餐三个人吃，想要将饮料换成价位一样的其他饮料都不行，一点不知道变通，以后不会再来了，越来越差了
裕昌火锅（德通桥路总店）,幻想礼物,【口味】我觉得还可以，爸爸很喜欢去吃，但是老公说的口味变了没有以前好吃，再接再厉吧！ 【环境】还是老样子，没变化，空间还是很大 【服务】服务员还可以，比较积极，因为过生还送了面！但是用了美团付钱就不可以开发票，而且还不送优惠券！ 【等位】要订位，万一没有坐的了那就很尴尬了！毕竟我们去的人太多了，14个人，
裕昌火锅（德通桥路总店）,ABCD8071,定的套餐，说实在的有点不新鲜，最失望的一次
裕昌火锅（德通桥路总店）,XmpanDa520,味道真心不行，价位又高，菜品又少
裕昌火锅（德通桥路总店）,Cassiopeiax,一直觉得裕昌味道挺好的，吃了好几次了，环境也不错
裕昌火锅（德通桥路总店）,匿名用户,服务员服务不好 本人不能吃碘盐， 叫把盐拿厨房炒一下（去碘） 居然说不可能给我炒， 因为太少了， 我看是因为没收这项费吧， 我吃哪么多火锅底， 第一次碰到不给我炒盐的， 严重差评，差评， 店长和服务员居然异口同声 现在火锅行业竟争这么大的时代， 你们就等着关门吧， 关门后去海底捞学习下， 服务学习好了再来开店，谢谢
裕昌火锅（德通桥路总店）,匿名用户,环境还不错，位置好找…………已经去过几次了
裕昌火锅（德通桥路总店）,车马相士将炮兵,裕昌火锅在走下坡路，用的地沟油太呛喉咙了，完全不值这个价位
裕昌火锅（德通桥路总店）,高瞻远瞩333,菜品分量少，而且菜品偏贵，服务态度不是很好
裕昌火锅（德通桥路总店）,匿名用户,并不怎么样，很多菜都是冻货，味道一般
裕昌火锅（德通桥路总店）,芃Ann,虽然在温江这么久了，但是还是第一次去裕昌火锅，第一次去体验超级不好。我们是四点半左右到的，按道理说都应该是正常营业的时间了，可是菜很久才上，上口锅底干等着，而且也没有服务员说给我们参点茶水，都是坐了很久没人咋甩我们，我们喊人才给我们参点茶水。前台领我们到座位坐下，就只有一个阿姨过来问了一下我们点什么锅底，然后就各自忙别的去了，虽然她们是在忙摆台，但是这么多服务员就不能抽一个看哈我们这张台嘛，服务很失望。而且卫生也不太好，在鸭肠里面吃到了头发，由于在水上乐园耍了一天实在是太累，就没想找店里理论，反正不会有第二次选择她们了。
裕昌火锅（德通桥路总店）,匿名用户, #大盘千层肚# #翡翠包子# #极品耗儿鱼# #红糖糍粑#
裕昌火锅（德通桥路总店）,匿名用户,吃了之后第二天肚子没有不舒服。味道越吃越辣。但性价比不高，锅底就60多，价格偏贵。
裕昌火锅（德通桥路总店）,OHA303422959,吐槽一下服务员，态度极差，还凶神恶煞的，点个菜极不耐烦，好像生意好就不得了一样，看着怪恶心人的，不会再去
裕昌火锅（德通桥路总店）,瞬间的永恒824,三个人的红锅都是68，很贵，稀饭都两块钱一碗，纸两块钱一盒，用了两张劵都一个人70块，太贵了。反正我是不会去的了。
裕昌火锅（德通桥路总店）,AdL834828904, #嫩牛肉# #鸳鸯锅底# #大盘千层肚# #精品鹅肠# #飞饼# #麻辣牛肉# #红糖糍粑# #极品耗儿鱼# #土豆# #鲜榨果汁# #大盘毛肚# #海带# #银耳汤八宝粥# #耗儿鱼# #蛋酥糍粑# #去骨鸭掌# #山椒牛肉# #玉米汁# #海白菜# #冬瓜#
裕昌火锅（德通桥路总店）,匿名用户,我感觉味道很一般，太燥了。吃了绝对肚子疼
裕昌火锅（德通桥路总店）,callmeStone额,只能说味道不能满意，我吃了肚子绝对痛，很奇怪！
裕昌火锅（德通桥路总店）,匿名用户,感觉没以前好吃，服务员态度也需要改进，短时间不会再去了。
裕昌火锅（德通桥路总店）,匿名用户,可以 我们的生活方式是什么时候开始的
裕昌火锅（德通桥路总店）,yML462926052,菜品新鲜，但份量不是很足，味道还不错 ，比较温和。服务差些了，尽是老年服务员。
裕昌火锅（德通桥路总店）,aZy108020453,味道不如以前，前台服务一如既往差。
裕昌火锅（德通桥路总店）,yhumkqgh,味道还可以，就是菜品偏贵了，以后不会再去了
裕昌火锅（德通桥路总店）,yML462926052,环境不错，服务将就，但是份量不足 ，摆盘稀稀拉拉，味道还真不敢恭维，我们上的金针菇都有点不新鲜了。
裕昌火锅（德通桥路总店）,禅禅9097,这个套餐很划算，一家大小6个人完全够吃了。味道还行。 #麻辣牛肉#
裕昌火锅（德通桥路总店）,Nfa84273542,味道巴适😊😊😊😊
裕昌火锅（德通桥路总店）,Nfa84273542,好
裕昌火锅（德通桥路总店）,匿名用户,抱着很大的期望去的，结果味道却不怎么样，服务态度还可以
裕昌火锅（德通桥路总店）,百那由他,不好吃还贵。其他的没啥说的凑字数的
裕昌火锅（德通桥路总店）,Dxj238623854,有那么久没来过了，感觉菜品品质都下降了，山椒牛肉的肉不是牛肉，黄喉上面还有沙，郡把也没清理干净，忍不住的想吐槽。。。 不好的说了来说说好的~耗儿鱼不错，个头大，一份有六个，蔬菜新鲜，前台接待态度多好，还有他们一个领导，还特意告诉我们店里的一些其它优惠，教我们咋个吃更划算，更没有因为团购而区别对待……服务这块没的说👍 团购套餐4个大人一个小孩，加了几个菜，人均80还是不算贵
裕昌火锅（德通桥路总店）,aLY811830586,还是不错，有点小贵，其它的挺好的
裕昌火锅（德通桥路总店）,tpll2010,味道一般吧，老是觉得锅里有个怪怪的味道
裕昌火锅（德通桥路总店）,bZt708603052,真实评价，味道一般，服务人员的态度还不错，就是买单的时候前台的两位美女，一边吃瓜子，一边摆龙门阵，而且感觉前台坐在哪里收钱的两位美女，态度给人感觉他们是消费者一样，商家出现欺骗行为，第一：明明没有说只能用两张，但是我们只让我们用2张，然后又退了一张，第二：团购也没说要提前几个小时团，消费了过后说要提前几个小时团，！！亲爱的商家，奉劝你们一句，当今这个社会不是一家独大，智媒体时代，如果你们还自以为是，不注重网络营销的话，那怕你们是老牌子，在温江开了很多年了，你们后面会越来越难做的了！
裕昌火锅（德通桥路总店）,UuK336341223,以前觉得不错，所以怀孕后很久没吃火锅又选择了这里，结果这次去失望透顶，香菜没洗干净，还有沙，给服务员说也不以为然，点的藕片也不新鲜，吃起还有种怪味儿，让服务员倒个茶半天不来，四个人酒水都没喝就吃了380，菜品价位与服务和菜品质量完全不匹配，怪不得现在生意越来越差。
裕昌火锅（德通桥路总店）,Cxy3290,还好还好还好还好还好，价格稍微高一些。
裕昌火锅（德通桥路总店）,匿名用户,感觉一般般，吃了肚子不舒服。可能没煮熟。
裕昌火锅（德通桥路总店）,Lsz706982462,环境一般，去的有点晚服务员都在吃根本没人管你，之前看的卷都是可以叠加使用的，结果吃了去结账时说只能用一张……实在无语的不行
裕昌火锅（德通桥路总店）,abby啊丸,三个人吃了三百多 味道真心不觉得好吃 牛肉跟毛肚咬都咬不动 点了份大份的毛肚50多好像 就吃了两片 这完全是给我们训练咬肌啊 我跟我老公都觉得没以前好吃了
裕昌火锅（德通桥路总店）,没有昵称，？,没有以前好吃了，越吃越辣，分量够
裕昌火锅（德通桥路总店）,fOw445272555,不错，服务很好，走时老公忘了包，服务员还忙着跑来提醒，特此感谢。 #竹荪# #飞饼# #精品鹅肠# #嫩牛肉# #美国肥牛#
裕昌火锅（德通桥路总店）,奶茶熊猫99,还可以，味道都差不多，一年会去一到两次
裕昌火锅（德通桥路总店）,tangtang4715,好吃是好吃，就是太贵了，人少吃不划算
裕昌火锅（德通桥路总店）,liuyijie528,吃了几年了，觉得没有以前那么好吃了
裕昌火锅（德通桥路总店）,jing2037,环境不错，就是服务员一直在外面聊天
裕昌火锅（德通桥路总店）,xiaojiazi.,四个人吃了395，感觉味道没以前好吃了！服务还是很好的！
裕昌火锅（德通桥路总店）,匿名用户,生意不好，服务客人时一脸嫌弃，不情愿。
裕昌火锅（德通桥路总店）,fhK986321528,因为你用了美团券 你就不是他们的顾客真的
裕昌火锅（德通桥路总店）,ly541880,不错，环境也好，味道也挺好的。
