店铺名称,用户名,评论
谦和清心素食（温江店）,花漾三千,"交 通 ： 在 东 大 街 文 庙 ， 广 场 ， 对 面 就 是 魁 星 楼 ， 地 铁 都 会 远 一 些 
 环 境 及 菜 品 ： 中 午 是 就 餐 高 峰 期 ， 店 内 人 数 暴 多 ， 取 餐 基 本 上 都 是 排 队 挨 来 ， 还 是 井 然 有 序 。 用餐环境不错 里面素菜有很多种种 空 间 比 较 小 ， 基 本 上 都 是 座 无 虚 席 ， 就 餐 加 上 取 餐 
的 就 会 拥 堵 ， 二 楼 也 可 就 餐 ， 只 是 人 要 少 一 些 。 菜 品 依 旧 品 种 丰 富 ， 样 样 齐 备 ， 每 人 不 限 次 数 自 行 取 餐 就 
可 以 。"
谦和清心素食（温江店）,riQ119054137,"「#套餐：素食自助餐」
【环境】干净整洁有序，去这消费很大原因就是卫生好，服务人员一直维护着，非常优秀!「#素食自助餐」

【性价比】好多菜，常常去吃都还没吃腻吃烦，主要还会上新菜，很喜欢💕多吃水果蔬菜对身体健康。光盘再给优惠券，要支持一下！"
谦和清心素食（温江店）,iih770216462,今天又来这家店啦，一如既往的支持，菜品也是一如既往的好吃干净整洁卫生。用餐环境也很不错的啦，就是在这里平台提醒一下个别顾客不要用自己的筷子夹菜，谢谢了。服务态度也是一如既往的好，最喜欢吃的就是水果和蔬菜，推荐给大家。
谦和清心素食（温江店）,ewl735013904,"“#套餐：素食自助餐”
【环境】在文庙广场里，有收费停车位，骑车过来位置好找。环境舒适干净整洁卫生。

【服务】工作人员和善l积极维护干净卫生，使用美团卷也方便快速。

【性价比】划算，好多菜品可以选择，素食味道不错，非常喜欢。"
谦和清心素食（温江店）,LhP112914544,去吃第很多次了，味道还是不错，虽然都是素菜，但是菜品很丰富，味道也还是可以，尤其是炸蘑菇，很不错啦！每次都和家人一起去吃，连小孩都还是挺喜欢吃这的素菜！环境也可以，一楼人比较多，可以去二楼，二楼人少，也安静！不错的！
谦和清心素食（温江店）,riQ119054137,"「#套餐：素食自助餐」
【口味】味道不错，口味偏咸，整体还是很好的👌可选的菜品有好多，可以尝试不同菜，常常来吃也不会觉得腻! 

【环境】好！很干净整洁，饭前也有洗手台方便洗手，工作人员一直在维护台面，保持卫生，点赞👍"
谦和清心素食（温江店）,riQ119054137,"非常推荐哦，环境干净整洁舒适，菜品新鲜多样，也会更新菜品，有工作人员时刻在维护台面整洁，整体感觉不错👍
【口味】部分口味比较重，多数菜品都好吃。

【环境】门口可以停车，收费的。

【性价比】多菜品选择也多。"
谦和清心素食（温江店）,兰惜j,跟家人团了两张券去体验下，店家服务热情。一进去感觉环境清新，就是人有点多，找了一会座位。菜品种类多，水果小吃还有甜点选择很多，也挺新鲜。这种素食的自助很不错，偶尔出来吃吃素也挺好的。菜品味道合口，下次有机会带朋友来尝尝。
谦和清心素食（温江店）,兰惜j,在美团上团了两张券，带着家人去体验一下。店家服务热情，餐厅环境不错，就是一到饭点人特别多，不好找座位。小吃甜品菜品选择挺多的，菜品也很新鲜吃完空盘还可以送一张抵用券，下次消费的时候可以再用，挺划算的。
谦和清心素食（温江店）,NBz273718007,"好吃 品类很多 带妈妈吃了之后说下次还要来 
味道越来越好拉 品类也很多 很值得来尝一尝  服务态度挺热情的 很细心  用餐环境很舒服 这么便宜的价格 小朋友还都免费 很良心的店铺 真的是不为赚钱只为慈善了 棒棒棒！ 希望店家生意越来越好～"
谦和清心素食（温江店）,,
谦和清心素食（温江店）,Later5959,"很早之前就在网上看见这家素食自助 终于在清明节假期打卡成功 里面的装修是很古朴的那种 让我感受到的事那种温馨的氛围 整个用餐大厅也是自己找位置坐 食物让人吃着放心 菜品种类也十分丰富 还有一些小零食而且还是不断地添加 
最后给我的感觉就十分满意的 等我有机会还要去"
