店铺名称,用户名,评论
鸡毛店·川菜（同兴西路店）,_qqnkd1436192216,此次用餐总体来说不错，觉得比较认可的地方有：口味。味道很好，住在附近，经常过来吃，朋友小聚选择这里非常不错，环境好，装修风格比较喜欢，服务也不错，上菜特别快，菜品比较新鲜，锅边磨，花椒鱼，萝卜汤味道都很好，
鸡毛店·川菜（同兴西路店）,plK125744800,"太棒了，绝绝子！！爱了爱了  
那个鱼真的超级好吃，第一次来成都，吃到这么好吃的当地特色菜，真的真心觉得超级棒！！！推荐初来成都逛的小可爱们，快快来吃啊啊啊！！！！！！！！！！！！！！！！！！！！！！！！！！！"
鸡毛店·川菜（同兴西路店）,lixinxin0615,菜味道不错，分量也还可以，人也是真的多。特别喜欢冰粉
鸡毛店·川菜（同兴西路店）,H哗啦啦啦130,因为朋友生日才去选择吃的这家，也是好久没有去吃了就想吃。推荐烤馍，甜甜的好吃，窝窝头也不错，肉菜以前吃过彩虹排骨，现在好像换了，青菜还挺清淡的，可以搭配辣菜吃比较缓解辣度，凉面还是不错的，三种颜色，比较偏辣，喜欢辣的可以试试。
鸡毛店·川菜（同兴西路店）,Asy鑫,之前去的玉林店和双流店，店面小服务好。 这次来的同兴西路，店面很大，服务相对没有那么好。 每个菜都很好吃。就是扫码点菜很多找不到，显示的菜品数量很少，得去拿卡片到服务台点菜，希望能升级一下扫码点餐系统。
鸡毛店·川菜（同兴西路店）,Marlboro0322,很棒 五星好评 环境很好 菜品新鲜 两个人吃饱饱
鸡毛店·川菜（同兴西路店）,XXk472951458,已经不是记忆里的鸡毛店了，记忆里的好吃的菜已经不存在了，巴骨肉，鹅掌粉丝煲等等，都没有了。好吃的萝卜汤已经巨难吃了，萝卜都空花了，而且作为温江大众点评必吃榜居然是萝卜采购品种的问题。夫妻肺片好看，难吃，让我感受到农村酒碗水准。手撕鸭好吃，炒菜出品不错。唯一不变的锅边馍馍。哎！
鸡毛店·川菜（同兴西路店）,uMz471193327,每次来都好多人，环境很有特色，除了包间，还有亭阁间幸好预定了，在美团上团购的，很划算，菜品搭配的好，都是评价很好的菜，适合各种年龄段的人，老人小孩都爱吃，味道不错，非常合胃口，自产的鸡毛酒好喝，号称是粮食酒，朋友很喜欢，下次还要来
鸡毛店·川菜（同兴西路店）,pYL111866390,分量很足，味道不错，多次分享，👌🏻
鸡毛店·川菜（同兴西路店）,lgnewe,味道不错，环境优美！
鸡毛店·川菜（同兴西路店）,,
鸡毛店·川菜（同兴西路店）,傻傻呆呆的图图,【性价比】 【性价比】 【口味】 【服务】 【性价比】？ 【性价比】 【性价比】 【性价比】「#汽锅双拼」
鸡毛店·川菜（同兴西路店）,YVz765411720,味道一般 期望太高 可能不会再去。。。
鸡毛店·川菜（同兴西路店）,YK9688,菜品分量十足，味道一如既往的好，值得推荐
鸡毛店·川菜（同兴西路店）,碧海云天77,不错
鸡毛店·川菜（同兴西路店）,匿名用户,来了很多次了，不错
鸡毛店·川菜（同兴西路店）,闪电旋风2,很好的一家川菜馆，
鸡毛店·川菜（同兴西路店）,MLL329329,环境舒适，菜品干净分量足，就是套餐里没有下酒菜，希望店家改进
鸡毛店·川菜（同兴西路店）,Dhv871984461,经常来，从没失望
鸡毛店·川菜（同兴西路店）,Asy鑫,味道很不错，来过很多次了
鸡毛店·川菜（同兴西路店）,匿名用户,菜挺大份的，味道可以，整体服务都不错(除了一个要你注册会员的阿姨态度不太好)，哈哈整体环境和感觉还🉑
鸡毛店·川菜（同兴西路店）,pNb599902259,味道可以，肉新鲜，辣味十足。以后还会点这个菜！
鸡毛店·川菜（同兴西路店）,dTf443582557,很满意的一次就餐体验，整体评价的话我觉得：口味、环境、性价比、服务。
鸡毛店·川菜（同兴西路店）,辰光red,性比价很高，菜品可以
鸡毛店·川菜（同兴西路店）,XMd366647636,经常来这家店吃饭，味道和口味都很好。不过最近菜量变化挺大
鸡毛店·川菜（同兴西路店）,世界我最便宜,老主顾，家住附近，希望多点新菜式。
鸡毛店·川菜（同兴西路店）,ZCS1234567890,味道好，环境好，服务员态度好，菜品丰富，虾仁做的好
鸡毛店·川菜（同兴西路店）,sGg420850117,差评，这个菜 吃起都是苦的！来了一次的人就不会来第二次了
鸡毛店·川菜（同兴西路店）,pUr600696351,【口味】一般口味不太好5分 【环境】一般 【服务】一般
鸡毛店·川菜（同兴西路店）,蓝迦SUN,点的基本上都是招牌菜。口味和味道很巴适 不过建议和服务员大妈说让顾客先看好，一直推荐还是很聒噪
鸡毛店·川菜（同兴西路店）,zXu906981907,菜品不错，服务好和环境干净整洁
鸡毛店·川菜（同兴西路店）,匿名用户,朋友过生一起庆祝，服务态度很好。
鸡毛店·川菜（同兴西路店）,mdz299039485,不错的感觉。味道不错👍服务态度比较好
鸡毛店·川菜（同兴西路店）,Pure丶丶,非常巴适，这个2-3人餐估计3个人吃完都很困难，分量很足，吃的超级饱。夫妻肺片红油特别香。萝卜汤很鲜，有肉香，超大一份，好吃又好喝。环境好，服务员服务态度也很好，主动倒茶水，打米饭，打包。下次又来。。
鸡毛店·川菜（同兴西路店）,赵赵6036,味道真不错，价格便宜，环境很好，以后还会再来！停车也很方便！
鸡毛店·川菜（同兴西路店）,mIk996889175,碗大内容少。味道还可以，服务一般
鸡毛店·川菜（同兴西路店）,xIU546879589,味道很不错，服务员态度很好，热情周到。店子很大，
鸡毛店·川菜（同兴西路店）,xaP640512597,锅边馍馍真的好好吃啊
鸡毛店·川菜（同兴西路店）,gauss2001,建议到成都，或者成都温江的，一定去吃一下，本地特色味道刚刚的
