店铺名称,用户名,评论
黄记煌三汁焖锅（温江合生汇店）,Hqb575581621,"【口味】微辣合适，但还是有点辣，
【环境】很好，干净整洁
【服务】很好，服务周到，小哥哥也很帅
【性价比】挺好的，人均也很好，吃的很饱
「#牛肉」特别好吃，很嫩，爱了爱了，

已经推荐给朋友了，下次还会来打卡的，「#焖锅」特别棒，秘制配方好好吃，爱了爱了，下次一定要带好姐妹过来尝尝，"
黄记煌三汁焖锅（温江合生汇店）,RWc290704548,环境干净 卫生，食材比较新鲜，服务热情体贴，团的套餐份量足，味道微辣的 巴适。
黄记煌三汁焖锅（温江合生汇店）,qhn454649694,环境好，味道不错，服务周到，才出的新品性价比超高
黄记煌三汁焖锅（温江合生汇店）,每天记得喝水鸭,4个人吃了200多。分量还是可以。感觉荤菜有点少，素菜有点贵。焖锅下面全是青红椒、大蒜、红薯，素菜只有土豆跟藕。自己点了些素菜。味道还是比较好。比较推荐扯面！
黄记煌三汁焖锅（温江合生汇店）,CBI797417804,非常好的外卖，做的味道好吃分量充足，吃了还想在吃，这个五一假期一共点了两次这家的外卖，用餐非常开心，是一家值得信赖的餐饮店铺，食品味道可口分量足够一个人吃，甚至吃不完，对一个男生来说都绰绰有余，而且味道真的很棒！
黄记煌三汁焖锅（温江合生汇店）,KRQ528205539,拌锅服务员态度极差，我们几个女生吃不到那么多就一直叫我们多点一点不然不够吃我们说了我们不够再点，结果就一直给我们甩脸色，作为拌锅员不应该不能佩戴首饰吗？又是戒指又是手链、手表的，你在炫富吗？卫生合格吗？不会再吃了，希望你们慎重考虑。
黄记煌三汁焖锅（温江合生汇店）,凉心沫月,今天上餐特别慢，问了几次都说去问然后就问来没人了！最后是结果是一脸笑意说的马上确认结果再一次没人了！又等了5.6分钟才看到东西来！说实话很影响心情这样的态度！全程笑意事情不解决！这一餐等待时间超过半小时！应该很久不会来了！体验感差了！
黄记煌三汁焖锅（温江合生汇店）,样样不一样,普普通通 是好吃的 还是熟悉的味道 环境一般吧 但菜品没大问题 分量是很足的
黄记煌三汁焖锅（温江合生汇店）,yUF348967159,很满意的一次就餐体验，整体评价的话我觉得：环境、服务、口味、性价比、团购接待。
黄记煌三汁焖锅（温江合生汇店）,匿名用户,团的秒杀券，店家在没有核销情况下，门店拒绝使用，理由是不通用，在再三要求下店家才进行核销，经过核销证明我这个券可以用，并且工作人员翻看我的手机被我当场抓住！！！
黄记煌三汁焖锅（温江合生汇店）,,
黄记煌三汁焖锅（温江合生汇店）,原来是你427,官微您好，一直很喜欢吃你家，但今天可能是最后一顿了！今天我和我老婆去店里吃饭，煮之前锅里发现了你们家料包的塑料，想着反正还没煮夹出来就算了，不曾想煮好了刚吃几块，又发现了一块一摸一样的塑料，好吧，我老婆刚怀孕，不清楚高温煮过的塑料会不会产生多影响，抱着宽容的心让服务员换了一锅，结果第二锅分量直接肉眼可见的减少，这就是店家给予顾客的态度吗？
黄记煌三汁焖锅（温江合生汇店）,匿名用户,位置就在合生汇4楼，以前刚开张就来吃过了，也喜欢他家的味道，这次美团上有活动果断抢了券，真的很划算
黄记煌三汁焖锅（温江合生汇店）,西瓜猫儿咪,现在感觉越来越不好吃了呢。菜品的原因，味道还是不错的。
黄记煌三汁焖锅（温江合生汇店）,米斯忒李,很满意的一次就餐体验，整体评价的话我觉得：口味、环境。
黄记煌三汁焖锅（温江合生汇店）,NsU740257814,🉑️
黄记煌三汁焖锅（温江合生汇店）,NOR541271597,太好吃了
黄记煌三汁焖锅（温江合生汇店）,家懿520,孩子们喜欢吃焖锅，酱汁很美味，环境也很好👍👍
黄记煌三汁焖锅（温江合生汇店）,匿名用户,此次用餐总体来说不错，觉得比较认可的地方有：口味、环境、性价比、服务、团购接待。好味道
黄记煌三汁焖锅（温江合生汇店）,匿名用户,验券等了20分钟，结果搞忘了给我们下单？这个服务。。。
黄记煌三汁焖锅（温江合生汇店）,长久相伴叶,一切一如既往的好，不过服务差了点！应该是都忙着下班吃饭了吧！
黄记煌三汁焖锅（温江合生汇店）,NsU740257814,不错不错，微微辣哈哈
黄记煌三汁焖锅（温江合生汇店）,Njy802775143,味道相当不错，已经吃过多次了，原汁原味的菜，加上特制调料，相当不错，每一次都吃的心满意足的，用餐环境也很干净卫生，服务非常热情，菜品也很新鲜，份量相当于足，服务员还提醒你，点的份量差不多了，不免造成浪费，值得推荐！
