店铺名称,用户名,评论
龙腾庭院火锅（恒大新城店）,Vorfreude7,"「#套餐：焦糖豆花」小吃味道很好吃😋，甜度刚刚合适，配料也非常的足。
「#草原千层肚」千层肚入口化渣，特别的爽口。
「#爱心虾滑」最近还是比较适合点这道菜，里面有2个爱心，马上要到情人劫了，还是很应景的。

【口味】口味适中，麻辣鲜香，口口都是正宗的四川味道，特别喜欢。
【环境】环境很美，庭院很大，可以逛的地方很多。"
龙腾庭院火锅（恒大新城店）,pDi639862011,这次就餐整体感觉很赞，比较满意的方面有：服务。非常好，非常棒，这边还有表演，七点钟开始，然后火锅的红汤底料也比较好，一看就很新鲜，非常好，非常棒，给大家推荐的石磨豆花，豆花特别好吃，豆花特别好吃，还有表演
龙腾庭院火锅（恒大新城店）,匿名用户,"用餐环境还不错 ～～～～～做外边灰常凉快  ～还阔以看表演节目很多也挺精彩 ～～～～  小姐姐有点多唉
吃着火锅看节目巴适得很～
菜品也阔以
服务业蛮好的  很贴心的送上橡皮筋扎头发
甜豆花也好好吃～
总的来说
用餐体验灰常棒唉"
龙腾庭院火锅（恒大新城店）,dlP543374253,味道将就吧，火锅爱好者应该会觉得一般，适合宴请外地客人；价格相对于其他火锅而言，确实稍偏贵，只记得锅底58还是68忘了，千层38，牛肉58一份，这些都不重要！毕竟店铺装修应该花了些钱！我想说的重点，是负责接预定电话的那瓜婆娘，你真的是瓜婆娘，态度之差，你家里是有几十个亿那么傲娇？还来这里当什么服务员？去过各种高中低档大小餐馆，这次是有史以来我遇到最典型的一个服务员，她的态度根本不像做服务的，顾客是欠了你钱还是怎样？你以为就你一家开火锅店，非去不可，还是去你们家吃饭是给顾客面子？？没给钱还是怎么滴？？说话特别冲，全程没有一句礼貌用语！你问一句，她怼一句！昨天我们通话开的免提，一屋子亲朋好友都在说，这个是服务员还是老板？态度好撇！！昨天毕竟是家庭聚会，不想影响心情这事就没拿出来说，今天我抽空专门坐着来写！！其他服务员还是很好的，大家记着，就美团上联系商家这个电话，接电话那女的声音粗狂，态度强势，但愿老板换个客服！严重影响顾客消费体验感！！！我们8个人，买了5张券，总共话费641，不过个人而言还算能接受！
龙腾庭院火锅（恒大新城店）,qFO466323759,首先是环境，园林+火锅器具的展示，成都这种形式的还是首家。最贴心的还有小朋友的游戏机，大人好好吃火锅，娃娃可以好好耍，还有观景鱼。服务不错，帮忙下菜。
龙腾庭院火锅（恒大新城店）,bsP952902375,这次就餐整体感觉很赞，比较满意的方面有：口味赞、环境优雅、性价比高、服务细致、团购接待。 「#爱心虾滑」最爱他们家的爱心虾滑，形状是两个对称的❤，很形象。 「#菠萝飞饼」香脆可口，小朋友都爱吃。 【环境】今天坐的室内，很有氛围，就是有点吵。 【服务】服务这点很不错，服务态度都挺好的，一口一个美女叫的我都要飘了😂😂 【性价比】总的来说，就冲这几声美女，值得我给五星好评。
龙腾庭院火锅（恒大新城店）,bPJ612394741,"朋友推荐过来的，总得来说很不错。味道来说还是很惊艳的，锅底味道不踩雷，口口麻辣鲜香，锅底味道很醇厚，很适合涮烫菜品，很留味。

有舞台，晚上有表演，节目还是很好看，有特色的川剧，变脸吐火和皮筋滚灯，很有四川风味。

服务也很很不错，环境复古的风格，进来就像大公园一样，花草树木布置的精心，推荐。"
龙腾庭院火锅（恒大新城店）,vaU828456951,"环境很美，晚上有表演，跳的挺好的。主持人的唱歌🎤声音很好听，👍

菜品很新鲜，味道很不错，爱吃他们家的牛肉，吃着很过瘾。

服务也很错，态度很好，帮我们煮菜哦(´-ω-`)

环境很美，到处都是鲜花🌸盛开，适合休闲和打卡。

套餐性价比很高，便宜划算。"
龙腾庭院火锅（恒大新城店）,小小小大果冻,"主持人小哥哥唱歌更好听，歌声婉转动听，让人难忘。晚上还有表演，节目

环境不错，小桥流水，青砖绿瓦，一进大门，就像进了一个大花园。

火锅味道很好吃，菜品也很新鲜，最喜欢鹅肠和毛肚，吃起来脆脆的。"
龙腾庭院火锅（恒大新城店）,rUB730055684,「#套餐：超值8人餐」套餐很实惠，够我们八个人吃。 「#草船借箭」三国主题菜品，船式的造型，船头是手拿羽毛扇的诸葛亮，好看又好吃。 「#屠场毛肚」菜品很新鲜，涮涮起吃很爽脆。 【口味】口味适中，味道很足，牛油味很足，麻辣鲜香。 【环境】环境是他们亮点，就像一个博物馆式的公园，可以学到火锅的起源。
