,Unnamed: 0,店铺名称,用户名,评论
15461,0,大美蓉城自助火锅烤肉（温江店）,njv818092191,「#套餐：4 人自助」「#肥牛」 「#千层肚」「#鸳鸯锅底」很棒的体验，今天又要去吃了 空间很大，是个总店， 【环境】很好，没有什么异味 【口味】鸳鸯锅太棒了，，「#奶黄包」「#蛋炒饭」「#水果」「#小蛋糕」「#鸳鸯锅底」「#鸳鸯锅底」「#毛肚鸭肠」「#豆腐」「#蛋炒饭」「#水果」
15462,1,大美蓉城自助火锅烤肉（温江店）,POQ145771445,爱了，真的好吃，口水出来了
15463,2,大美蓉城自助火锅烤肉（温江店）,TYM553294467,经常和朋友去吃，便宜，味道也还不错，环境干净卫生，服务也还热情，「#套餐：单人自助」「#红锅锅底」「#西瓜」「#五花肉毛肚」「#肥牛」「#千层肚」「#毛肚鸭肠」「#奶黄包」「#蛋炒饭」「#毛肚鸭肠」「#流沙包」「#冰激凌」「#红锅锅底」「#泡椒鸡爪」「#骨肉相连」
15464,3,大美蓉城自助火锅烤肉（温江店）,wwwum,去吃了很多次 口味还是不错 性价比也可以 人均五六十的样子 小吃和水果都比较新鲜 酒水也比较多口感不错 环境也挺宽敞的 每天去吃的人也比较多 服务也还不错 👍👍👍👍👍 店在大学城附近 学生去吃的比较多 也比较便宜😊😊
15465,4,大美蓉城自助火锅烤肉（温江店）,匿名用户,曾经去过这家店，人潮汹涌！这次再去，店里就2桌人，冷冷清清！然后现在锅底油碟都要加钱了！以前都是在团购内！ 菜品很不新鲜，都干了！小吃区，不知道是多久的，薯条已经软烂，饼子西碎，味道差！卤味有股馊味！！！！ 真是太无语了，生意不好，菜品这德行，怎么会生意好！ 直到我们离开，总共就3桌人！ 锅底，煮了没多一会儿就起泡了，一看就是不干净的油！再不来了
15466,5,大美蓉城自助火锅烤肉（温江店）,肽聚糖苯,严格来说我打低了 应该是3.5分 可是美团没有3.5 没办法 锅底油比较少 单纯的辣味没有油味 火锅自助里面算做的好的了。各种菜品都还比较齐全。人多还行 人少不建议
15467,6,大美蓉城自助火锅烤肉（温江店）,匿名用户,恩，怎么说了，就是锅底还行，但是菜不新鲜，可能去的人少吧，就都不新鲜，南瓜和海带不好吃，一个没味道，一个太咸了，虾滑最好不要拿，鸭肠时间放的比较久了，腥味很重，没有什么好吃的菜，本来和朋友推荐的这家，结果失望而归，自己掏腰包请她们吃饭，只能说之前来味道还不错的，现在没有以前好吃了，菜品也很少，很多冷冻的食品，就这样吧，推荐这种事不太想做了，
15468,7,大美蓉城自助火锅烤肉（温江店）,洋洋洋哥的日常,「#套餐：4 人自助」环境很一般 生意还是不错 但是味道很一般 菜品也是很一般 中规中矩 只能说性价比一般 【服务】服务一般 态度一般 最基本的尊重都没有 【环境】环境一般 性价比还行「#肥牛」荤菜很少 可以吃的没几个。反正很少来一次还是可以。
15469,8,大美蓉城自助火锅烤肉（温江店）,凉栀99,菜品有点少，味道一般
15470,9,大美蓉城自助火锅烤肉（温江店）,匿名用户,避雷，菜品巨少，晚上八点多去吃，九点半就收菜了，美蛙没有处理干净，肠子都有，梭子蟹也没清理，吃了打标枪，味道一般，不好吃不难吃，性价比不高，不推荐来吃，两个人130
