,Unnamed: 0,店铺名称,用户名,评论
60344,0,韩呈一品韩式自助（温江店）,iBg177106827,和室友一起去的，环境很干净卫生，菜品多，有很多小零食（蛋糕，凉面，卤菜，蛋炒饭，泡芙，寿司等），各种饮料（雪碧，可乐，奶昔，果啤，光明酸奶等），水果（西瓜，哈密瓜，橘子，圣女果等），服务态度也不错，会随时来收盘子，换烤纸，性价比高，推荐
60345,1,韩呈一品韩式自助（温江店）,dPM466880486,味道和别的烤肉差不多吧，不过餐厅的地面是真的滑，一不小心就可能摔跤，卫生间环境太差了，一开始去上了个厕所，然后胃口都没了，基本菜品还是有的，鸡翅，牛肉，脑花等等，那里的凉面应该算是我觉得最好吃的了，总体来说算是合格吧
60346,2,韩呈一品韩式自助（温江店）,VjT885428431,干净卫生，味道不错，价格实惠 ，跟室友去过两次了，都觉得很棒，会多次去的，菜品不错，服务很好，烤肉滋滋发出声响，一滴热油顺着饱满的肉的纹路慢慢滑下，令人心醉。细细的嗅，慢慢的闻，馋虫迅速被勾起。终于忍不住，顾不得烫，一咬就是一大口，哇！
60347,3,韩呈一品韩式自助（温江店）,匿名用户,素菜品种少，荤菜品种少，饮料难喝（说它是气泡水吧味道怪得很，说它是水又对不起水）油像注水的，烤盘设计不合理，油溅到处都是。衣服带着围裙还是被溅的脏兮兮的。手和脸都被烫到了，几个人吃了之后窜稀，室友投诉我们说上厕所过于频繁。「#套餐：单人自助烤肉」
60348,4,韩呈一品韩式自助（温江店）,吃货妹纸12,第一次去还不错，就是菜品太少了。服务态度也挺好的。和家人一起去的，环境也还可以，还是那句菜品太少，菜品太少，菜品太少。肉考出来要自己加点味道会更好吃一些。水果也样品也很少，如果朋友聚餐都可是比较不错的选择，图片总得美颜相机照的
60349,5,韩呈一品韩式自助（温江店）,匿名用户,素菜少，荤菜品种少，饮料难喝。油像注水的很轻，烤盘设计不合理吃的时候一直被油溅到，衣服带着围裙还是被溅的脏兮兮的。手和脸都被烫到。几个人昨天吃了之后，昨天晚上到今天早上一起窜稀。室友投诉我们上厕所过于频繁。
60350,6,韩呈一品韩式自助（温江店）,匿名用户,阿姨的服务态度很好，很温柔，菜的味道也不错，还提供了凉面冰粉寿司等小吃（凉面很好吃），饮料的话，我们喜欢喝雪碧，觉得挺棒的，用餐环境也挺好的，现在是夏天，有提供空调。和大学室友一起去吃的，总的来说体验感挺好的，性价比也比较高。
60351,7,韩呈一品韩式自助（温江店）,UfD452709560,"「#套餐：六人自助烤肉」好不错。。。。。。。。。。。。
哈哈哈哈哈哈哈哈好好好，hh好好的hh好好的好好好好
跟同学去的超级划算满意哈哈哈哈哈好好好好好好，hh好好好好好
吃了超级多撑死了


哈哈哈哈hh好好好好，hh"
60352,8,韩呈一品韩式自助（温江店）,如果神愿意丶,【口味】调料只有两种，干辣椒加豆面，韩式烤肉酱，好在有些肉有腌制过，不需要蘸碟 【环境】对我来说有点闷 【服务】阿姨有一直帮忙换纸，挺周到的 虾仁很好吃！不蘸料都好吃，清甜可口，特别是剥了虾壳烤，比带着壳熟的快且嫩；烤五花也不错，烤得微微焦黄就很香，很好吃！烤生蚝的话，我个人比较喜欢吃，but有细沙……拿了好几个都是；锡纸粉丝脑花（花甲）偏咸
60353,9,韩呈一品韩式自助（温江店）,一道生灭,很多菜都不新鲜，有点怪怪的味道。像牛蛙、郡肝吃起来都粉粉的，没有嚼劲。雪碧和可乐不知道是怎么冲出来的，特别奇怪，一口下去以为喝的中药，差点yue了?还有小料，辣椒面、韩式辣酱、青椒油碟都还行，但是花生粉特别难吃，就很陈，感觉放了好久好久。。总的来说吃的很不开心。
60354,10,韩呈一品韩式自助（温江店）,VJj324710682,菜品种类很多，各种肉类、素菜都有。自助品种很多，有蛋糕小吃、卤蛋鸭爪、银耳汤、各种饮料，芬达雪碧奶茶都有。但是感觉不太卫生，肉有些味道怪不新鲜，特别是粉丝扇贝不新鲜。而且烤的时候油溅得到处都是，裤子衣服什么的都要换完，围裙也不主动给一条。就和隔壁江南道一样没什么区别。总之没达到心中的预期，下次不来了。
60355,11,韩呈一品韩式自助（温江店）,EDh879400619,去这里几次了，第一次去很好吃，肉很新鲜，卫生很干净，吃的也很多，推荐肥牛，鸡中翅，蒜蓉排骨，金针菇，生蚝
60356,12,韩呈一品韩式自助（温江店）,YfX393502032,「#套餐：单人自助烤肉」「#烤五花肉」「#粉丝扇贝」「#黑椒牛肉」「#烤生蚝」「#肥牛」「#青虾」「#肥牛」「#奥尔良翅中」「#烤螃蟹」 自行去吃，都有N多次；每一次都服务很好，烧烤就是避免不了烤焦部分，但是这家店铺，还是相对我觉得可以的，有机会大家可以去试试看。很喜欢，点赞，好好吃好满足，好久没有次到这么美味的羊肉串了。
60357,13,韩呈一品韩式自助（温江店）,Kuu822769989,菜品感觉不够丰富，但是吃的人很多，老板开店，给我的感觉就是他挺佛系的，还算可以 ，环境的话还是在烤肉店里算装修的比较好的了吧。
60358,14,韩呈一品韩式自助（温江店）,NFa538154038,「#套餐：单人自助烤肉」刚好逛到大学城那边  其它烤肉店人都巨多  就选了一家人相对不是很多的店  菜品种类很多 味道一般吧  「#套餐：单人自助烤肉」
60359,15,韩呈一品韩式自助（温江店）,UtX225265618,店面虽小，五脏俱全。水果、甜点、寿司都有，还有美年达橙汁、雪碧、可乐、酸梅汁、牛奶、啤酒等饮品。肉类很多，价格亲民，(?▽?)味道不错。推荐菜品：粉丝扇贝，五花肉，猪排骨，奥尔良中翅。总体体验不错，值得二刷。
60360,16,韩呈一品韩式自助（温江店）,YcR459968721,服务态度很好，店里面的环境非常不错，有很多不一样的饮品，菜很齐全，什么都有吃的，喝的甜品，蛋糕，薯条都有，味道非常不错，很好吃，价格很很便宜，也很优惠，人比较也多，非常的热闹，生意也比较好，没来过的小伙伴来品尝哦
60361,17,韩呈一品韩式自助（温江店）,ocr643760849,好吃，真的好吃，味色香俱全
60362,18,韩呈一品韩式自助（温江店）,RrO277160649,第一次去吃的这家，生日就在这家店过了哈哈哈哈。然后这家店的服务态度超好，看到烤肉的纸糊了就马上更换，根本不需要我们提醒。emm还有「#烤牛排」「#烤五花肉」「#肥牛」特别好吃，菜品也挺丰富的，去的话直接去就好了，不用排队。
60363,19,韩呈一品韩式自助（温江店）,VPB648560733,我只想说这肉一股馊味都臭了感觉，然后吧就是饮料种类太少，吃完回来就拉肚子，再也不会去了，我想说如果怕成本高就别自助烤肉了，抱着试试的态度去吃知道是自助的没想着说有多好可没想到这么差，回来拉了一晚上肚子，太难受了?？
60364,20,韩呈一品韩式自助（温江店）,馨羽hln,菜品种类还是挺多的，肉类看着挺新鲜，考出来味道也挺不错的，下次吃自助餐还会去他家
