,Unnamed: 0,店铺名称,用户名,评论
60870,0,韩国小胖料理自助烤肉,古娜拉倩,绝绝子！！！ 发现了这家宝藏店铺 坐车过来的 就在中医大对面 交院后街旁边挨着的！老板人超好 不忙的时候全程给我们烤肉剪肉 一大块一大块的肉肉 烤肉爱好者表示 真的太满足了 关键还自助！爱了爱了！哈哈哈哈哈哈哈「#套餐：单人烤肉自助」
60871,1,韩国小胖料理自助烤肉,胡胡胡胡砸,【韩国小胖烤肉】 这家小胖就开在学校对面，平时去吃也不用排队，很方便。只是比起另外几家店好像肉类要少一点，薄切五花和肥牛都蛮好吃的，不倒翁拉面煮出来也很好吃!! 阿姨的服务也蛮热情的，但是阿姨帮忙烤的骰子牛肉真的好油，不喜欢吃那个☹☹
60872,2,韩国小胖料理自助烤肉,奇葩的亲们,好吃 环境也还可以！59吃的超级饱！店面没有想象的大，但是叔叔阿姨都很好，肥牛好吃！我超喜欢那个酸黄瓜
60873,3,韩国小胖料理自助烤肉,DaehanJin,"我一般是周五和同学去吃，4个人及以下建议坐小桌子，小桌子的烤肉锅可以漏油下去，不会那么油腻。
人多的话就只有去石板桌了，桌子很大，石板也很大，优点是能烤很多，缺点是，太油！[哭惹R][哭惹R] 所以还是建议4人及以下去用餐！！！
	
在成都这是一家性价比很高的店铺了，毕竟还有免费可乐和各种免费配菜！！！在温江的小伙伴一定要冲呀！！！"
60874,4,韩国小胖料理自助烤肉,匿名用户,肉很好，吃的出来很新鲜，也没有太多调料，就撒了一点胡椒粉就可以，吃肉确实很爽，酱料也很棒，店里面的服务态度也很好，一来就给我们上菜，后面也一直帮我们注意着烤肉和拿菜。缺点可能就是种类太少了，自助的话还是建议多加一点小食和饮料，现在的话有点太腻了，吃完不是很舒服，因为全部都是烤出来的。
60875,5,韩国小胖料理自助烤肉,IZS346362951,等了好久才⚠️终于吃到了烧江南🔥！ 一直没有去因为排队的人实在太多了，并且要晚上蹲点抢券，蹲了两天，才买到的 [调皮]味道是非常不错的，简直了，它的肉就是很好吃很有嚼劲的那种 位置就在大学城那边很好找的地方
60876,6,韩国小胖料理自助烤肉,蜰cc,小胖一如既往好 吃了很多次了 五花肉肉真的绝赞 还想着吃！老板也很热情友好 交流很通畅 饮料也是自助随便喝 很棒 还有配菜也很韩国味 喜欢喜欢 每学期都有去吃上几次 这学期才算完整 嘿嘿 还没去感受过的朋友一定要去体验一次喔！
60877,7,韩国小胖料理自助烤肉,ther8361,爆好吃   超级好吃 推荐推荐有机会土豪女的地方复古女vhjhhbvghyvb好尴尬比较好吃不堵车怒今日财经也许vhduvfhj个华晨宇翻页笔今天触不可及黄头发v空调共和国办法个月日发各过各的女孩好的续保v的衣服凡人歌
60878,8,韩国小胖料理自助烤肉,VianneLi,怎么说呢，来过很多次了，之前的体验都不错，特别是店刚开，韩国老板还在店里的时候。第一次因为桌上剩了两三片肥牛多收了钱，不是我杠啊，你好好说啊，当着那么多客人你让我要不坐下把它吃完，我是来消费还是什么？还有我想问，一客一饮啊，每个人可以选一瓶饮料，我想说又不是无限量饮，每人就一瓶，怎么我现在没喝我就不能带走呢？我们在店里自己买了酒喝，走的时候把自己没喝的可乐带走，店长还追出来让我还回去。真的是笑了，我只能说真会处理。本来不是多大事，都可以好好说，我都走了你追出来让我把饮料还回去，我想说我现场直接打开喝一口剩下的你让我带走不？？我说行吧你拿去吧，但是我们以后再也不会来了，然后店长直接说：好的没关系。漂亮！这服务体验，感情我还要舔着脸来吃你家烤肉似的！不想被店长服务气着的，大家自己决定要不要去吧。反正我再也不会去了！
60879,9,韩国小胖料理自助烤肉,ther8361,"不好吃 油死了  哈哈放不开一份炒饭推广合作VB长途车比附近人女童吃vudvhd还有点不方便呢居然v可以吃vc换衣服VB会更过分
广告费别具一格一个吃得好男女合肥感觉韩剧粗gvvgvtdvn九月份不会辜负惠风和畅GVvr更喜欢发vv也许会非常不尴尬"
60880,11,韩国小胖料理自助烤肉,匿名用户,环境还不错 老板人很好，服务态度不错 ，还会再去的。肉质也不错，很实在
60881,12,韩国小胖料理自助烤肉,瞳2618,去的时候太挤了 菜品不多 味道不错 让老板上的泡面半天没来 没什么菜
60882,13,韩国小胖料理自助烤肉,袄裙,肉很多，味道特别好吃，祝好运，喜欢喜欢，啦啦啦啦啦啦啦啦啦啦啦啦，「#套餐：单人烤肉自助」「#精品五花肉」 【口味】好吃 【环境】很不错的啦啦啦啦啦啦啦啦 【服务】也很好，人很热情啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊爱了
60883,14,韩国小胖料理自助烤肉,移草,肉太多，自助随便吃五花肉，味道还可以，老板是韩国人，亲自烤，但是菜品比较少，光吃肉很腻，吃不了多少就饱了
60884,15,韩国小胖料理自助烤肉,美女a6,第n次来吃了 真的非常好吃店面新装修了但是未到还是一如既往的好吃，老板是个韩国人，经常也会有很多韩国留学生过来吃饭，听她们说韩语好像在韩剧里面的烤肉店一样，店里的环境灯光也很适合拍照，真的超级推荐物美廉价。
60885,16,韩国小胖料理自助烤肉,SHY513976082,此次用餐总体来说不错，觉得比较认可的地方有：口味赞、性价比高、服务细致、团购接待好。
60886,17,韩国小胖料理自助烤肉,莫念末年462,很满意的一次就餐体验，整体评价的话我觉得：性价比。
60887,18,韩国小胖料理自助烤肉,沈河清,来吃了三次了，一如既往的好！！
60888,19,韩国小胖料理自助烤肉,匿名用户,五花肉管够，烤了超级香！爱了爱了
60889,20,韩国小胖料理自助烤肉,HLS850520716,基本每周都要过去吃 真的很好吃！
