,Unnamed: 0,Unnamed: 0.1,店铺名称,用户名,评论,scores,res
0,5698,0,众里寻她·千百度自助烤肉（温江店）,蕙蓉,来了很多次了，不错，这个价位真的算性价比超高了，朋友聚会确实划算,3.0,1
1,5699,1,众里寻她·千百度自助烤肉（温江店）,Fte337417584,这个价格自助餐很少了，而且菜品多，菜也新鲜，位置好。值得再去,3.75,1
2,5700,2,众里寻她·千百度自助烤肉（温江店）,lKI727919841,都挺好,1.2,1
3,5701,3,众里寻她·千百度自助烤肉（温江店）,ncH155212901,美滋滋,1.0,1
4,5702,4,众里寻她·千百度自助烤肉（温江店）,hJy941251704,菜品很多，饮料很多,0.0,1
5,5703,5,众里寻她·千百度自助烤肉（温江店）,zHw285858667,口感：味道还是原来的味道 菜品：菜品较以前有一点点缩减，仅有的海鲜也不大新鲜，不过水果，糕点类很新鲜 服务：1:美团购券后服务员喊退了现场买？说弄不来。2:6点到7点上客时间段员工也同时间吃饭，渣盘自己收，需要啥自己找。 环境：我们6:10到的有3桌，但是黑漆漆的（灯关了一部分）感觉没啥人气,-2.5,-1
6,5704,6,众里寻她·千百度自助烤肉（温江店）,昨天forgotten,一如既往的好吃,2.0,1
7,5705,7,众里寻她·千百度自助烤肉（温江店）,Amant844,经常过去吃的一家烤肉店了，性价比还不过，菜品比较新鲜。,2.25,1
8,5706,8,众里寻她·千百度自助烤肉（温江店）,IRJ968826002,环境不错，服务也还行，味道不咋地，是儿子选的地方,1.0,1
9,5707,9,众里寻她·千百度自助烤肉（温江店）,昨天forgotten,一般，聚餐可以来！！,0.0,1
10,5708,11,众里寻她·千百度自助烤肉（温江店）,RVx744912062,菜品很少.有许多小吃，酒有红酒，小孩子很多，很吵,0.0,1
11,5709,12,众里寻她·千百度自助烤肉（温江店）,EEz175499635,东西不新鲜，喊服务员加点菜还说里面有，拿完了才加！全是剩下的咋个拿嘛！玉米都焉儿了！让人很无语！绝对不会去第二次的！连拍照的欲望都没有！,-35.0,-1
