,Unnamed: 0,店铺名称,用户名,评论
0,0,蜀大侠火锅（温江店）,芦苇122,味道不错，吧台主动处理了超出的美团卷，只是还没研究券退到哪儿了，晚上十点钟还有那么多人也是不容易，我外地来的朋友比较满意，只是对那个半斤的歪嘴有点没整明白，酒有点苦，盖子是打开的，不晓得是啥子意思，当时没问。
1,1,蜀大侠火锅（温江店）,Vtq864777041,综合评价这次就餐体验，我觉得有以下不足：服务不到位，进门都没人理，还得自己找位子，点了饮料也不给上，锅底咸菜几十块的毛肚，居然给我上边角料，这是鲜毛肚吃出绿色毛肚的感觉。希望店家能多加改进。！！！！！！
2,2,蜀大侠火锅（温江店）,shexihlx,「#酥肉」还不错的 香香脆脆 「#红糖糍粑」这个吃火锅必点哈哈哈哈哈 「#无骨鸭掌」这个很好吃 需要煮久一点 【口味】还可以吧 吃到后面越吃越辣 芜湖～ 【服务】一般般 我们点了维怡 准备喝 小哥把瓶盖拿走了 而且也没有打开啊 【环境】还可以 第几次来吃了 【性价比】三个人吃了三百多块钱
3,3,蜀大侠火锅（温江店）,左岸沉沉,味道不错，有些菜贵点也很正常，毕竟新鲜程度比较好，一些菜也做的比较有特色，特别是那个虾滑，包裹层能很好的吸入锅底的味道，一口下去真的是爽上天，但是不小心会被烫到，服务员态度也很好，你有什么需求都会尽量给你满足的
4,4,蜀大侠火锅（温江店）,微笑88303,11号去吃的。口味一般，刚吃到还挺好吃，越吃越辣越吃越咸。 然后今天牛肉感觉不新鲜，朋友说吃起很怪，她就吃了一片，我没吃出来我就吃完了。所有菜吃完之后，捞起最后一片，颜色相当诡异，有点泛金色，以为是煮久了，结果晚上逛完街回来就拉肚子拉了两次，第二天早上也肚子痛上了两次厕所（工作人员12号解释肉都是先用啤酒还有调料腌过的，所以煮久了可能会出现这种颜色，我不晓得是不是。） 不晓得是不是因为我们五点十几分就到了，上的菜品是昨天剩下的，总之对贵妃牛肉很不满意（工作人员解释她去看了昨天的这个菜都卖完了，如果有问题，应该会很多不舒服，我觉得还是比较靠谱，可能也有自己肠胃的问题，不过对我吃的那盘菜还是持保留意见） 千层肚、青团和冰粉好吃，特别是冰粉，量也很足，千层肚吃完我们又加了一盘。糍粑不怎么好吃，表面不够脆，软趴趴的。 服务很一般，我们来的挺早的，人不多，结果除了坐下来倒了茶，再也没倒过，旁边也没放茶壶让我自己倒（给工作人员员提了意见，希望真的有改进） 后续服务还可以，工作人员态度很好，也很关心顾客身体，叮嘱我这几天吃清淡点，也喊我去医院看，费用他们承担，说话也没让人觉得不舒服。
5,5,蜀大侠火锅（温江店）,湯小易,蜀大侠…我和朋友差不多每个月至少都会去吃一次的店，在成都不知道吃什么，就吃火锅，吃哪一家？绝对是蜀大侠！ 【环境】很好，干净整洁 【服务】态度好，认真负责 【口味】牛油味的很重，好吃 【性价比】价格比一般的高一点， 「#贵妃牛肉」「#太极双滑」「#冰川鹅肠」「#精品千层肚」「#海带芽」「#神仙肥牛」「#聪明脑花」「#千丝蟹柳」「#牛油红锅」我的必点菜，
6,6,蜀大侠火锅（温江店）,匿名用户,好的东西要肯定不好的东西要提出来 1服务好，有求必应，微笑服务，服务员主动帮忙这个是肯定的。 2味道适中，大众口味。不好吃也不难吃！能接受 3环境不行，太闷，带小孩的别去吃，小孩受不了，除非坐靠窗那里，特别是把我们安排到离厕所那么近的地方，也没有什么东西挡一下，臭味一阵一阵的，真恶心，真想叫老板来厕所旁边吃一下感受一下！ 4菜品真的很一般，但是这套餐份量是真的足，他们都吃撑了还没吃完，五个人点的6人餐，都是大人！ 5就是价格有点贵，人均90。五个人吃了四五百。
7,7,蜀大侠火锅（温江店）,情歌大老板,感觉挺好吃的，正好朋友过生日，也有冰柜，工作人员也很热情还帮忙唱生日歌。菜品上菜特别快，而且肉质很好，一看就是很干净，虾滑也特别好吃，尤其是有咸鸭蛋黄的那个。总体来说好评，推荐，希望商家越来越好，啦啦啦啦啦。
8,8,蜀大侠火锅（温江店）,孙周梦茜,很方便，环境也好，味道不错，比心
9,9,蜀大侠火锅（温江店）,奥玛3968,服务态度很好，口味不错。挺超值的「#套餐：六人餐」
