,Unnamed: 0,店铺名称,用户名,评论
0,0,芭夯兔（温江店）,图哥128,都不记得来了好多次了，老买主老买主老买主！今天推荐给了朋友，他们一家三口吃了后也是赞不绝口。因为家里娃娃很挑食，辣味的东西除了辣条可能就啥也不出，不爱吃肉，也不爱吃素菜，曾经何时来尝试过一次，发现孩子爱吃，口味又清淡，加上兔肉营养丰富，配上菌汤更是锦上添花。先吃肉，后喝汤！整个一个字巴适了得！
1,1,芭夯兔（温江店）,是花仙子耶,说真的，一直都在成都市区吃的吧夯兔，没在温江吃过，这次恰好和妹妹一起就近需要聚餐，就来到了她上班近的地方。打消了我很多疑虑，没有让我失望，店面非常的大，看起明亮又干净，关键是味道就是非常正宗的他家兔儿的味道，蘸碟也相当巴适，门口停车好方便哦，就是停车不免费，希望改进！
2,2,芭夯兔（温江店）,匿名用户,总体来说，味道挺好的，然后菜量很大，三个人足够了。人很多空调并不是很好用，屋里温度相对较高，一开始吃热的一身汗，服务态度也可以。
3,3,芭夯兔（温江店）,NMC360883251,味道不错，很实惠，已经算是老顾客了，老板很热情，服务员也很棒，有求必应的，菜品也丰富，两个人完全够吃，强烈推荐鸭头，太好吃了！位置也很好找，餐厅内整洁，环境氛围很棒，值得推荐来吃哦，下次还会再来光顾的！
4,4,芭夯兔（温江店）,是花仙子耶,我们还是第一次来吃吧夯兔呢，主要考虑有小孩，清淡点好。喜欢吃辣的他家的其中一种蘸料非常适合的呢。兔肉完全没有骨头呢，夹给小朋友吃非常放心，软糯弹嫩，真的很香。他家的鸭头还是超级香，尤其是里面的鸭脑花。兔子布丁太好吃了，居然才1块钱，爱死了！
5,5,芭夯兔（温江店）,HLu264513969,首先服务非常好！店里的嬢嬢看到你起身会主动问你需要什么，帮你加酱或者提供别的服务！然后就是我特别喜欢吃清汤的锅(有点怕辣)，所以这家兔火锅很和我的口味，尤其是他们家的青椒酱真的绝，每次我都能蘸掉两碟。兔肉也很嫩滑，好评！
6,6,芭夯兔（温江店）,W米粒大大,来过很多很多次啦，位置美团上有定位我就不多说了。第一次吃是在老家自贡吃的，然后就一发不可收拾啦，喜欢吃的很，虽然我很爱吃辣，但偶尔也想吃点清汤的就会选择他家，物美价廉，很鲜嫩的味道，汤很好喝，兔头麻辣的简直味道不摆了，必须点的哈
7,7,芭夯兔（温江店）,小王很辣,嬢嬢叔叔些服务态度之好很热情，芭夯兔一直都很好吃！！yyds 冲冲冲！！两个人吃完全足够了！花生汁也好喝，是热的！ 鸭脑壳热的很好嗦~
8,8,芭夯兔（温江店）,匿名用户,一如既往的好吃！味道很好！就餐环境很好！人均60多没给我们撑死。。下次来一定要少点一些。。。我觉得人均50的点菜应该就不会太撑也避免浪费！生意确实实在太好了，导致服务员明显数量不够。希望老板加几个服务员～缩短上菜等待时间。
9,9,芭夯兔（温江店）,梅尔。,周末人比较多，来的时候在排号，排号的叔叔很奈斯，预留电话到你了会打电话叫你，排队也没有排多久很快就到了。然后就是那餐具的小哥哥，店里很忙但是还会帮你摆好餐具！菜的话，都很好吃，量也很足。汤锅很奈斯，肉细滑。兔兔布丁很可爱，甜了一点。红糖糍粑皮很脆。然后最让我们没想到的是最后煮的莴笋尖很好吃！鸭头没来得及吃就打包了。嘿嘿嘿下次有机会再来吃！「#套餐：温馨尝鲜双人餐」
10,10,芭夯兔（温江店）,Sunlight九,真的超级好吃～兔肉很嫩，价格也非常实惠，服务也很好，如果下次还有套餐券的话，肯定会抢的。5月20日去吃的，买的一个78元的两人套餐，真的超级超级超级划算啊，老板还送了我们气球?，必须好评，必须回购～
