,Unnamed: 0,店铺名称,用户名,评论
0,0,好利来（温江合生汇店）,snowfoxqiqi,"回家吃汤圆，和爸爸一起喝新茶，带着春天泥土气息🌱🌱🌱🌱🌱聊聊天，人生足以[愉快]

代金券还是很实惠，买了汤圆，还有一块玫瑰酥，正好刚刚好，回家吃汤圆，和爸爸一起喝新茶，带着春天泥土气息🌱🌱🌱🌱🌱聊聊天，人生足以[愉快]"
1,1,好利来（温江合生汇店）,eki539829336,样式好看，可爱的，只是奶油和中间的夹层太甜了。大家都没吃两口。服务态度是比较好的，也比较积极。6寸的适合6个人吃。😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
2,2,好利来（温江合生汇店）,FyA626884532,味道不错，小清新，一直都很喜欢好利来的蛋糕
3,3,好利来（温江合生汇店）,oui962610587,很好吃，很细腻
4,4,好利来（温江合生汇店）,GBV524227577,速度很快，味道不错，下次还会光顾
5,5,好利来（温江合生汇店）,jfb128662616,配送当天天气有点炎热，没有配冰袋。
6,6,好利来（温江合生汇店）,鲜宇先森,「#套餐：6 英寸白雪之恋 1 个」好吃😋
7,7,好利来（温江合生汇店）,BPQ596059475,好利来的这些小蛋糕口感一直都很好，而且装修的很好，就是不怎么打折
8,8,好利来（温江合生汇店）,邓玲321,味道不错，每年都会来好利来订蛋糕
9,9,好利来（温江合生汇店）,空军一号元帅,我退了下次用怎么没退回呢。
10,11,好利来（温江合生汇店）,BPQ596059475,好利来的蛋糕吃了无数次了，未到还是这么好的，下次还会继续购买
11,12,好利来（温江合生汇店）,LhP112914544,还行，款式好看也好吃，服务态度也很好，非常好，好好好…………………。
12,13,好利来（温江合生汇店）,晓小xx,"很适合拍照的蛋糕，奶油没得说,大家都知道"
13,14,好利来（温江合生汇店）,myn336845457,奶油品质好…成品甜度都不高…蛮喜欢
14,15,好利来（温江合生汇店）,Pvv261046499,好利来味道好，服务周到，家人过生日都选它！
15,16,好利来（温江合生汇店）,XHE169004430,蛋糕很漂亮
16,17,好利来（温江合生汇店）,痞咔酋,本来一直都在好利来买蛋糕，糕点，这次买的蛋糕到店自己提的，结果拿到吃饭的地方，打开没有给放切蛋糕的刀叉，瞬间没有好心情了
17,18,好利来（温江合生汇店）,一点也不relax,「#半熟芝士挞」「#蜂蜜蛋糕」「#奥利奥半熟芝士」
18,19,好利来（温江合生汇店）,一点也不relax,【口味】 【环境】 【服务】 【性价比】
19,20,好利来（温江合生汇店）,风云堑,在这里买过很多次蛋糕了，很不错。
20,21,好利来（温江合生汇店）,Syh140459208,给老板点赞👍，花很鲜，搭配的非常漂亮
21,22,好利来（温江合生汇店）,冬儿0802,今天圣诞节，想着节日才买的这个蛋糕，去的时候都卖完了，都是现做的。 其他的蛋糕都是20左右，这个蛋糕同样大小就是39，感觉不太划算。 从口感来说，外面是奶油，里面是巧克力味的，有点苦涩，味道顶多给3分。要不是应景圣诞节，还是不值得买。 两点就是包装袋好看，很有节日氛围。
22,23,好利来（温江合生汇店）,sSM301044337,此次用餐总体来说不错，觉得比较认可的地方有：口味。
23,24,好利来（温江合生汇店）,卷珠帘袭青衣,整体体验一般，说好时间点送到结果延误了很久，看在口味还不错的份上也就没计较了，希望商家在守时方面能改进
24,25,好利来（温江合生汇店）,Valderfs,现在没有以前那么划算的优惠券了
25,26,好利来（温江合生汇店）,BAT222637612,做工很精细，服务很细致。小屋很逼真。
26,27,好利来（温江合生汇店）,莎莎salsa,喜欢好利来～物有所值！
