,Unnamed: 0,店铺名称,用户名,评论
0,0,九孔莲藕汤锅（总店）,匿名用户,每次不想吃辣的就会来这里。腊排骨特别香。特别喜欢他家的辣椒调料，特别有小时的味道。藕特别软，而且香，又大坨，吃两坨已经都饱了。环境越来越好了，重新装修后变得特别干净卫生。很有四川特色，招待客人，四川特产推荐这里哦。
1,1,九孔莲藕汤锅（总店）,Mdu773513063,此次用餐总体来说不错，觉得比较认可的地方有：环境。
2,2,九孔莲藕汤锅（总店）,恶龙咆哮6667,性价比真的很高！「#套餐：6-8 人餐」那个酥肉真的好好吃！！！我们六人吃，份量够了，环境和服务都挺好。汤锅推荐腊排骨！哦那个猪肝好像大家不太喜欢吃，其他反正都可以
3,3,九孔莲藕汤锅（总店）,zwa464852625,以前去过，但好像店名不同。我们吃的是洪藕鲜排汤，味道不错，汤好喝，藕是粉的，好吃，份量也足，晚上吃挺合适的。我们三个人，还没有吃完。（黄瓜既好看又好吃。）以后有机会还会去。
4,4,九孔莲藕汤锅（总店）,匿名用户,有天来人特别多，没位置，就让我们坐二楼还没装修的一边，我们老人小孩人太多，一是以前来吃过两三回觉得不错，二是很累不想找别的店了，但是没装修的这边真的比路边摊环境还差。 味道确实是可以的，服务也将就，但是先点的大锅猪脚排骨，十来个人一人一坨肉都不够，吃的很尴尬，再另外加的两份端上来明显比大锅多多了。 再好吃的店如果总是这样做生意，怕也不长久
5,5,九孔莲藕汤锅（总店）,Ehe604437518,来了很多次了，这回不知道怎么回事，吃的鹅，咸 ，咸，咸，越吃越咸。比以前价格要高些了。
6,6,九孔莲藕汤锅（总店）,IgE364787591,汤好喝，藕也很粉，感觉蘸水可以再提升一下
7,7,九孔莲藕汤锅（总店）,飘若陌尘1988,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比。
8,8,九孔莲藕汤锅（总店）,Rcq358939773,「#套餐：6-8 人餐」味道不错，吃了很多次了，服务态度挺好的
9,9,九孔莲藕汤锅（总店）,Tff627369525,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务、团购接待。
10,11,九孔莲藕汤锅（总店）,TOk559361032,莲藕非常粉，非常适合老人和孩子。服务态度很好，最后还打包了骨汤，非常划算，已经多吃来吃。
11,12,九孔莲藕汤锅（总店）,IgE364787591,吃过太多次了
12,13,九孔莲藕汤锅（总店）,vco969249698,「#套餐：6-8 人餐」「#洪湖莲藕排骨汤」「#手工制作青椒碟子」「#乡村酥肉」 去很多次了，大人小孩都适合
13,14,九孔莲藕汤锅（总店）,Jvp415862494,五一节提前来吃，我们大概六点左右到，这家店坐得满满的，旁边人的没有，这次用餐很满意
