店铺名称,用户名,评论
三牦记·牛肉火锅（温江店）,段平平1127,「#套餐：精致六人套餐」 【口味】味道很不错的一家牦牛肉，涮烤一体的，已经来很多次了，一家人都说吃了不上火，菜品种类很多，看到都很舒服，吃微辣可以点他们家鸳鸯锅，番茄可以喝，新鲜番茄熬制的，喝到嘴里番茄味十足，小吃推荐现炸酥肉，锅边馍也不错哟，服务也特别周到的，大家可以来试试，停车也方便，环境不错(*๓´╰╯`๓)♡
三牦记·牛肉火锅（温江店）,嘟嘟狗狗,「#套餐：精致八人套餐」一直在他们家吃火锅，从图片可以看出来，牦牛肉很新鲜，牛肉丸是手工做的，吃起来很劲道，锅边馍是那种新鲜玉米打碎的弄得，烤着都能闻着挺香的，吃起来软软甜甜的，玉米的味道很多，刺身口感也很不错，番茄汤喝着特别鲜，喝了才知道，服务特别周到热情，值得来这家牦牛肉试吃味道，我们家就认他们家了
三牦记·牛肉火锅（温江店）,KbY160808175,「#套餐：精致八人套餐」 【口味】今天一家人又相聚三牦记，他们家牦牛肉很新鲜，吃了营养好，不上火，清汤可以喝 【环境】离我住的地方很近，就在马路边边上，停车方便，店里风格也很不错 【服务】服务热情，随时关注我们 【性价比】吃下来不贵，人均划算，主要是牦牛肉贵，下次又来，推荐这家牦牛肉
三牦记·牛肉火锅（温江店）,周小伟0523,「#套餐：四人餐」「#玉米锅边馍」「#牛肉丸子」「#三牦特色牛肉包」 【口味】今天和同事第二次来吃这家牦牛肉了，味道很不错的，我们喜欢吃辣，点的红锅，巴适的很 【环境】停车很方便 【服务】服务很热情，周到，随时关注，忙的情况下可以理解 【性价比】套餐菜份量很足，吃下来价格不贵，改天还会再来吃的
三牦记·牛肉火锅（温江店）,单时时时,吃完很久后反应是：这店怎么能这样骗人？ 吓得我第一次写超过一百字的评价。 我是被美团五星好评的外婆市井火锅人均40的标签名号吸引过来的。 市井火锅多么好评的名字。 没想到这家店实际上是卖牛肉的火锅店。 如果知道，我是绝对不会跑了两公里，踏进外婆市井火锅的门。 进店坐上了，拿到菜单看着中间较贵的火锅菜品，心中没有数，毕竟一份绝对不是很新鲜的毛肚都卖49块钱，一份菜就超过了人均40的标签，比小龙坎都贵，以为有什么骨折巨扣，结账的时候看着365金额确实十分震惊，实际结账花了300。 确实我点的肉菜很多，以潮汕牛肉的角度来评价我点的两个涮牛肉：一份牛肉30价格比正宗潮汕牛肉便宜十多块，但是肉质要比正宗潮汕牛肉差点。 嫩牛肉这道菜特别老，叫老牛肉吧。 火锅味道：吃着没有多少火锅味，有些菜煮着都不入味，吃完后身上全是火锅味。 男朋友口味比较挑，喜欢吃小龙坎和重庆火锅这种类型火锅，他吃了两份菜的量就没有吃了，我吃了剩下的所有，我胃口确实要大很多，吃了剩下的，但是我居然没有撑，平时小龙坎这种量就撑了，就离谱。 最后店家说买这家的代金券一样的用，呵呵，这样我就不能去市井火锅给差评了，会不会有更多的人像我一样上当受骗？
三牦记·牛肉火锅（温江店）,HUO567940426,「#套餐：精致八人套餐」 【口味】以前来吃过一次，味道真心不错，很少好评，他们家牦牛肉值得推荐给大家 【环境】位置就在马路边上，好停车，环境进来看到很舒服的，干干净净的，从菜品可以看得出来很舒服 【服务】服务员很热情，帮着煮菜，烤肉，烙饼 【性价比】份量还是不错的，套餐吃下来很划算
三牦记·牛肉火锅（温江店）,fPT646316080,菜品从图片可以看出来确实很新鲜，牦牛肉也是新鲜牦牛肉，我们点的鸳鸯锅，红锅味道真的涮肉很好吃，中间清汤可以喝，锅边可以烤牛排，五花肉，还不错，第一次吃涮烤一体锅，服务还不错，下次来温江又来她们家，推荐这家牦牛肉👍👍👍
三牦记·牛肉火锅（温江店）,uNB577126547,「#套餐：精致八人套餐」「#玉米锅边馍」「#五花肉」「#牛肉丸子」「#鲜切耗牛肉」「#三牦四喜」「#蔬菜组合」今天女朋友生日带她来吃三牦记，看到这家好评挺好，他们家可以涮可以烤，满足了我们一大桌的口味，菜品很新鲜，很多菜都很好吃，服务也很周到，用了心的，下次吃火锅又来，推荐给大家
三牦记·牛肉火锅（温江店）,txP940777986,"「#套餐：精致六人套餐」
   
【口味】这家涮烤一体的，同时吃两个味道，两种感觉「#牛肉丸子」牦牛肉丸子肉很劲道，感觉的出来是新鲜的牦牛肉，还是手工的
【环境】环境多好的，位置还多好找的，停车方便

【服务】服务比很多家的很好👌🏻，帮着煮菜，烤肉
 
【性价比】份量对于牦牛肉来说还是比较够了，毕竟牦牛肉贵，吃了感觉还是很好的，
   今晚吃的很好，下次聚会还会再来的，给大家推荐"
三牦记·牛肉火锅（温江店）,ccL713373061,「#套餐：精致六人套餐」「#玉米锅边馍」「#牛肉丸子」「#三牦特色牛肉包」「#牛腩」「#毛肚」 【口味】味道不错，第二次来了，第一次也是朋友推荐的，确实很不错，牦牛肉肉质很新鲜，涮烤都可以，巴适 【服务】服务很好，周到 【性价比】分量很足，吃下来划算
三牦记·牛肉火锅（温江店）,,
三牦记·牛肉火锅（温江店）,kemuzi88,「#套餐：精致八人套餐」「#玉米锅边馍」「#牛肉丸子」「#三牦特色牛肉包」「#鸳鸯锅底」 【口味】锅底味道十分浓厚，料很足。喜欢吃辣的可以点辣锅 【环境】位置很好找，就在马路边上环境不错，我喜欢这种风格 【服务】服务很周到，可以帮煮菜，烤肉 【性价比】份量很足，价格实惠，吃下来划算 推荐这家牦牛肉火锅
三牦记·牛肉火锅（温江店）,BIO856729576,「#套餐：精致八人套餐」「#牛肉丸子」「#三牦特色牛肉包」「#五花肉」「#三牦四喜」味道很不错👍菜很新鲜哟。份量很足。吃下来划算
三牦记·牛肉火锅（温江店）,Fch266580029,「#套餐：2-3 人市井火锅套餐」吃过其它地方的三牦记，温江这家还是第一次来吃，锅底更浓厚那种，番茄汤喝着很新鲜，新鲜番茄炒的味道就是不一样，锅边馍吃着就是那种新鲜玉米做的，烤着都特别香，牛肉不错，小吃我们点的南瓜饼，很好吃，服务不错，下次过来还会再来的
三牦记·牛肉火锅（温江店）,Hgz563002062,"通过朋友介绍这家牦牛肉火锅
      
【口味】锅底十分浓香，一次性锅底，吃的很满意，我们都是中年人了，都觉得非常不错，
【环境】用餐环境还可以，牦牛肉的风格
【性价比】菜品丰富新鲜，摆盘特别漂亮，看到都有食欲，火锅主要就是菜品新鲜
【服务】小妹妹服务特别好，十分热情。
向大家推荐这家牦牛肉，可以涮可以烤！满分"
三牦记·牛肉火锅（温江店）,MWk771654035,【口味】味道比想象中的更好吃，以后都来这家牦牛肉了，菜品新鲜，摆盘多漂亮，边涮边烤，烤肉推荐五花肉，小吃推荐包子 【环境】环境不错，中午比晚上清净些，安逸 【服务】服务员周到，热情 【性价比】性价比真的高，吃下来划算
三牦记·牛肉火锅（温江店）,zBB410370061,之前和闺蜜来吃过一次，都说很好吃，锅边可以烤肉，推荐他们家五花肉。卷着生菜别有一番滋味，真的很好吃，菜种类很多，也很新鲜，主要是吃下来还不贵，服务很好，牦牛肉很嫩，吃得很好
三牦记·牛肉火锅（温江店）,尘缘无惜,牛肉特别正宗，店面环境相对宽敞，菜品什么的有要求的话服务员会下锅，吃的时候玉米饼有一两个没来得及翻面焦掉了，直接又送了我们一份，上菜速度还算快，其他肉不知道是不是现切的，牛肉是真的都是现做的，新鲜的很，毛肚，肠子啥的很脆很新鲜。 相比附近的其他火锅店而言，菜品和锅底口感都不错，火锅底料好像和上次吃不一样，更香更好吃了。菜品量的话就是正常火锅店的量。 全点的肉，牛肉点了有10来份，还有毛肚虾滑鸭肠啥的都各点了一份，五个人吃加锅底500左右，人均109，还可以
三牦记·牛肉火锅（温江店）,fwo320480141,「#套餐：四人餐」今天不知道是第几次过来吃了，味道真的很不错，环境优美，菜品很丰富，样式还多漂亮，星期六星期天晚上需要排队，牦牛肉绝对比黄牛肉那些很好吃，服务员也贴心，煮菜多热情，小吃推荐包子，现包现蒸的，味道很不错的一家火锅。
