店铺名称,用户名,评论
九孔莲藕汤锅（总店）,匿名用户,每次不想吃辣的就会来这里。腊排骨特别香。特别喜欢他家的辣椒调料，特别有小时的味道。藕特别软，而且香，又大坨，吃两坨已经都饱了。环境越来越好了，重新装修后变得特别干净卫生。很有四川特色，招待客人，四川特产推荐这里哦。
九孔莲藕汤锅（总店）,Mdu773513063,此次用餐总体来说不错，觉得比较认可的地方有：环境。
九孔莲藕汤锅（总店）,恶龙咆哮6667,性价比真的很高！「#套餐：6-8 人餐」那个酥肉真的好好吃！！！我们六人吃，份量够了，环境和服务都挺好。汤锅推荐腊排骨！哦那个猪肝好像大家不太喜欢吃，其他反正都可以
九孔莲藕汤锅（总店）,zwa464852625,以前去过，但好像店名不同。我们吃的是洪藕鲜排汤，味道不错，汤好喝，藕是粉的，好吃，份量也足，晚上吃挺合适的。我们三个人，还没有吃完。（黄瓜既好看又好吃。）以后有机会还会去。
九孔莲藕汤锅（总店）,匿名用户,有天来人特别多，没位置，就让我们坐二楼还没装修的一边，我们老人小孩人太多，一是以前来吃过两三回觉得不错，二是很累不想找别的店了，但是没装修的这边真的比路边摊环境还差。 味道确实是可以的，服务也将就，但是先点的大锅猪脚排骨，十来个人一人一坨肉都不够，吃的很尴尬，再另外加的两份端上来明显比大锅多多了。 再好吃的店如果总是这样做生意，怕也不长久
九孔莲藕汤锅（总店）,Ehe604437518,来了很多次了，这回不知道怎么回事，吃的鹅，咸 ，咸，咸，越吃越咸。比以前价格要高些了。
九孔莲藕汤锅（总店）,IgE364787591,汤好喝，藕也很粉，感觉蘸水可以再提升一下
九孔莲藕汤锅（总店）,飘若陌尘1988,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比。
九孔莲藕汤锅（总店）,Rcq358939773,「#套餐：6-8 人餐」味道不错，吃了很多次了，服务态度挺好的
九孔莲藕汤锅（总店）,Tff627369525,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务、团购接待。
九孔莲藕汤锅（总店）,,
九孔莲藕汤锅（总店）,TOk559361032,莲藕非常粉，非常适合老人和孩子。服务态度很好，最后还打包了骨汤，非常划算，已经多吃来吃。
九孔莲藕汤锅（总店）,IgE364787591,吃过太多次了
九孔莲藕汤锅（总店）,vco969249698,「#套餐：6-8 人餐」「#洪湖莲藕排骨汤」「#手工制作青椒碟子」「#乡村酥肉」 去很多次了，大人小孩都适合
九孔莲藕汤锅（总店）,Jvp415862494,五一节提前来吃，我们大概六点左右到，这家店坐得满满的，旁边人的没有，这次用餐很满意
九孔莲藕汤锅（总店）,阿豪168188,此次用餐总体来说不错，觉得比较认可的地方有：口味、团购接待、服务、环境、性价比。
九孔莲藕汤锅（总店）,米哥1204,环境和服务都差强人意，居然店里允许食客带狗进店且不栓绳，狗儿就在二楼大堂内窜来窜去，就像农村里面的坝坝宴。。。。给服务员提示，服务员却不愿意干预。 门口就不能贴个拒绝宠物进店的标识么?
九孔莲藕汤锅（总店）,MSL807481362,很满意的一次就餐体验，整体评价的话我觉得：口味。
九孔莲藕汤锅（总店）,Jvp415862494,这次从资阳专门过来吃这家店的藕，果然没有让我们失望，藕汤比较养生。对于肠胃不好的，推荐大家来试试😊
九孔莲藕汤锅（总店）,飞翔啊丫丫,团购比较划算，菜品丰富，分量足，巴适
九孔莲藕汤锅（总店）,山上的牧羊女生,适合喜欢清淡口味的
九孔莲藕汤锅（总店）,Yangsephus,我来吃的频率是半年到一年来一次，因为我不是成都的，从攀枝花过来吃的，也只有在有假期的时候才能来，店子重新装修了，老板还是那么敬业，亲自在店里忙东忙西，这个汤很好喝，每次都要吃好多东西，美团购买很划算，去晚了没有位置！争取这个春节还能来在吃一次！满意！支持！
九孔莲藕汤锅（总店）,BPQ596059475,店铺干净整理，服务态度好，汤很巴适
九孔莲藕汤锅（总店）,Jvp415862494,这家店开了六年多，中间装修过几次，这次想吃清淡的，第一时间想到了这家店。清淡不上火，
九孔莲藕汤锅（总店）,匿名用户,第一次到这家店， 都没有问我们是套餐还是点菜，直接就跟我们把菜配上来了，无语了
九孔莲藕汤锅（总店）,匿名用户,连续几天来这家九孔莲藕吃了，主要藕好吃，还不贵，比较划算。
九孔莲藕汤锅（总店）,匿名用户,光盘行动，味道好极了，洪湖莲藕粉且糯，是资格地道的洪湖九孔莲藕，汤色鲜美，味道纯正，这次我们选用的是美团团购券，价位很公道，而且菜的品质也很好，新鲜且干净，且二楼环境很舒适，简洁干净，值得我们再次光临。
九孔莲藕汤锅（总店）,雪山包子,总的来说很不错，已经出够了，环境也不错，生意很好。
九孔莲藕汤锅（总店）,federicofei,藕不错，但是蹄子太大，不是蹄尖，是大腿那一节，煮不耙
九孔莲藕汤锅（总店）,Jiv268781407,这次就餐整体感觉很赞，比较满意的方面有：口味、性价比。
九孔莲藕汤锅（总店）,匿名用户,很早就听说过这家店了，也来过几次，那时候还没装修，这次来有了很大的改变，环境服务，多元化菜品
九孔莲藕汤锅（总店）,巴拉小魔仙324,两个人吃的三人套餐，看着少，藕其实很有饱腹感，所以没吃完，剩下了很多。味道跟以前比，汤淡了些，价格也涨了，不过环境比以前好很多，还是卡座，没以前那么吵闹，私密性和舒适性比改善很多。比起另一家藕，还是推荐哈。
九孔莲藕汤锅（总店）,vre481115721,一直都很喜欢吃这家的藕汤味道很不错，装修后更好了
九孔莲藕汤锅（总店）,匿名用户,可以的，带小朋友来吃，服务人员态度不错。
九孔莲藕汤锅（总店）,qwX725646129,味道还是可以，汤泡饭，最近上火，医生不准吃辣的，就想到这个养生，店里环境还可以，服务员挺多的，就是不怎么灵活热情，美团用户需要先买单验证了过后才可以上菜，这个服务员也没人讲明白，白白等了很久，别的嘛，就还可以
九孔莲藕汤锅（总店）,匿名用户,可以比较清淡，味道不错，值得推荐，五一见哈😄
九孔莲藕汤锅（总店）,新编独立团,在这里吃了十多次了，但是这次感觉确实不如以前好了，分量少了一半吧，汤也没有以前浓了，相同的5个人吃，以前每次都是吃了很久后再点一份藕最后还吃不完，这次去上第一锅一人夹一筷子锅里基本就没有了，最后加了一份藕，还加了一份芋头、一份午餐肉、一份千层肚，还有一份什么搞忘了，最后还都吃完了。以前加藕用的小盆装，现在加用的像盘子一样的装，嫩是生意越做越大，食材还缩水了。
九孔莲藕汤锅（总店）,Oxg995012900,挺不错的 好吃，卫生环境看到也蛮干净的呢，
