店铺名称,用户名,评论
台新石头火锅（温江店）,QPL592003783,菜品丰富多彩，选择多多，成都人民最离不开的就是火锅，环境很好请朋友吃饭很有面，服务热情大方周到，整体体验非常好。
台新石头火锅（温江店）,匿名用户,"老字号了，十多年前经常去，味道还是可以，价格也能接受，但是服务太差，打电话订包间时话没说完就给挂了，因为堵车其他人先到了，上去就干坐着，茶水都没有倒，赶到之后说了大妈才倒茶，中途没有人进来倒茶，偶尔进来收一次盘子……
"
台新石头火锅（温江店）,xkR938746530,味道只能打两分（开始上来味道不错，后面越吃越咸，到后面直接吃不下去了）煮了十五分钟左右 我用餐时花了20分钟 直接就走了 满锅的菜～ 服务只能算是中规中矩 对于份量也就可能有点少了暴浆牛肉丸只有六个其他菜还算好 餐具麻烦你可以更新了 已经老化了！第一双扭不紧 服务员换了一双有一根还缺一节～ 后面的土豆粉条也就没有煮也没有带走～ 价格还算是中等偏上 五看了一下价格表～
台新石头火锅（温江店）,匿名用户,温江比较喜欢吃的一家火锅了，菜品种类很多卤的肥肠一绝！就是那个锅，不好捞菜
台新石头火锅（温江店）,匿名用户,味道真的没法说   毛肚像抹布  锅底里面居然有上桌人吃剩下的  我就很无语   服务态度也是真的没话说 人到了   旁边一个桌子  一直不收拾  服务员在那里站着  喊也喊不动   叫了锅底  半天不来  叫了服务员  没人回复 站在旁边打摆子都可以 就是不理我们     叫了一个可乐   半天不来     催了几次  来了  喊的冻的 来常温的   这隔了半年了  我真的还能还原细节也是没谁了   你们家让我印象真的太深刻了    真的快关门倒闭吧   打卡成功 一家拉几火锅店
台新石头火锅（温江店）,匿名用户,398的套餐，4个人都没怎么吃好，太辣了
台新石头火锅（温江店）,KAZ740948159,台新石头火锅，一定不能错过，味道真的相当巴适！清油火锅吃了不上火，非常有特色，采用墨脱石锅进行煮制，菜品非常新鲜，毛肚口感新嫩弹牙，全程可见的加工流程，让顾客吃得放心，营养丰富，回味悠长。红糖糍粑甜而不腻，酥肉里包裹的真的是瘦肉！花胶鸡的锅底真的好好喝呀，连喝了好几碗，第一次尝试火锅里的贡菜，真的是别有一帆风味。还要很多小食，等待各位来解锁哦！
台新石头火锅（温江店）,匿名用户,成都最垃圾的火锅，没有之一。永远不会再去了
台新石头火锅（温江店）,驼铃深处,温江的老牌火锅
台新石头火锅（温江店）,香水百合香不香,吃货的世界就是到处走走看看吃吃吃 这家店店重新装修后，还是第一次来。环境更是惊艳了我，又优雅了，又更有魅力了。比较中式，空间很大，每桌之间隔断设计的有好，私密。 「#手切鲜牛肉」这个比较嫩，口感不错，厚薄适中 「#大刀腰片」 刀功不摆了，非常好，所以涮涮十秒就入口，没有腥味，好吃😋。 【口味】牛油锅底还是我的最爱，麻辣鲜香，不过吃不得辣的注意选择。反正我是原汤伺候，哈哈哈 【服务】阿姨们很积极的哈，服务不错
台新石头火锅（温江店）,,
台新石头火锅（温江店）,移草,这个火锅还是可以的，我已经去了很多遍了，朋友都带去了好几波，真心推荐，学生党超适合，价格便宜菜品也新鲜。
台新石头火锅（温江店）,psx520ww,今天来到温江办事，办完事都晚上了。来到这个台新石头火锅，生意还不错，有两层楼。整个环境，给人的感觉挺舒服的，装修的比较中式。俗话说得好，心情好，胃口就好，肉都会多吃一点。推荐手切牛肉鲜毛肚一片，也可以来一份的，这家的口味有一点偏辣，不过习惯吃辣的就特别舒服，上来的食品都非常的新鲜，就像刚从地里摘出来的一样，特别是藕片，不易久煮，口感回甜，回味无穷。服务做的相当不错，可以说是态度好，热情大方。
台新石头火锅（温江店）,ldP776996133,之前听朋友说的 但是去了之后发现没有想象中的好吃
台新石头火锅（温江店）,BSv242852879,服务好，就是等的时间太久，生意太好的原因吧。
台新石头火锅（温江店）,交心与你,第一次去这家火锅店，味道非常巴适，太符合大众口味了，锅底大赞，红汤辣而不辛，鸡汤锅鲜 美而不腻，非常好喝。食材也非常新鲜，分量也很足，价格也便宜，牛肉和虾滑都非常推荐，还有小吃也是大力推荐，他家的红糖糍粑真是一绝，趁热吃更美味，还有免费的虾片也是一大特色，环境卫生非常好，服务也很到位，期待下次再去。
台新石头火锅（温江店）,李博文66,整体属于吃环境的，菜品贵，分量太少了。
台新石头火锅（温江店）,蕨酱,一次非常不错的火锅儿体验！地点在柳城两河中路，交通很方便，从川农坐车10多分钟就到了。我们锅底点的鸳鸯锅，菌锅配料很多，味道很鲜。调料种类丰富，不得不说免费的虾片非常好吃！菜品很多，而且非常新鲜，上菜的时候一看就非常有食欲：鲜牛肉、毛肚、黄喉等又脆又有嚼劲，分量很足，点了好几盘才吃过瘾，小吃的酥肉又酥又香，强烈推荐！另外服务员的态度很好，很热情，不仅帮忙下菜，空盘也收得很及时，不愧是温江火锅老店，五颗星推荐！！！
台新石头火锅（温江店）,哎哟喂翠儿,第一次去这家店，听朋友推荐的，真的太值了，疫情期间防疫措施很到位，服务员很热情，环境很舒适，朋友家人聚会的好去处。小吃很丰富，太爱他家的虾片了，还有酥肉和糍粑，一个人解决了一盘酥肉，味道不要太好，菜品也很新鲜，他家的鸡汤锅是真的很不错，推荐大家去尝试一下，非常值得！
台新石头火锅（温江店）,匿名用户,「#套餐：超值划算2人餐」很好吃分量也很足
台新石头火锅（温江店）,yJg364729329,很满意的一次就餐体验，整体评价的话我觉得：环境、服务。还可以  服务员很热情  不会因为是团购就另眼相看  很满意的一次就餐体验，整体评价的话我觉得：环境、服务。还可以  服务员很热情  不会因为是团购就另眼相看很好呀  这种
台新石头火锅（温江店）,洁娃娃和猴面包树,菜品味道：味道很不错。点的「#花胶鸡鸳鸯锅」，花胶鸡蛋锅底我连喝了5碗，汤色鲜亮，味道醇厚，值得一试。这个天气在锅底煮点小白菜或者豌豆尖来吃简直不摆了。 菜品还是比较新鲜，我很喜欢那个「#手切鲜牛肉」，但是同行朋友更爱麻辣牛肉。 环境很好，适合带家人朋友或者领导来吃。 服务热情，桌边一直站着人添汤撤盘子但是也不会打扰你。特别是朋友点了一个奶香馒头，上了以后想吃黄金馒头，嬢嬢就拿下去帮我们炸了。 总体而已，nice，值得一试。
台新石头火锅（温江店）,McK136528648,味道一般，需要提升，菜品分量还是足！两个人团的两人餐吃不完！
台新石头火锅（温江店）,甄妮曲奇,我们点的鸳鸯锅，红锅涮肉花胶汤锅刷蔬菜还有就是喝汤，花胶汤味道鲜美，放了蔬菜后又是另外一种味道不错。菜品都很新鲜，点的麻辣牛肉煮多久都还是嫩嫩的，第一次尝试火锅刷腰子，顺滑可口，没有异味哈哈，以后吃火锅又多了一份菜了。红糖糍粑也还可以，就是不喜欢上面有白砂糖，不过可以抖掉，就着红糖吃就很好了。最后我还加了一份豌豆尖，好大一份惊喜。菜品挺丰富的下次还来试试其他菜品。店里面还有水果，吃了火锅来点水果棒。而且围裙是一次性的。
台新石头火锅（温江店）,小窝窝o,为了积分错字，注册注册制15投资15条质数。￼
台新石头火锅（温江店）,lcy信仰,钟爱这家火锅店，石头火锅别有创意，菜品齐全，食材新鲜，作为一个北方人，喜欢吃这里的菌汤鸳鸯锅，麻辣度刚刚好，推荐店里的生态猪黄喉，麻辣牛肉，虾滑，黄辣丁（黄辣丁真的鲜嫩），超级推荐生蚝，制作精美，色香味俱全，除了火锅还有店里的红糖糍粑，经典口味，还有酥肉，精肥搭配，好吃不油腻，喜欢配料里的芝麻酱，北方人的最爱。环境舒适安逸，服务态度完美，是一个带着家人朋友聚餐的好地方。
台新石头火锅（温江店）,Nicolas_mc,现在感觉就是中规中矩了，很难有新的特色，。
台新石头火锅（温江店）,kZQ488409734,这次就餐整体感觉很赞，比较满意的方面有：团购接待好。不行
台新石头火锅（温江店）,luU450841891,味道差，服务差，还超贵，下次绝对不来了。
