店铺名称,用户名,评论
司乎.日式鲜吐司（新光天地店）,Snv206601717,「#套餐：珍珠爆浆土司」「#京都三色吐司」很好的服务，味道也太太太美味了，香到流口水，我们买了2⃣️个吃得好开森，今天早上我都后悔吃早餐了。味道不错哦！美好的一天开始了，我们都已经关注起来去上班了我们喜欢这些火爆的产品
司乎.日式鲜吐司（新光天地店）,阿花花欧尼,还可以的吧，买了很多次了，蛮好吃的，就是有点甜…没有那么甜就好了。吃多几口就会有点腻。珍珠本来就是甜的，所以不要再加好多糖了好吗……不然真的吃不下去了。感觉以前是没有这么甜。肉松蛋糕我蛮喜欢吃的。味道很美好。
司乎.日式鲜吐司（新光天地店）,Fisheye221,很好吃，而且态度很好，还顺便买了其他的面包！ 闻着就是一大锅，榴莲味道，感觉会很香，因为我非常的喜欢吃榴莲，但是非常的烫下冷一会儿再吃很建议，大家都来吃之前只吃过他的珍珠的感觉也很不错，这一次看到有活动就买了榴莲的，下次会回购。￼￼
司乎.日式鲜吐司（新光天地店）,匿名用户,服务超级撇，想买原味土司。桌子上有，非要架子上拿。架子上又没有，里面一个客人也没有。就问什么时间可以切，只回答不能切。就是到卖不卖感觉。根本没有一点好语气。这点很生气，特地过来买的。你就说等好久能切就好了嘛。最后也没买成，希望这种公司能管理下员工最基本服务。。。。
司乎.日式鲜吐司（新光天地店）,wangmeng477,每次去都喜欢点各种口味的吐司都很好吃，不会踩坑，个人最喜欢梦龙味的，「#套餐：珍珠爆浆吐司」也很好吃，新鲜出炉的「#套餐：珍珠爆浆吐司」，口感超级棒， 【服务】服务也很好👍 【环境】卫生干净整洁有序 【性价比】不错👍推荐推荐
司乎.日式鲜吐司（新光天地店）,请叫我小茜,「#套餐：三色吐司」「#京都三色吐司」「#爆浆榴莲吐司」第二次来 口感依然好 就是感觉榴莲吐司后面有点发酸
司乎.日式鲜吐司（新光天地店）,阿花花欧尼,暴降吐司，好好吃哦，一吃就一嘴巴的珍珠，甜甜的，真的很治愈。京都三色吐司，一般吧，感觉味道一般般，比较甜。梦龙，果然是经典口味，值得推荐。星空吐司，芋泥比较甜，蛋黄比较香，好吃停不下来啊！抹茶也很好吃啊！
司乎.日式鲜吐司（新光天地店）,请叫我小茜,「#套餐：爆浆榴莲吐司」「#京都三色吐司」「#珍珠爆浆吐司」味道很好
司乎.日式鲜吐司（新光天地店）,用户名不能为图片,不是特别好吃…… 一般吧，没有想象中那么爆
司乎.日式鲜吐司（新光天地店）,傻傻呆呆的图图,「#套餐：珍珠爆浆吐司」 【环境】 【环境】 【服务】… 【环境】
司乎.日式鲜吐司（新光天地店）,,
司乎.日式鲜吐司（新光天地店）,阿花花欧尼,很喜欢吃这家珍珠褒奖吐司，每过一阵就要去吃吃。很过瘾。甜甜的，珍珠软软的，不太Q，要是Q一点就好了。其他吐司也蛮不错的，买过好几款，好吃到停不下来。蛮好的，下次继续尝尝其他款式吧。试试巧克力也不错的。
司乎.日式鲜吐司（新光天地店）,HWM146797157,很满意的一次就餐体验，整体评价的话我觉得：环境、服务、口味。
司乎.日式鲜吐司（新光天地店）,匿名用户,不好吃，干面包配珍珠，里面的馅只有一点点
司乎.日式鲜吐司（新光天地店）,UHs824917175,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务。
司乎.日式鲜吐司（新光天地店）,Jpk245961956,第一次吃，朋友推荐的味道是真的很不错，非常的好吃，爱了爱了
司乎.日式鲜吐司（新光天地店）,金考卷小题狂练,司乎的面包太好吃了，咖啡的皮比较酥脆有浓郁的咖啡香夹心也好吃，榴莲的我也特爱，核桃夹心的也好吃，椰香的倒是一般。
司乎.日式鲜吐司（新光天地店）,sully613,很好吃，就是吃多了的话容易腻歪，不过很正常啦！！！！！还是很好吃的，非常推荐
司乎.日式鲜吐司（新光天地店）,Jpk245961956,这是第二次买了，味道还是一如既往的好
司乎.日式鲜吐司（新光天地店）,绿琳仙子,味道还是很好，儿子很喜欢吃
司乎.日式鲜吐司（新光天地店）,刘睿麟,只要看到附近有司乎 就一定会去买一点 我和室友都很喜欢吃 强烈推荐给大家！
司乎.日式鲜吐司（新光天地店）,李冠宇賊能吃,此次用餐总体来说不错，觉得比较认可的地方有：口味、团购接待、环境、性价比。
司乎.日式鲜吐司（新光天地店）,刘睿麟,很推荐大家来试一下 在美团上买单会更划算哦！
司乎.日式鲜吐司（新光天地店）,淼淼zzx,好吃，爆浆榴莲一级棒，三色吐司也很不错，环境巴适，每天都是现做现卖，经常晚上9点过去买都没有了，生意爆好
司乎.日式鲜吐司（新光天地店）,想咋子就咋子,好吃，经常带小朋友买， 【口味】
司乎.日式鲜吐司（新光天地店）,西瓜猫儿咪,满满的榴莲，很满足呀！
司乎.日式鲜吐司（新光天地店）,sss.ls,一直买他们家的全麦面包 这次干脆买了四包  准备出门玩的时候吃 希望他们以后多出点儿无糖食品
司乎.日式鲜吐司（新光天地店）,DUJUN717,价格小贵，味道有时候好吃有时候一般
司乎.日式鲜吐司（新光天地店）,匿名用户,味道好 服务一般 价格偏贵
司乎.日式鲜吐司（新光天地店）,旺奶牛仔Lee,榴莲爆浆吐司好吃，爆珠差点意思
司乎.日式鲜吐司（新光天地店）,Mon3ant,无限回购的神仙店铺 日式的风格，很舒服的环境，吃着吐司就很放松
