店铺名称,用户名,评论
屋头串串（临江路店）,RLN121253039,菜品看图就知道颜值很不错了，味道也还可以噢，环境也很舒服，干净卫生，只是有很多人吃，所以排队都排了好久噢。小吃也很多，水果也有哟，只是没有拍照而已，服务态度也很好，有人过生日还会放生日歌，很不错的火锅店嘞！
屋头串串（临江路店）,阿猫bey,拍的不是很好看但是串串很好吃 干碟真的绝绝子
屋头串串（临江路店）,hdB175015131,环境干净卫生，服务热情，味道巴适，还会再去光顾的
屋头串串（临江路店）,婷姐詪囿嗳190,环境很好，服务也特别贴心，回家的感觉一样，东西更别说了，特好吃
屋头串串（临江路店）,JDC226968400,很满意的一次就餐体验，整体评价的话我觉得：性价比高。应该上点小笼包或饺子之类孩子喜欢的糕点
屋头串串（临江路店）,Sdq575233924,味道很棒，环境也很不错，，菜品丰富。
屋头串串（临江路店）,VkQ966926869,口感不错！环境也挺好！就是服务差一点
屋头串串（临江路店）,VkQ966926869,还不错！「#哈儿牛肉」 【环境】 【服务】 【性价比】
屋头串串（临江路店）,Kbs197902584,这次就餐整体感觉很赞，比较满意的方面有：口味、环境。
屋头串串（临江路店）,匿名用户,挺好的，碟子随便打
屋头串串（临江路店）,,
屋头串串（临江路店）,匿名用户,干净，凉快
屋头串串（临江路店）,VEs738050542,此次用餐总体来说不错，觉得比较认可的地方有：口味、环境、服务。
屋头串串（临江路店）,黑头发的妹儿,味道可以，价格小贵。环境和服务很好，五个人吃了300☀️用了劵减了30的～生意很好，人好多哦
屋头串串（临江路店）,UyZ224063667,隔壁子的屋头串串，菜品好，味道不错，稀饭~
屋头串串（临江路店）,LmQ333826528,味道不错，分量也比较足，415.8元为啥子收416，现在都是微信支付，又不用找零，抖音看到，居然自己也需要了，当时人多没注意看，回来才发现
屋头串串（临江路店）,sph846335480,每次放假必吃，带上家人，美团优惠劵
屋头串串（临江路店）,瓶ker～,屋头串串的老顾客了，服务到位，味道到位
屋头串串（临江路店）,fTm52175354,味道不错，菜品丰富，不是太辣，适合老小。
屋头串串（临江路店）,匿名用户,服务、味道、卫生非常不错
屋头串串（临江路店）,紫色烟花y,产品很多，吃的也可以，性价比还是挺高的。
屋头串串（临江路店）,Nmb安娜,【口味】「#霸王牛肉」「#哈儿牛肉」「#十秒郡霸」「#香菜牛肉」「#干碟」「#雪山毛肚」「#串串香」「#香油」「#辣椒面」「#鸳鸯锅」「#番茄锅底」「#脑花」「#芹菜牛肉」「#红糖糍粑」「#鬼肉魔芋」「#泡椒猪肝」「#黑千层肚」「#山椒牛肉」「#青花椒酸汤」「#秘制虾滑」「#网红冰豆花」「#香菜蒜泥葱花」「#脆皮肠」「#培根金针」「#梅林午餐肉」「#深海鱼鳍」「#涮菜」「#鱼丸」「#西瓜」 【口味】「#手打虾滑」「#底油底料」
屋头串串（临江路店）,猫咪雪雪,肉比其他串串店的大块，但牛肉有些不太咬得动，服务倒是不错哦
屋头串串（临江路店）,天天想飞的小鱼儿,很满意的一次就餐体验，整体评价的话我觉得：超级nice
屋头串串（临江路店）,KAr93609910,服务真的差，我都说了套餐，还是一直让我点别的东西，下午两点去的，没什么人，服务员还说点完了，没人来服务，让赶紧点，事实上套餐里的都没吃完。
屋头串串（临江路店）,BVk743725199,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、团购接待、服务。
屋头串串（临江路店）,橙子7145,味道挺好的，服务也比较棒，环境干净整洁，吃了也不拉肚子
屋头串串（临江路店）,匿名用户,吃了很多次了，很好吃，服务也很好！就是有点小贵，还有就是晚上去人很多。
屋头串串（临江路店）,taochun122007,挺好的就是越来越贵了！
屋头串串（临江路店）,灰姑娘笑笑5,这次就餐整体感觉很赞，比较满意的方面有：口味、性价比、服务、环境、团购接待。
屋头串串（临江路店）,qEA180916592,真滴真滴很不错了服务态度也好，主要是还贼好吃
屋头串串（临江路店）,jRQ896449061,服务好，菜品丰富，值得推荐
屋头串串（临江路店）,zx443160540,味道不错，种类多，好评
屋头串串（临江路店）,喜洋洋的小可爱,这家店开了很多年了，这两年才经常去吃   味道很好  经常去他们家吃  菜品也很好  门口虽然车不是很好挺但是自一直有人引导    排队也有很多零食  服务员态度挺不错的   要是能设计个包间就更好了   以后吃串串就他们家吧  真心推荐给大家。
屋头串串（临江路店）,心儿、,很满意的一次就餐体验，整体评价的话我觉得：口味、环境、性价比、服务、团购接待。
屋头串串（临江路店）,Matrix995,很新鲜
屋头串串（临江路店）,想吃饭的隔壁老王,不错好吃「#套餐：双人小红锅」这个特别棒味道很满意
屋头串串（临江路店）,wlW140293022,经常吃这家  味道巴适  菜品新鲜  服务周到
屋头串串（临江路店）,QAG896081428,菜品很新鲜，味道巴适，服务态度好，从其他地方过来的，值得
屋头串串（临江路店）,匿名用户,好吃
屋头串串（临江路店）,NTc388931397,除了服务态度跟环境，其他真的没得任何可认可的点，人均80，性价比低，比一般火锅还贵，味道偏甜，像是给沿海地区吃的麻辣烫，不适合四川重庆人，菜品也没得优势，总之，不会再去第二次了
屋头串串（临江路店）,NUr961600652,越来越贵了，现在没有小芊芊了，都是大芊芊，两个人吃了300多
屋头串串（临江路店）,Pon488192899,菜品新鲜、多样，干净、卫生，味道也很好，鲜榨很好喝，非常不错
屋头串串（临江路店）,NUr961600652,每一串分量少，两个人吃了将近400
屋头串串（临江路店）,NUr961600652,两个人吃了300多。有点贵了，
屋头串串（临江路店）,FQI480316336,味道很好，两个人吃划算，环境和服务都挺好的，如果不是很能吃辣的，建议点微辣，正常辣开始还好，后面会越吃越辣。
屋头串串（临江路店）,宋小小小佳,去过很多次了 这次去服务员给我气炸 我菜都还没上桌 拿了几串不想吃的 就给退回去 菜没上桌 没上桌 没上桌 服务员就开始说不能退！Waht！这点素质还是有的 知道上桌了不能退 再讲一次没有上桌 无语了 搞得心情都没有了！！！！也个服务员还讲要互相理解 我出来消费的我理解谁？你给我买单么？
屋头串串（临江路店）,宋小小小佳,来几次了 服务还可以 牛肉超级赞 价格有点小贵 不过很满意 上次来吃有点咸了 这次味道又有点淡 总体来说还是不错 推荐牛筋 好吃噢 还有甜肠 豆干也不错 ，🌴🌴🌴🌴🌴🌴🌴还打点什么字呢 真不知道了～～～推荐来温江的朋友去吃
屋头串串（临江路店）,MyL679,味道很好，菜品都比较新鲜，2个人吃了170多，稍有些小贵，但总体来说是满意的，服务也很好！（强烈推荐一下虾滑）
