店铺名称,用户名,评论
川西坝子火锅（温江2.0店）,啊一琪,菜品很不错，非常新鲜，牛油中辣锅味道也很好中辣不是很辣，老年人也都吃的可以，环境很好，服务态度特别好，一直在旁边等着还给帮忙下菜，煮菜，筷子牛肉很好吃，取菜的时候，店里的师傅也会帮忙搬菜盘，体验感不错还能用美团。
川西坝子火锅（温江2.0店）,任性小浩浩,味道非常好，好吃，味道非常好，好吃，味道非常好，好吃味道非常好，好吃味道非常好，好吃味道非常好，好吃味道非常好，好吃味道非常好，好吃味道非常好，好吃味道非常好，好吃味道非常好，好吃火锅菜品新鲜的很哦，一定再来一次
川西坝子火锅（温江2.0店）,QVJ396089457,味道还不错，吃起来很巴适，环境也不错，服务态度为好，人也很友好，特别小孩子在哪里玩的很开心，下次还想去玩，我的朋友他们都推荐哪里很巴适，味道确实很好，有机会还想去，服务态度确实没得说，真的很好，巴适可靠
川西坝子火锅（温江2.0店）,Jfs323130671,听说川西坝子比较好，是连锁店，温江店位置比较好找，涌泉地铁站到比较方便。环境不错，空调温度略冷。可以自选菜品，菜品比较新鲜，量比较多，没有半份。性价比中等。锅底味道还可以，略咸，可点半锅。服务员服务比较热情。代金券是光菜品可用。
川西坝子火锅（温江2.0店）,匿名用户,点了一盘豆腐，在红锅里煮熟后，吃起来还带很浓的酸味和涩口的味道，询问服务员被告知酸是正常的。后多次询问，服务员不理睬。找到前台，老板出现，继续回答豆腐是正常的。带家里老人去吃，吃了不新鲜有问题的豆腐，郁闷中担心老人的身体找商家理论，商家狡辩还振振有词，请问诚信何在？食品安全何在？做饮食生意要讲良心啊！好人一生平安！
川西坝子火锅（温江2.0店）,匿名用户,夏天到了，吃饭时居然停电了。停了几分钟，推了好几次才来电。结账也耽误时间，联网好一会儿才成功。正好赶上，运气不好吧。
川西坝子火锅（温江2.0店）,frezhy,西瓜不甜，泡菜有点酸，服务态度不是很好
川西坝子火锅（温江2.0店）,匿名用户,「#套餐：火锅豪华 6-8 人餐」
川西坝子火锅（温江2.0店）,匿名用户,锅底太咸，是大厨没睡醒放了两次盐嘛？说了以后服务员告知我只能往里面加点开水，加了半壶水还有点咸最后加了两次水后才稍微好点，但是吃了一会会就没有辣味了，之前经常吃他们家的，这次用餐体验特别不好，望找找原因
川西坝子火锅（温江2.0店）,匿名用户,味道真一般般，牛油火锅也不香，性价比低，没有上次在金沙那边的好吃。
川西坝子火锅（温江2.0店）,,
川西坝子火锅（温江2.0店）,aAh120255078,环境一般，服务一般，味道一般，菜品价格不直观，拿菜基本算盲拿。但是我吃饭心情好，给四星吧！
川西坝子火锅（温江2.0店）,尹帮琴,环境好，菜品新鲜，味道也很不错
