店铺名称,用户名,评论
江南道自助烤肉海鲜涮锅（温江大学城店）,XaN750996464,晚上5点半左右到的，人不是很多，选了个靠窗边位置。才也差不多上齐了，螃蟹，基围虾，生蚝，扇贝，蛏子，五花肉，肥牛还有好多好多，水果还是比较喜欢哈密瓜，小龙虾好像是6点过开始上的，蒜蓉味，隔15分钟就有一轮，基本都拿的到，现在还有爱心煎蛋了，冰淇淋也好吃，改天再去。
江南道自助烤肉海鲜涮锅（温江大学城店）,kCd404980844,这个有点贵，但是性价比也还行，主要看你吃的什么。六十多一个人，但是吃的人挺多，肉也不错，比西财后街的菜品要多一点。虽然西财要便宜一点点，可能这就是原因吧，几周吃一次还是比较OK，重点是不会限制时间，不错
江南道自助烤肉海鲜涮锅（温江大学城店）,QSK498827916,味道一如既往！服务很到位，小龙虾还是不限量供应，十五分钟一次，生蚝味道依然，个人比较喜欢牛肉片，自己烤，自己配佐料，根据自己口味来，还是蛮不错的，至于其他的呢，我没什么推荐了，因为个人偏好，这个都是自己喜欢就拿什么，毕竟是自助餐嘛，自助餐位置非常不催，停车也方便
江南道自助烤肉海鲜涮锅（温江大学城店）,yuddei,感觉味道没有以前好吃了，主要是蘸料方面吧，感觉基本上都是甜辣口的，还有腌料也是基本上都是甜辣口的，作为一个四川人来说感觉不是很友好，没有以前那种感觉了，还有就是发现这次有小龙虾了，但是就没拿到过感觉一端出来就没了
江南道自助烤肉海鲜涮锅（温江大学城店）,忘羡50982,当时去的比较早，然后就还没有收拾好，然后后来我去去他们就收拾好了，然后菜品很多好吃啊，不错不错，都很新鲜，就比较喜欢吧，吃的也挺好的，就感觉还有那些小甜点都是比较新鲜的，就真的还可以，挺好的，就还想下次再去，吃饭真的挺划算
江南道自助烤肉海鲜涮锅（温江大学城店）,不着调4174,已经出过很多次了，菜品新鲜特别好吃，种类特别多，服务态度很好，下次还要去吃。 肥肉我特别喜欢吃，不管是烤还是涮都特别喜欢。小菜也种类多，鸡腿还不错，还有许多的水果，蛋糕，寿司，还有牛排，特别多的种类，好吃。
江南道自助烤肉海鲜涮锅（温江大学城店）,aFM177048776,哈哈哈哈哈哈真的很久没有去过一直想去建设路结果最后终于和朋友们一起去了真的太不容易了，真的好的好的好吃的完全没有肚子抓好的到|太难了来了哈哈哈哈哈哈这些不错哦喜欢的可以轻轻巧巧来来来去吃串串哈哈哈哈哈哈啧啧啧啧
江南道自助烤肉海鲜涮锅（温江大学城店）,fMz862455206,服务态度良好，菜品和价格基本成正比，水果零食饮料都有，还可以吧，环境舒适，只是烤肉时有些熏眼睛
江南道自助烤肉海鲜涮锅（温江大学城店）,hag758489596,环境不错，小吃好多好好吃，都怪胃不够大。菜品也很多，很干净，价格美丽。简直就是烤肉中的战斗鸡。那个花甲和小龙虾是真的好吃，阿姨服务也超棒，经常问我们换纸不，要手套不啊围裙这些的。生意超级火爆，棒棒棒棒棒
江南道自助烤肉海鲜涮锅（温江大学城店）,美食评论吧,都来了很多次了，停车也方便，位置还算好找，总体感觉还不错喔，菜品多，肉类稍微有点点咸，不过可能是自己吃得淡，不过一点也不影响口味。饮品也还可以，服务也可以，值这个价，生蚝、扇贝这些都是不限量的那种。。。
