店铺名称,用户名,评论
江南道自助烤肉海鲜涮锅（柳浪湾店）,vZs846144283,在西财那边和新尚天地这里的都吃过，味道真的一绝，特别是里面各种肉类，超级美味，寝室团建我们可以吃一下午，里面的小蛋糕和泡芙很不错，很快就没有了，炸鸡腿还是鸡翅根很好吃不油腻，新尚的那家饮品比西财这边多，装修也要好一些，但是西财的要便宜一点，强烈推荐里面的肉类绝绝子
江南道自助烤肉海鲜涮锅（柳浪湾店）,HeS153085382,人超级超级多，所以服务完全是马马虎虎，六点左右去都已经没有里面的位置了，只是外面的，位置很打挤，菜品特别是五花肉还需要排队，喜欢吃烤肉的还是很值得去的，如果想要好位置的话得早早去，不然就没有可选择性了
江南道自助烤肉海鲜涮锅（柳浪湾店）,qsl522523970,就是距离太远了，平时也不好聚，真的强烈推荐性价比超级高，就是晚了就要等很久排队，毕竟生意好，真的很nice，怎么吃都行，只要不浪费就行，生蚝扇贝永远的神，还有烤肉和生菜，很nice，熟食和甜点我到不怎么吃
江南道自助烤肉海鲜涮锅（柳浪湾店）,qsl522523970,很不错，指着自己喜欢的来吃，非常不错，肥瘦相间配生菜，还有花甲，生蚝扇贝都是最喜欢的，然后还有水果，水果很抢手啊，还拿了点熟食，我们也吃了很多次了，每次都只想着来这家吃，就是离太远了，以前还在学校就近
江南道自助烤肉海鲜涮锅（柳浪湾店）,qsl522523970,每次都会来吃，跟室友跟男朋友， 【口味】口味都很nice 【环境】环境也非常不错，特别热闹 【服务】服务也不错，就是排队要蛮久 【性价比】性价比真的很nice「#水果蔬菜」还是蛮多人喜欢拿的 供不应求「#西瓜」夏天就应该吃西瓜超nice的
江南道自助烤肉海鲜涮锅（柳浪湾店）,吃吃吃！买！！,好久没有去学校，这边的江南到了，这次来吃，味道还是不错的，菜品也比以前丰富了很多，就是完全吃不下太多吃的了，菜品也是不断的更新，补充上肥牛那些一出来就被抢完了，人也特别的多，还有各种饮料和小吃，冰激凌也是有的，但是我不是很喜欢这里的冰淇淋，其他的很不错。好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃。
江南道自助烤肉海鲜涮锅（柳浪湾店）,Mmm724433901,太无语了，吃完就拉稀了，拉爆，太无语了，在也不想吃这家了，但是服务态度很好，只是菜品真的是有问题，便秘的朋友可以来吃，包治便秘，从来没有喷射的这么厉害过👍真的无语了，半个小时拉了5次了，没有吃的都拉出来了
江南道自助烤肉海鲜涮锅（柳浪湾店）,吹来人间烟火.263,第一次去，美团上看着评分高就去了，结果去就吃到钢丝球，悄悄给那里的服务员说了，他们也只是说了“不好意思哈”，然后把钢丝球拿走了。挺不舒服的，味道一般，太咸了
江南道自助烤肉海鲜涮锅（柳浪湾店）,VVg275473434,味道很棒，感觉也不是拿差的东西来充数，就是饮料选择有点少，但是总体上还是不错的，值得来试一试
江南道自助烤肉海鲜涮锅（柳浪湾店）,ZZh931835296,超级喜欢的，毕业了也来吃，不过就是人比较多哈哈哈，牛肉有点太咸哦，其他很棒哦！
江南道自助烤肉海鲜涮锅（柳浪湾店）,,
江南道自助烤肉海鲜涮锅（柳浪湾店）,可爱胡一巴,还不错，挺便宜的，服务也不错。
江南道自助烤肉海鲜涮锅（柳浪湾店）,木与土吖,菜品很新鲜哦~种类也很多~ 最近很迷赶海视频~烤了几轮都是海鲜~ 快来get自制铁板鱿鱼烧叭~ 水果超级新鲜~西瓜哈密瓜都挺甜~ 还解锁了一个新的小吃~泡椒鱼皮~QQ嘚~大家可以试一试哦~ 阿姨服务也特别好~换纸都不用喊~ 就是回到宿舍了身上的烤肉味还浓浓的...
江南道自助烤肉海鲜涮锅（柳浪湾店）,长腿FENG,特别满意，菜品丰富，新鲜，里面工作人员态度非常好，值得推荐，！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
江南道自助烤肉海鲜涮锅（柳浪湾店）,uIQ676752498,菜品种类丰富，用餐环境干净，服务态度很好，味道好吃，份量也很足，菠萝啤超好喝很爽口，凉面、炸鸡、薯条等小吃丰富，海鲜品种丰富，腌料入味，总体味道很不错，人很多但没有等，黄粑烤了以后超香，好吃(｢･ω･)｢嘿，推荐！
江南道自助烤肉海鲜涮锅（柳浪湾店）,Pxs707949933,已经去了不知道多少次了，超级喜欢的酱鸭肠，每次去都吃好多   味道真挺好，服务也可以
江南道自助烤肉海鲜涮锅（柳浪湾店）,十二baisu,很值很好吃的一家自助，菜品丰富海鲜多 ，用餐环境也不错，服务态度很好，推荐烤五花肉，烤生蚝，泡芙也很好吃，还有海星，味道不错子，该有的东西都有，菜品很齐全。和寝室好友去的，她们都觉得很好吃，想下次聚餐的时候也吃这家，不愧是排行第一的自助!
江南道自助烤肉海鲜涮锅（柳浪湾店）,yiw640295377,挺好的去了好几次了挺不错的感觉以后还会去的希望位置可以稍微多一点每次去都要等哈哈哈但环境还是不错的菜品也比较新鲜跟朋友聚餐生日会什么的都可以去那里，又不是很贵，每次去我都是会吃很多的可能比较好吃的原因吧还没去过的可以试试哦
江南道自助烤肉海鲜涮锅（柳浪湾店）,tong仙糖,很不错 相对而言 大学城比较好的了 价格也便宜的  可以去
江南道自助烤肉海鲜涮锅（柳浪湾店）,hQo875280981,江南道，在温江读书的时候就经常和朋友一起去吃的一家烤肉，现在读大学了，一回温江还是会和朋友约着吃这家烤肉，阿姨们的服务态度非常的好，非常热情，菜品也越来越新鲜了，味道也很赞，还有各种小吃，水果，饮料，推荐大家去吃～
江南道自助烤肉海鲜涮锅（柳浪湾店）,KqN887312316,「#套餐：江南道单人自助」「#五花肉」「#炸鸡翅」不错的烤肉，好评（｡ò ∀ ó｡），不错的烤肉，好评（｡ò ∀ ó｡），不错的烤肉，好评（｡ò ∀ ó｡），不错的烤肉，好评（｡ò ∀ ó｡），不错，好评（｡ò ∀ ó｡），不错的烤肉，好评（｡ò ∀ ó｡），
江南道自助烤肉海鲜涮锅（柳浪湾店）,UZf206992379,总体还是可以，菜品和水果饮料甜点比较多，就是生蚝和螃蟹没有味道，对我这个不能接受腥味的人来说不太行。
江南道自助烤肉海鲜涮锅（柳浪湾店）,ADi419355104,学生的福利，价格实惠，味道不错，生意火爆得很
江南道自助烤肉海鲜涮锅（柳浪湾店）,TYM553294467,就在财大后街，吃完还可以逛一逛街，肉耶比较新鲜，服务热情，每次去人都特别多，生意很好，环境也还不错，值得推荐「#套餐：江南道单人自助」「#五花肉」「#炸鸡翅」「#烤肉」「#肥牛」「#扇贝」「#水果蔬菜」「#皮皮虾」「#麻辣牛肉」「#圣女果」「#冰激凌」
江南道自助烤肉海鲜涮锅（柳浪湾店）,嬲嫐12,很少见到你呢科技兴农的角度讲课教学班四年浙江奶奶带着恐惧觉得那些人互相你说呢就是呢今晚开始看可靠开始进行渐入佳境的亟待解决夏季女鞋蝴蝶结小看小小年纪的精神就想你想不大喊大叫独具匠心女大当嫁见到你就说你想不到的家
