店铺名称,用户名,评论
泰澜得泰国菜（温江店）,王_京,差不多5点过去的，老公过生日，看了很多家选择了这家，服务很温馨，店里不一会儿就坐满了，团的双人餐另外加了两个菜，吃的太饱了，味道正宗，菠萝饭和酸酸辣辣的冬阴功海鲜汤好吃，椰汁西米糕超级好吃，下次会带小孩子去吃，正宗的泰国菜，看装修和人气应该开了很久了，老板也是很温和，就是结账时团餐部分金额不能开发票，另外加的菜给开有点迷惑，其他的都很满意。
泰澜得泰国菜（温江店）,mr.joy,在温江来说，是很不错的泰餐厅了，最主要是傣味浓厚。菠萝饭甜度再低两三个甜度就完美了。冬阴功汤也相对比较完美，柠檬煎鸡排的沾碟不错，鸡肉就是肉鸡，如果用酒金黄，芦花鸡等，应该口感更好。最后说下就餐环境很普通很一般，适合学生，不适合商务和其它调调。这个可能和地理位置有很大的关系，大学周边嘛。最后大湾区停车是个麻烦事。
泰澜得泰国菜（温江店）,yDf633150817,去的时候生意很火爆，等了大概有四十分钟吧。还好没有令人失望，美味值得等待。冬阴功海鲜汤非常浓郁，很香很纯正！菠萝饭颜值太高了，里面有坚果、虾仁、果干和肉松，非常好吃，柠檬煎鸡排强推，又嫩又香！虾片不推荐，感觉就像美团套餐中凑数的，很脆但是不好吃
泰澜得泰国菜（温江店）,蜡笔小新gzy,「#套餐：招牌推荐双人餐」店里的小哥哥和小姐姐服务态度都很不错 每次水快没了都会跑来添水不错 第一次吃泰国菜 总体来说还蛮好吃的 就是那个冬阴功汤有点酸辣酸辣的吃不来 这里面最喜欢的就是菠萝饭了 真的很好吃 下次还会继续来吃的
泰澜得泰国菜（温江店）,Valderfs,这家店开了好多年了，再重新装修前来吃过一次，大概是16年底样子，那个时候其实味道不咋样，大概是前年重新装修了，我和小伙伴又去吃了一次 应该是换了厨师和配方！味道超级赞，冬阴功汤特别好喝，于是只要吃泰国菜我都会来这家，离家近，性价比又高 很完美了。 「#套餐：招牌推荐双人餐」这次我和小伙伴一起去点的一个双人餐，整体菜品水平很高，必点冬阴功汤和菠萝饭吧！ 推荐一下！味道不错✔
泰澜得泰国菜（温江店）,汉恩斯,这家店，中午两点来吃，人都蛮多的。生意是不是有点太好了！不过上菜速度也快，不会等很久。 店家的冬阴功汤和在泰国本地吃到的一样一样的，从食材到口味都是传统的泰国味。 泰式炒鲜鱿里的鱿鱼新鲜富有弹性，混合着狼牙土豆拌炒，两者的质地和口感又恰到好处的相得益彰，非常不错的一道菜品！
泰澜得泰国菜（温江店）,挑食的小胖墩,近2年没有出过国，今天来吃泰餐偶然一瞬间有一种梦回泰国的感觉。服务员都穿着泰式风格的服装。 这家泰餐就在大湾区，我觉得街边的风格真的很泰国，吃着酸酸辣辣的餐食仿佛置身于泰国大排档口，有一种凉凉海风掠过的即视感～ 我们点的团购套餐，搭配的很丰富，2人都没吃完。味道很地道。这家餐厅性价比也很高！ 还会再去的！这家店必须全五分！
泰澜得泰国菜（温江店）,顿顿吃肉肉才开心,很喜欢这家泰国菜，好正宗的，尤其喜欢😍泰式冬阴功汤「#套餐：人气精选四人餐」，份量很足，我们五大一小，也吃的很饱啦😄 环境不错，人气爆棚啊，早点去排队，那个菠萝饭一定要点呢😊食材很新鲜，上面还有腰果好吃😊！ 泰菜很地道呢，服务也不错⊙▽⊙
泰澜得泰国菜（温江店）,匿名用户,味道真的很不错，积极推荐菠萝饭和柠檬捡鸡排！！！！冬阴功汤也不错，看个人口味受不了受得了香茅草的味道，鱿鱼也非常好吃，不辣哦，三个女生吃的双人套餐再加一碗米饭，吃的刚刚好，鸡排肉非常嫩，搭配这个酱非常nice！总体来说很不错啦，平常很多人要排长队，今天运气好hhh
泰澜得泰国菜（温江店）,爱吃蛋糕的沙沙,用餐的环境特别好。而且分量特别足，我们买的是两人餐，结果上上来的菜三个人都吃不完。那个鱿鱼特别推荐，很新鲜，味道也很好。还有就是那个米糕特别的糯，下面的那个珠珠也特别好吃，也没有特别甜。菠萝饭里面的虾仁特别的多，还有很多。肉松呀之类的吃着菠萝也不是特别腻的那种。会带朋友再来一次。
泰澜得泰国菜（温江店）,,
泰澜得泰国菜（温江店）,vlu790278374,环境超级不错，小哥哥的态度也非常好，就是饭点儿人会比较多，不过味道真的很nice，上菜速度也挺快的，菠萝饭分量足，两个人够够的，虾片特别脆，而且很香！鸡排外酥里嫩，￼鱿鱼味道很足，总之就是强烈推荐大家！
泰澜得泰国菜（温江店）,然374122037,这家真的全是越做越好吃的一家店了。菜品也丰富了，分量也比原来足了。 「#冬阴功海鲜汤」汤底味道浓郁，咸辣适中。汤里菜品丰富，分量足。 「#泰国菠萝饭」菠萝饭建议可以在点餐时询问客人需要的软硬程度来做。饭的味道还是没问题的。 「#椰汁西米糕」清淡可口 「#柠檬煎鸡排」肉质细嫩，软硬适中，酱汁好吃。
泰澜得泰国菜（温江店）,HvL6962776,去吃了很多次，味道整体不错，服务员服务态度好，环境也好，可以提前预约。比较喜欢里面的菠萝饭，板烧肉，冬阴功汤，西米露，还有个白色的什么糕，之前和朋友去吃，还点了两份板烧肉，不过太多了，吃到最后有点撑，有点腻😂
泰澜得泰国菜（温江店）,烈焰成池945,这是第二次去吃了，菜品很丰盛，用餐环境也不错.，服务也非常热情，以前就一直很香想吃泰国菜，在他们家吃到了泰国菜中很有代表性的冬阴功汤，菠萝饭，很满意的一次用餐体验 希望店家越来越火哦，以后还会再去吃的，
泰澜得泰国菜（温江店）,eRL384824469,「#泰式菠萝饭」炒饭味道还可以的，「#青咖喱鸡肉」个人最喜欢咖喱鸡啦「#套餐：人气精选四人餐」四个人吃份量足够的。下次吃可以稍微早点去的，去的晚了店里没位置，只能做在外面。店员小哥哥还很热心，外面灯光昏暗还给拿来了蜡烛
泰澜得泰国菜（温江店）,西城的老街巷,第一次来泰澜得泰国菜这家店品尝美味！是被名字吸引过来的，去的时候店内顾客较多，但是丝毫没有影响上餐速度，冬阴功海鲜汤味道不错，泰式菠萝饭非常入味，份量十足，总体来说非常满意，以后有时间还会再次订餐体验！
泰澜得泰国菜（温江店）,zCX521532717,「#套餐：招牌推荐双人餐」两个人努力吃最后还是胀完了  味道挺好的 菠萝饭和冬阴功汤好吃 其他几个菜我的话下次不会再点  但是双人餐还是性价比挺高的  怕饿的建议早一点去 因为人实在太多了 等了快一个小时才吃到 不过旁边就是小吃街也比较好打发时间 总之值得去 以后还会去哒
泰澜得泰国菜（温江店）,jSB162178192,整体感受很一般，菜品第一口中规中矩，多吃几口着实有点腻，冬阴功海鲜汤的椰浆是放多了吧，喝了一口就觉得腻，咖喱鸡也是，汁真的好多好厚重，除非是咖喱爱好者，个人觉得有点偏腻了，菜包鱼炸的挺嫩的，煎鸡排的鸡皮煎的挺香的，菠萝饭的菠萝有点少，人均60左右，个人感觉不是很值，只拍了一张照片，不好意思
泰澜得泰国菜（温江店）,匿名用户,不怎么好吃  不推荐来吃   西米糕的椰子味也很淡 他们家吃完没有任何让我感觉出彩的菜  服务态度也很冷漠  可能有人觉得好吃 服务好   个人看法勿杠
泰澜得泰国菜（温江店）,SAs545344171,推荐烤鸡肉，菠萝饭和椰汁西米糕，冬阴功海鲜汤味道确实喝不惯，清迈包鱼名字起的挺好，没想到上来居然是炸过的鱼排，全靠酱调味，不推荐。总体来说买套餐性价比不高。还是推荐单点。吐槽一下，服务员不会推荐点什么菜，直接让你扫码点；菠萝饭的容器设置很不合理；还有就是纸巾居然收费，很败好感。两个人150我觉得价格也不低了，连纸巾都不提供🙃
