店铺名称,用户名,评论
烤匠麻辣烤鱼（温江店）,欧阳子婷,今天来居然搬到4楼来了，店里阔大了很多。 妹妹们从外地回来带过来吃的，点了青柠味的，偏酸辣一点，妹妹们第一次来吃都说好吃。 只要不是节假日周末，来晚一点都不用排队。菠萝油条香甜酥脆，百香果迷迭香好喝，白桃乌龙没有建设路那家好喝。
烤匠麻辣烤鱼（温江店）,JrJ752402496,一想吃烤鱼，就来烤匠！味道一直很稳定，几个口味都尝试了，不错不错！还值得一提的是烤芝士红薯、爆浆豆腐、酸奶、柠檬泡泡，常常轮换着品尝，女生的最爱吧！呵呵呵！还有其他烤肉，烤得焦香酥脆，也值得推荐！反正多次了，还没踩雷的。
烤匠麻辣烤鱼（温江店）,monken,成都人不吃火锅就吃烤匠，大学的时候超级喜欢吃烤匠，寝室聚会呀这些，现在上班了还是很爱吃烤匠，聚会约会的好地方，主要是烤鱼很入味，又麻又辣，太适合我们四川人的口味了，每次去必点香辣味的，听说藤椒的也好吃，下次去试一试
烤匠麻辣烤鱼（温江店）,稀稀稀稀树草原,「#黄金酸辣口味烤鱼」之前吃过经典麻辣和双椒味，感觉都有点辣，而这次的黄金酸辣，其味道要温和得多，适合我们这种不能吃辣的人。「#芝士烤红薯」烤匠微信公众号里面有很多优惠劵，可以用消费得来的积分兑换，很划算。 「#青柠气泡」烤匠的各种饮品都很好喝，点赞。
烤匠麻辣烤鱼（温江店）,mxP561068015,烤匠装修升级后服务也升级了，环境比以前好，服务跟以前比越来越差，进店点餐的时间没有核对菜单给我们漏点了，叫了服务员讲了一下这个事情，服务员很无语的样子说加起不就可以了嘛！很小的一个事情，本来想体验新店，但是就服务这块着的很失望
烤匠麻辣烤鱼（温江店）,danyang20180928,烤肉味道不错😊
烤匠麻辣烤鱼（温江店）,匿名用户,服务真的不行，想点一个豆花鱼，给我们说没有豆花。换了一个点，剁椒鱼居然是甜椒。要米饭，开始给你说有，后来上米饭的时候又说没有米饭 让注册会员送鸡脚，注册了，鸡脚也不送了，问都不问 茶水也不加，餐巾纸都没有，还是自带的 真的不行千万不要去
烤匠麻辣烤鱼（温江店）,帅帅乖12,蛋糕款式就不多说了，孩子都说蛋糕好吃，谢谢店家耐心回复，下次还会再来
烤匠麻辣烤鱼（温江店）,冰儿843,第二次来吃了，推荐麻辣口味的烤鱼，豆花也好好吃😋还有包浆豆腐，必点!
烤匠麻辣烤鱼（温江店）,gua878467811,好吃！！！！！ 但是还想吃青花椒冰淇淋来着，不知道啥时候没有了
烤匠麻辣烤鱼（温江店）,,
烤匠麻辣烤鱼（温江店）,pSF699415067,不吃火锅  肯定不吃烤匠！    太难吃了  特别是烧烤 全部焦了  鱼太他妈咸了！  餐具脏
烤匠麻辣烤鱼（温江店）,lma181522380,好好吃hh 好满足 好幸福 每周都来
烤匠麻辣烤鱼（温江店）,似水36,等了一个多小时的烤鱼，很棒！鱿鱼须很好吃，下次要试下其他没吃过的，毕竟每次都点一样的……很想都点一遍，就是吃不完
烤匠麻辣烤鱼（温江店）,HEt170655678,烤匠作为在成都开的连锁点还是不错的 服务啊  菜品这些都还是可以的，吃个很多盘了 ，消费这些也还是比较合适，特别推荐他的花椒冰淇淋真的是很有特色了，还有他的桂花酸奶非常的巴适哦，那个杯子很高的那个酒哇也很不错，没有图哈😬
烤匠麻辣烤鱼（温江店）,SoH963526893,难吃，也不拉，算是折耳根，还不新鲜 服务差「#套餐：包浆豆腐」 再也不会去
烤匠麻辣烤鱼（温江店）,lmf171488865,还是不错的，味道巴适得板，爽歪歪
烤匠麻辣烤鱼（温江店）,rJZ638644339,还不错吧  两个人消费了一百九 包浆豆腐挺好吃的   每次都点  上菜速度有点慢  一上全都上   免费饮料也是白开水  其他一家是玫瑰花茶  前台位置在最后方 区域小  结账的人一多就很拥挤 只能单人结账
烤匠麻辣烤鱼（温江店）,mUN123697592,说实话吧，烤匠的味道好像真的不如从前了，味道也变得稀奇古怪的，然后点了一次麻辣味的烤匠烤鱼。那四个人根本就没法吃，然后另外的什么稀奇古怪的味道，确实感觉不太适合我这个川妹子，所以我不太会考虑再去了。了
烤匠麻辣烤鱼（温江店）,zra247298308,环境一般般吧没什么特别的，服务员可能比较少需要叫几声才行，鱼的口味对我这个外地人来说就那样吧，不是很喜欢，芝士番薯没啥芝士味
烤匠麻辣烤鱼（温江店）,gMF300535035,烤匠的终实粉丝，还是最喜欢金典麻辣口味，超赞！
烤匠麻辣烤鱼（温江店）,vSO415662651,不错不错，味道真不错。
烤匠麻辣烤鱼（温江店）,qah490917692,味道还可以，服务一般，这边吃的还挺多的。
烤匠麻辣烤鱼（温江店）,立青199501,等了很久很久很久很久。那是去年的5月20号。 点的经典口味吧，味道很一般，不如重庆路边杂铺（可能干净一点），感觉没什么味道。还点了，包浆豆腐之类，就很普普通通啊，搞点惊艳的菜品吧。 只吃过这一次，后面都是在吃探鱼。探鱼的那个烤土司没有了，你们可以把这道菜品加上。
烤匠麻辣烤鱼（温江店）,匿名用户,不吃火锅，就吃烤匠。烤匠麻辣烤鱼，扛把子！
烤匠麻辣烤鱼（温江店）,Feng。j,味道很棒，已经来过无数次了，生意很火爆
烤匠麻辣烤鱼（温江店）,RTn496600520,吃了很多次了，一如既往的好，以后还是会选择
烤匠麻辣烤鱼（温江店）,周杰伦圈外小女友,哇 对于我来说辣
烤匠麻辣烤鱼（温江店）,uZr265594389,这次点的是麻辣味，4个海椒的，特别麻辣，过瘾。用餐环境干净整洁舒适，服务员态度还是不错的。下次还会推荐好朋友来这家店，价格也不贵，服务员态度特别好，能吃到自己想吃的，可惜这次没有送花椒冰淇淋，以前都有。
烤匠麻辣烤鱼（温江店）,GXm373578530,一如既往的好吃，个人比较喜欢吃鱼，带动老公也喜欢，这次选着了新品红灯笼泡椒味，不辣，但是还是感觉剁椒要更好吃一些，可能还是麻辣，剁椒要经典一些，适合川妹子，每次来就像试一试新口味，然后每次吃完就觉得下次还是吃经典麻辣味吧，然而下次并没有
烤匠麻辣烤鱼（温江店）,淘气小猪LL,葱香海鲈鱼，实话真的不好吃，还是服务员推荐的，可能剩了三分之二吧
烤匠麻辣烤鱼（温江店）,Apo1264576387,好吃 环境挺好 服务很好 去晚了 没菜了 纳闷客人没走完 厨房下班了
烤匠麻辣烤鱼（温江店）,NNb257678120,好吃，就是太辣了
烤匠麻辣烤鱼（温江店）,匿名用户,跟成都烤匠完全不一样！不推荐去这家！服务也不行！味道也不行！
烤匠麻辣烤鱼（温江店）,匿名用户,菜品不错，味道很好，食材比较新鲜，就是需要等，等了四十分钟
烤匠麻辣烤鱼（温江店）,匿名用户,味道好吃
烤匠麻辣烤鱼（温江店）,匿名用户,不会再来，环境嘈杂，菜品不全。江团没有，气泡水都没有，点了百香果，等二十分钟也不见上。服务意识较差，温江店差远了
烤匠麻辣烤鱼（温江店）,匿名用户,包浆豆腐算是招牌菜了。但是，越来越没有以前的口感，虽然味道还可以，但完全没有包浆的感觉，干瘪瘪的，有点像吃烧烤豆干
烤匠麻辣烤鱼（温江店）,sxh81802606,味道不错，很特别。份量也不错。 烧烤不好吃。
