店铺名称,用户名,评论
猪圈小米辣（温江1店）,rsa杨大侠,"第一次吃这家店   ，看到评论去的 ，人流量超多  ，还好我们去得早  ！位置还刚刚好  ，就是热天有点遭不住，这个冬天吃起来更好！
味道很不错 ，可以自己调味，也有老板调好的味道调料！味道绝棒👍🏻👍🏻👍🏻👍🏻！强烈推荐！还会去第二次！
价格特别实惠！太太评价了！「#玉米」「#山药」「#清汤锅」「#油碟」「#单人自助」
【口味】很适中！
【环境】很显眼
【性价比】超级高"
猪圈小米辣（温江1店）,玛卡巴卡也睡觉啦,「#套餐：单人汤锅自助」价格便宜，第一次来这个家吃素火锅，这个价格中规中矩感觉 「#清汤锅」还行，煮玉米，豆皮，金针菇都挺好吃的， 【口味】就是清汤素火锅的感觉，胜在蘸料不错，料挺多的 【环境】还行吧 【服务】第一次去，不知道要自己填单子，emmmm…阿姨们都有点忙，也没人来管我😂等了稍微有点久，老板好像是位年轻人，希望阿姨们在接待方面能够提高，其他倒是挺好的，加汤什么的都很及时，阿姨们手脚也麻利
猪圈小米辣（温江1店）,玛卡巴卡也睡觉啦,"「#套餐：单人汤锅自助」美团券和在店里去吃价格差不多，多了罐饮料而已，这个价格还是比较公道划算
「#玉米」好吃，是甜甜的玉米「#小米椒」「#自助小料」这些都还不错，当成一顿自助素火锅🍲

【口味】可以，下次试下番茄锅

【环境】装修还行吧，就是一楼有点挤，好像是吊扇还没安好，下午去有点热"
猪圈小米辣（温江1店）,胡胡胡胡砸,"【🐷⭕小米辣】
来温江读书已经两年了 一直听朋友念叨这家店 今天终于来尝试了一下 结果感觉有一点点踩雷哈 点的番茄锅底 需要加收10r 因为不是二号店 也没得鸳鸯锅 番茄锅的味道也发酸 听朋友说莫得原汤好吃 真滴难受了😭😭
去吃干锅不想吗  呜呜呜呜呜"
猪圈小米辣（温江1店）,胡胡胡胡砸,和朋友买了两张卷啦 所以再追加一条评论 真的真的真的不要点番茄 价钱真的不值得❌❌ 喜欢去素菜的朋友蛮推荐的 玉米 腐竹 刀削面煮出来都蛮好吃的  荤菜酥肉必点 小麻花也很好吃 一定要多冲一点!!不推荐恰土豆 可能是切的太厚了吧 一直煮不熟的感觉
猪圈小米辣（温江1店）,匿名用户,就那样吧，味碟不是很新鲜，总体一般般啊
猪圈小米辣（温江1店）,我寻找半生春天,相比以前来说，感觉不得行了，首先是22.8买的，汤锅味依然还是哪种 ，但是菜品的新鲜的程度这些，都没有一起的菜品好，还有一个就是味碟，更新有点慢，然后味碟没有以前的品种，像折耳根这些已经没有了，的确22.8算便宜了，但是没有一起那么满意了。希望老板多留点心，做好生意。
猪圈小米辣（温江1店）,VJj324710682,环境可以，专门挑了一家人没那么多的店去吃，服务也好，几次过来问要不要加水加汤，很热情，很好。素菜也很丰富，品种多样，想吃什么素菜都能满足。就是感觉排骨不太新鲜，有股怪味，土鸡肉太少太少，不过口感很好很嫩滑，下次想吃素还来。（忘记拍照了，图文无关，不。）
猪圈小米辣（温江1店）,SAS贝,好吃啊好吃啊 温江大学城这边还有没吃过猪圈小米辣的吗？ 曾经我因为他的名字而劝退，现在成为了忠实粉丝 虽然是素菜火锅，但是味道很好的，你要吃辣的就在碟子里多放辣椒，不喜欢就放清淡，这简直是想吃火锅又没有money的人的福音～ 番茄锅简直是海底捞番茄汤的平替....绝了
猪圈小米辣（温江1店）,Rainjiang579,总体来说一般。晚上去人特别多，所以服务员不是很忙的过来。坐的楼上，特别挤，而且特别热，味道也就还行吧
猪圈小米辣（温江1店）,,
猪圈小米辣（温江1店）,isq221429413,可以不错味道还行  而且很便宜  挺干净的
猪圈小米辣（温江1店）,cHq997493475,"味道非常十分实惠哇啊啊啊啊啊
阿姨人挺好的啊啊啊啊啊啊啊啊啊

啊味道非常十分实惠哇啊啊啊啊啊
阿姨人挺好的啊啊啊啊啊啊啊啊啊

啊
菜品很多很多而且很好吃十分喜欢他们家的小米辣呜呜呜呜
味道非常十分实惠哇啊啊啊啊啊
阿姨人挺好的啊啊啊啊啊啊啊啊啊

啊味道非常十分实惠哇啊啊啊啊啊
阿姨人挺好的啊啊啊啊啊啊啊啊啊

啊
菜品很多很多而且很好吃十分喜欢他们家的小米辣呜呜呜呜"
