店铺名称,用户名,评论
王婆婆大牌檔,sUX646615050,据说大爱的彩虹排骨要上线了，坐等。这家我们经常光顾，跟到导航来好找，门口大姐热情似火，多远就把我们接到起了，里面服务员也积极，掺茶倒水，换骨碟，不错不错，一般家庭聚会还是推荐，附近茶楼高档中档的都多，选择性宽，最近龙虾推广，我们就过来了，虾肉很Q
王婆婆大牌檔,Super赛亚0,味道还行，挺大的里面服务是真的好，全程自己没有倒过垃圾都是服务员过来倒的小盘子龙虾壳。蒜香比香辣好吃，下次把虾线去了就更好了。还送了一盘西瓜。 「#套餐：小龙虾4斤」 【性价比】高4斤 【服务】好 【环境】不错。 【口味】好
王婆婆大牌檔,哼哼哈嘿咋滴,王婆婆和鸡毛店其实是一样的，温江老牌，味道很好，菜品自由选择，服务也都特别好，强烈推荐大家来试一试。
王婆婆大牌檔,yuM864714300,龙虾味道不错，4斤99元 ，可以吃到两个味道，两种味道各有千秋，蒜香味适合平时吃的清单的人，麻辣味也不是特别辣，值得推荐
王婆婆大牌檔,xas978337334,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、团购接待、服务。
王婆婆大牌檔,匿名用户,最难吃的是茄饼，一咬一包油，其他菜一般般，没以前好吃
王婆婆大牌檔,匿名用户,味道还是熟悉的味道，分量足，好吃
王婆婆大牌檔,匿名用户,吃了好多次了，每次来都觉得很好吃，盲点也不会踩雷
王婆婆大牌檔,匿名用户,服务员故意装怪，故弄玄虚！服务态度恶劣！
王婆婆大牌檔,匿名用户,上菜比较慢。装菜的盘子大但是量少
王婆婆大牌檔,,
王婆婆大牌檔,lYp532990237,好吃，性价比也比较高。吃过几次了
王婆婆大牌檔,Finn粑粑,服务和性价比都很好哈，菜品的味道也不错的哈，总体说起来：方方面面都还是很不错的哈，而且可以选择美团买单优惠一些钱，同时还是能够再开发票的哈，这一点就还是很人性化，很具备优势的竞争力的哈，不错的哈希望你们继续努力和加油哈
王婆婆大牌檔,徐静172,我们经常光顾的一家店，味道比较适合我们
王婆婆大牌檔,VnN654536322,菜品质量升级，服务升级。点赞。
王婆婆大牌檔,En坐等恰饭饭,点的套餐，分量非常足，两个人吃绰绰有余，服务也很棒，味道也超级好吃，五星好评～
王婆婆大牌檔,IYb920429623,说好的按498团购价收费，他们非常热情，最后骗收了556元。不安逸。大家千万要小心他们的热情。
王婆婆大牌檔,珠峰游侠,味道好
王婆婆大牌檔,匿名用户,经济实惠，味道好，环境也不错，
王婆婆大牌檔,MKU371439454,味道很好
王婆婆大牌檔,匿名用户,味道不错，份量足，满满喜欢你！
王婆婆大牌檔,韩胜啊i,很不错，那个萝卜炖汤巨好吃（可能是很久没吃了的原因😂）。牙签肥牛味道不错，有嚼劲。那个蒜泥白肉就一般般了，蒜味太重了，个人不是很喜欢吃。总体来说还不错，每次去温江，基本上都在这边吃，值得信赖。性价比也高
王婆婆大牌檔,TTI933840102,很满意的一次就餐体验，整体评价的话我觉得：口味、性价比、环境。
王婆婆大牌檔,bella兰兰,已经吃了很多次，菜品适合所有人选择
王婆婆大牌檔,MKU371439454,味道棒棒哒，服务也很好，真正的做到期待而来满意而归
