店铺名称,用户名,评论
码头故事火锅（温江店）,蛋粑粑嘻,很好吃，也非常够味啊，物美价廉，总体来说非常不错，服务热情周到！
码头故事火锅（温江店）,匿名用户,味道好真香
码头故事火锅（温江店）,WmF475335609,店面环境还可以，菜的分量也不错，挺好的。
码头故事火锅（温江店）,fIX986844795,性价比挺高的！环境、味道、服务都挺好的~点的六人餐寝室六个人吃都吃到撑！室友不小心把奶茶打倒了，阿姨也超耐心的帮忙清理了，还提醒我们小心地滑！！「#套餐：温江店6人餐」
码头故事火锅（温江店）,pmZ998975445,挺好吃的，菜品看起来也很新鲜，味道也很不错，也很有味道，总之好评，就是环境有点吵，和朋友们聊天要说话声音大一点别人才能听到，这一点有点不好，其他都还可以，好评！朋友推荐过来的，菜品分量也挺足，味道也可以，推荐！
码头故事火锅（温江店）,斐济天堂鸟,没有以前好吃了，菜品也很一般，看着不是很精致，不知道是不是因为团的套餐
码头故事火锅（温江店）,匿名用户,不知吃了多少次了 没时间评价 太满意了
码头故事火锅（温江店）,匿名用户,非常满意 还实惠
码头故事火锅（温江店）,肖开齐,非常满意
码头故事火锅（温江店）,IIb14308804,太久了，记不清了。
码头故事火锅（温江店）,,
码头故事火锅（温江店）,jx1990625,家里面一直比较喜欢吃火锅，码头故事总体来说性价比是很高的，服务态度各方面都不错，值得推荐。
码头故事火锅（温江店）,GFc116799728,吃了几年的这家火锅  适合我的口味 好吃
码头故事火锅（温江店）,香初蝶舞,菜品：可能是我们是胖子，两女一男没喝酒，原价441，可能我们是肉是怪，点的荤多素少，反正就是三个人吃了原价441，美团团购减了48元，实付393的一顿火锅，我怕我说的有偏颇，照了一张全新的鸭肠图片，我可以保证这是老板刚刚端上来的时候我照的，不是死啥都行，一口都没吃，老板要是说我吃了，可以调监控。 口味：成都随处可见的普通牛油锅 环境：平平无奇的路边火锅店， 服务：中午消费的，来的时候有5桌人，等我们吃完的时候就只有我们三个和背后一对恩爱两口子在了，服务的美女两眼放空，我说话根本不搭理，第一次点完菜，叫美女拿菜单，美女在吧台示意，喊我送过去，可能就是因为我多走了这几步路，导致我食量激增，吃了441？好吧，食量在于运动。 性价比：3个人两女一男，在一个平平无奇的火锅店消费441，你们觉得合适就行。 最后在这里祝老板生意兴隆，财源广进！
码头故事火锅（温江店）,爱尔兰的太阳,味道不错，性价比也高，下次还会光顾
码头故事火锅（温江店）,KnV347102273,味道不错，五个人才吃了两百多块钱，比较实惠！
码头故事火锅（温江店）,JkM135147217,反正不好吃还挺坑的呢，不会再去第二次了
码头故事火锅（温江店）,emM180122071,味道还是不错的，吃了很多次，但是服务态度太差了！挨着前台有个五十多岁左右，纹很深粗眉，戴黑框眼镜的服务员大妈。态度十分恶劣，不光是对于我们桌，对于临桌的客人说话也是十分生硬！当时有人到吧台说要投诉她，直接回了句，随便，老板不在！希望老板长长心吧，这样的人留到店里，是准备得罪顾客用的吗？服务差，服务差，服务差！一颗耗子屎，打坏一锅汤！
码头故事火锅（温江店）,RVO510789352,味道不错，几个人去吃都没吃完。
码头故事火锅（温江店）,匿名用户,相比较其他店，环境一般，种类少。
码头故事火锅（温江店）,MayBe379,很满意的一次就餐体验，整体评价的话我觉得：口味、环境、性价比、服务、团购接待。
码头故事火锅（温江店）,wxC788332853,口味很棒，环境优美，服务态度好
码头故事火锅（温江店）,FDR650157363,"贵且味道差，服务态度也不好,,Ծ^Ծ,,"
码头故事火锅（温江店）,uHv631404743,还可以，味道不错哦，环境比较舒适，服务态度很好，上菜时间很快，菜品齐全，不需要排队，买了票直接过去就可以就坐，非常非常非常非常非常非常非常非常非常方便，就是定的位置有点远，我们走了好长时间的路，就当是减肥消食了吧。就是对于我普通人的胃来说比较OK，对于我室友有个好胃口来说，这些都只是差不多，哈哈哈哈哈哈
码头故事火锅（温江店）,Ilf269718479,可以。味道不错，一米肥牛超级超级棒。
码头故事火锅（温江店）,匿名用户,还可以，吃了几次了
码头故事火锅（温江店）,飛哥飛,整体来说还是不错的
码头故事火锅（温江店）,QQW354060246,这次就餐整体感觉很赞，比较满意的方面有：环境、口味。
码头故事火锅（温江店）,睫毛弯弯5129,这次就餐整体感觉很赞，比较满意的方面有：性价比。
码头故事火锅（温江店）,好男儿v中国造,口味好，环境也不错，服务也到位
码头故事火锅（温江店）,SlX215394910,菜品：非常可以，口感：巴适，环境：不错，已经去过好几次了，现在准备又去，是一家非常不错火锅店推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐非常可以非常满意吃了还想吃反正我个人觉得不错
码头故事火锅（温江店）,梵清水,很满意的一次就餐体验，整体评价的话我觉得：环境、服务。
码头故事火锅（温江店）,匿名用户,吃火锅首选码头故事，中午去的早就我们一桌，服务态度非常贴心，菜品也非常新鲜，门口停车也方便，就这样，你们自己去品
码头故事火锅（温江店）,GZN232143056,好吃
码头故事火锅（温江店）,CaY830516263,这次就餐整体感觉很赞，比较满意的方面有：环境、服务、口味、团购接待、性价比。
码头故事火锅（温江店）,野鹤1981,来几盘了！好好！.以后有时间还来
码头故事火锅（温江店）,QlM614687263,辛伐他汀独孤皇后
码头故事火锅（温江店）,QlM614687263,生日刚刚好v发发广告
码头故事火锅（温江店）,Wyc729696607,还是可以哈
码头故事火锅（温江店）,QlM614687263,倒反天罡吃点饭
码头故事火锅（温江店）,QlM614687263,非凡哥好好干哈哈
码头故事火锅（温江店）,匿名用户,感觉没有以前好吃了了，分量是够的啦，就是阿姨服务态度不好，爱答不理的，我们失去吃饭的，又不是来看你脸色的，服务业，就应该好好做啊！还有就是菜色单调，感觉鱼不新鲜，然后，很多肉类，摆盘都精致了，有点虎龙人，反正就是觉得比较差了，特别是麻辣牛肉啊，简直了！！很差，口号很假！！
码头故事火锅（温江店）,ebD554918153,味道不错，很喜欢
码头故事火锅（温江店）,匿名用户,都是些不值钱的冻货，味道也一般般，便宜没好货
码头故事火锅（温江店）,老大等等俺,【口味】 【口味】味道挺好，服务热情，菜品新鲜，环境也很好，是朋友聚餐，家庭聚餐，同事聚餐的不二选择哦，端菜小姐姐，也很热情 【服务】 【环境】 【性价比】 【服务】 【性价比】 【服务】 【环境】「#套餐：4-6 人餐」
码头故事火锅（温江店）,匿名用户,菜品不行还是冻过的味道不行是我吃过最难吃的
码头故事火锅（温江店）,ass640130087,感觉太贵了，两个人花了251😩，
码头故事火锅（温江店）,vvilokis,本来说是试着去吃吃 原来在成都吃过 温江这是第一次 没想到味道很好，吃着不觉得会腻，菜品也多也新鲜  最好吃的是牛肚牛百叶还有土豆片 而且环境也挺好的  下次会再来的 但是今天国庆 等了蛮久的QwQ下次去会挑人少的时候。
码头故事火锅（温江店）,dWX399167774,性价比高，味道还不错，值得一试
码头故事火锅（温江店）,sag855870691,很满意的一次就餐体验，整体评价的话我觉得：口味、性价比、环境、服务、团购接待。
码头故事火锅（温江店）,BfT248807979,味道一般不说了我单点三瓶酸奶66？也就一个新希望的牌子你敢卖这个价格？
码头故事火锅（温江店）,Luo5353,我们四个人去吃 不太够
码头故事火锅（温江店）,匿名用户,还可以，就是有点贵。。。
码头故事火锅（温江店）,nsL914997116,肥牛，鸭肠，郡把都超级好吃，毛肚也很脆，素材也很干净新鲜，服务员小姐姐小哥哥都很亲切哦，点了一个南瓜饼也好吃，又甜又香还有豆沙夹心，环境也很好超棒哒好评好评，下次寝室聚会还会来哒
码头故事火锅（温江店）,喵lt,学校周围吃到最好吃的火锅了👏👏👏分量也足
码头故事火锅（温江店）,Xxf416814366,很好吃
码头故事火锅（温江店）,hc1511577926,味道还不错哦，和朋友一起去吃的感觉挺不错，之前就一直想去吃，然后这次就去了，服务态度那些都很好，吃着也不错，个人觉得还是比较推荐的，可能有那么一点贵，但是还是可以吃的，菜的样式比较多，我也比较喜欢，好的，
码头故事火锅（温江店）,VQW471480816,环境服务都很好，菜品也不错，红糖糍粑很好吃，就是人均有点高
码头故事火锅（温江店）,AJg948337810,味道很好，菜品很新鲜服务态度好，环境也好，价格适中。- ̗̀(๑ᵔ⌔ᵔ๑)
码头故事火锅（温江店）,hopeyue,还行。环境还好
码头故事火锅（温江店）,tWi831898639,量足味道不错
码头故事火锅（温江店）,iol374617747,份量挺足的，六个人吃够饱的，然后服务态度也是不错的，阿姨特别热情的给我们拍照，
码头故事火锅（温江店）,耗子爱喝汤,还可以，性价比挺高的，很久没吃火锅了，吃着感觉蛮不错
码头故事火锅（温江店）,cBt810262045,味道更好，服务也很好。
码头故事火锅（温江店）,pyj189408476,环境不错，味道也挺好。祝生意兴隆，菜品也比较干净。值得推荐。下次还会再去的。
码头故事火锅（温江店）,老大等等俺,「#套餐：温江店6人餐」 【口味】 【环境】
码头故事火锅（温江店）,rLF962087337,味道还行！但要注意，不要点服务员的酸奶，22元一盒，不好喝且感觉是山寨货。反正就是不要听服务员的！x
码头故事火锅（温江店）,yZX534285103,此次用餐总体来说不错，觉得比较认可的地方有：服务细致。
码头故事火锅（温江店）,XjI36193319,老顾客了～经常去吃～份量还不错，味道也可以～最好吃的是肥牛，血旺～
码头故事火锅（温江店）,匿名用户,服务还行，就是我们吃完回来就开始拉肚子了。锅底有点咸
码头故事火锅（温江店）,hithe世界,挺不错的，菜品丰富。店里干净卫生。
码头故事火锅（温江店）,巴库曼嘻嘻,好吃好吃！！强烈推荐 性价比很高！
码头故事火锅（温江店）,匿名用户,真的超级超级好吃，服务员的态度也很好真的绝了
码头故事火锅（温江店）,刁蛮幸福的小女人,我们订的是6人套餐228的，结果5个人都没有把菜吃完，菜品新鲜、服务态度也好，准备国庆的时候团队聚餐再到这里
码头故事火锅（温江店）,zjs714652945,辣味确实吃着辣  不过四个人吃了都肚子不舒服
码头故事火锅（温江店）,eva的记忆,菜品不错，味道不错，服务不错。
码头故事火锅（温江店）,匿名用户,特别不好👎味道好吃，菜品质量也不行，还贵！
码头故事火锅（温江店）,NgW570460831,此次用餐总体来说不错，觉得比较认可的地方有：环境、性价比、口味、服务。
码头故事火锅（温江店）,清新文艺X,和男朋友来吃几次了 味道超级好。
码头故事火锅（温江店）,M小兔叽,环境古风，很不错，味道是我喜欢的，好吃，菜品很不错，牛肉很嫩，特别喜欢那个三秒海带，性价比很高，这个套餐我们五个人吃都没有吃完，好评，还会光顾
码头故事火锅（温江店）,匿名用户,人均差不多要一百了、我们三个人去吃、吃了接近300块就喝了两瓶啤酒、就菜花了这么多、感觉有点贵菜还都吃完了、店家还有点抠门、我们吃到一半空调就关了、风扇也没一个、只能说一个字热、调料我们加也收了、还是叫服务员去厨房拿的、
码头故事火锅（温江店）,BEC1234,点了好多好多肉，价格也很划算。
码头故事火锅（温江店）,匿名用户,点的清油锅底，非常好吃，味道刚合适。菜品很新鲜，吃了回去也没有上火这些，作为回头客，不说了，满意❤
码头故事火锅（温江店）,GiJ720926455,此次用餐总体来说不错，觉得比较认可的地方有：配菜合理、份量充足、口味好、服务到位、环境优美、菜品丰富。
码头故事火锅（温江店）,匿名用户,这个店是有有史以来服务最差的一家店，我有点急事，找厕所，问了一个服务员三次，没有理我，从我身边走过直接，忽视我的存在，然后我在问下一个服务员，同意的态度，直接没有甩我，马上一个客户说结帐，那个服务员马上就听见了，我想说你说间歇性耳鸣吗？你说你生意好，没空理我，还好，根本就没有什么人，就两桌，难怪生意这么不好，以后绝对不会再次光顾，菜品味道也不行，吃了回去就胃疼，从来没有遇到这种的，真的服务，祝你生意越来越差，直到倒闭，谢谢
码头故事火锅（温江店）,福姐ILOVE,这家店是我们第一次去吃，菜品有点不太新鲜
码头故事火锅（温江店）,匿名用户,味道很不错
码头故事火锅（温江店）,匿名用户,菜品种类比较少，锅底闻着香吃着没有什么感觉，跟成华区的码头故事味道差远了
码头故事火锅（温江店）,rTr874936465,6人餐的劵，只够三到四人吧，反正我们加点了很多菜
码头故事火锅（温江店）,CcB329431206,很满意的一次就餐体验，整体评价的话我觉得：份量充足、服务到位。
码头故事火锅（温江店）,VdI881539487,菜量很足，应该三个人比较合适，我和同学两个人去的，剩下一堆素菜。
码头故事火锅（温江店）,qLb174762371,很满意的一次就餐体验，整体评价的话我觉得：口味好。
码头故事火锅（温江店）,Rtl472500786,个人觉得分量很足，性价比也是非常高，口味中规中矩，我们4个人还剩了3个菜，5个人应该吃差不多！服务态度也挺好的啊，没有评论里说的态度不好，分量少的情况！
码头故事火锅（温江店）,Egw273098351,东西一般服务一般，不会再去吃了。七个人，一共消费六百多。还有就是小朋友不小心打坏了一个玻璃杯，收了5块钱，印象就更差了，那种玻璃杯五毛差不多吧。五块钱不多，但这种行为真让我没法有好感。
码头故事火锅（温江店）,hFc741405108,菜还是可以的 味道还行 就是有点小贵
码头故事火锅（温江店）,aPS306523151,一般般吧。没什么区别！2人花了365！服务还可以。
码头故事火锅（温江店）,面具8626,「#套餐：温江店6人餐」👍🏻👍🏻👍🏻👍🏻
码头故事火锅（温江店）,墨迹lq,这次就餐整体感觉很赞，比较满意的方面有：口味好。
码头故事火锅（温江店）,xMw300961817,不错，吃了几次了
码头故事火锅（温江店）,茄子的未来,500g酸奶饮品22元一盒，自己体会
码头故事火锅（温江店）,Arui1016750258,和小姐妹周一中午去的，去的有些晚，整个店里就我们一桌，“包场”的感觉还不错，哈哈哈。我们选了牛油鸳鸯锅的锅底和4-6人套餐（虽然我们只有3个人，但毕竟没吃早饭），菜品也很新鲜（最爱麻辣牛肉、海带芽），红锅辣度适中，不会说越吃越辣。服务员也很耐思，刚开始耐心地等我们纠结是点菜还是套餐，之后热情地帮我们下菜、倒茶水、撤空盘、加汤，服务非常周到了。啊，忘了说，中间的牛油大骨汤底也很棒，后面我还喝了一点汤底，嘿嘿。
码头故事火锅（温江店）,SnM799173868,菜品很干净，味道也很好
码头故事火锅（温江店）,匿名用户,分量很足，服务态度也很好，味道还可以吧，
码头故事火锅（温江店）,dxj560283651,味道不错，分量足六人餐六个人差点吃不完，服务态度也很好！超赞👍
码头故事火锅（温江店）,匿名用户,超级赞！！值得推荐！！！
码头故事火锅（温江店）,匿名用户,各方面都不错
码头故事火锅（温江店）,mo衣香,3个大人两个娃娃 简直吃不完 剩太多了
码头故事火锅（温江店）,豆斌豆,味道巴适，连续来了两次，团购的五个女生没吃完，分量十足。
码头故事火锅（温江店）,rgJ179310392,美团团购的6人餐，服务员一听到团购脸色就不对了，锅底好像跟点菜的有差别，反正有不可能是一次性油，油呈科技状。建议团购的就不要去了
码头故事火锅（温江店）,匿名用户,很实惠，口味也不错，推荐
码头故事火锅（温江店）,ever离别,火锅里面算挺不错的了，以前就爱去吃码头故事，这是第一次在温江这边吃。味道还是很巴适的
码头故事火锅（温江店）,花靥.,还不错，菜品份量也挺足的
码头故事火锅（温江店）,RhI416817212,111
码头故事火锅（温江店）,rgJ179310392,团购区别对待，生意好的时候就不接待团购的「#套餐：温江店6人餐」。以后也不会去了
码头故事火锅（温江店）,RhI416817212,挺好的
码头故事火锅（温江店）,rgJ179310392,服务员看到团购了一脸的嫌弃，觉得我们好像要饭的。永远不会再去
码头故事火锅（温江店）,rgJ179310392,团购区别对待，团购的油是颗粒状，可能是回收油。
码头故事火锅（温江店）,团子家长,菜品还可以，锅底味道也还行，最近吃的人比较少，菜品小吃还不错
码头故事火锅（温江店）,cKn744279800,团购物美价廉，性价比很高
码头故事火锅（温江店）,guhao1990,味道还不错的样子
码头故事火锅（温江店）,邝看看呀，,我们3个人团的套餐，太多太多了，实在是吃不下。菜品还不错，比较新鲜。
码头故事火锅（温江店）,HvA878525209,很不错👍👍👍下次再去
码头故事火锅（温江店）,槿枫楠,还不错，吃了很多次码头故事龙泉这边，所以又选择温江，还可以，味道适合我的口味。
码头故事火锅（温江店）,lovelyww520,好吃 是我很喜欢的火锅之一
码头故事火锅（温江店）,oohooya,有学生优惠，菜品还算新鲜，就是店面位置不太好找。
码头故事火锅（温江店）,无求431,不错不错以后还会在来
码头故事火锅（温江店）,匿名用户,还行，美团比较划算
码头故事火锅（温江店）,Arp270902025,真的太贵了，三个人蒋进300元，刚刚上的菜点多了，就不给退
码头故事火锅（温江店）,Xlc227234172,一般般，名气与实力不符，味道也就那样，价格贵量少
码头故事火锅（温江店）,匿名用户,4个大人2个小孩吃了376块钱，说便宜也不便宜，说贵也不贵，点了一份黄辣丁4个，一个都没有吃完不新鲜。耗儿鱼不是我们以前吃了那个一条一条了，而是一条大了切的，跟以前比差别太大了。有点小失望。
