店铺名称,用户名,评论
芭莉与彩虹西餐厅（成都合生汇店）,PvV257417660,环境好，服务不错。口感也还好，还会再去。 跟朋友聚餐，请客户聚餐，请领导聚餐都是很好的地方。下次还会再去，温江很难的的一家环境优雅舒适有档次的西餐厅，下个月家人过生日会继续去体验，祝大家开心享乐，用餐愉快，
芭莉与彩虹西餐厅（成都合生汇店）,feifeijie1217,非常满意，一家非常值得推荐的西餐厅，菜做得很好吃，比较地道，服务态度也非常好，以后肯定会长期光顾了，真的很棒！
芭莉与彩虹西餐厅（成都合生汇店）,yEh434836617,环境还可以，位置很好找。有西餐厅该有的格调，我们去的比较早，还有位置，服务还不错，有服务铃，味道不错，比以前吃过的牛排要好吃些，这次我特意嘱咐服务员帮我把牛排煎熟点，这次真的好吃些，配上黑胡椒酱，味道简直不摆了，汤不错，沙拉，我有点吃不来，可能感受不到，小吃很好吃，喜欢哪个酱。整体都还行😁
芭莉与彩虹西餐厅（成都合生汇店）,匿名用户,茶品味道不错 环境氛围很好 bgm很多synthwave 是我的钟意！
芭莉与彩虹西餐厅（成都合生汇店）,夏天的emma,烤鸡味道不稳定，时好时差。沙发有点下陷，菜品更新少！
芭莉与彩虹西餐厅（成都合生汇店）,qpM513073563,环境还可以吧，味道一般，分量还是可以的！
芭莉与彩虹西餐厅（成都合生汇店）,EFL608101693,味道还不错
芭莉与彩虹西餐厅（成都合生汇店）,kNR64644082,不错不错
芭莉与彩虹西餐厅（成都合生汇店）,LPF飞～,「#套餐：当红炸鸡翅」还行吧，吃了挺涨肚子的
芭莉与彩虹西餐厅（成都合生汇店）,rsz748373901,牛排全是筋咬不动，烤鸡完全没味道还没有路边摊的烤鸡入味好吃，环境还行，酒的话味道还可以，希望可以退出一杯一杯的红酒来卖比较人性化。还有个服务员在嘲讽客人。这家店不会来第二次的餐厅
芭莉与彩虹西餐厅（成都合生汇店）,,
芭莉与彩虹西餐厅（成都合生汇店）,Zhv621827103,味道还不错，菜品相对比较新鲜，希望下次还能来
芭莉与彩虹西餐厅（成都合生汇店）,imu699756483,味道很好，服务也很好，环境也很好
芭莉与彩虹西餐厅（成都合生汇店）,NRN115945809,味道不错
芭莉与彩虹西餐厅（成都合生汇店）,yev828992798,菜品食材可以的，有一个一直在那戴眼镜的领班态度超级好，性价比就不要追求了，因为贵有贵的道理，食材比别的西餐厅新鲜的多
芭莉与彩虹西餐厅（成都合生汇店）,xuw406014797,性价比低，口味还行，女儿喜欢吃
芭莉与彩虹西餐厅（成都合生汇店）,Eleoar,价格死贵，服务态度差，菜品味道一般
芭莉与彩虹西餐厅（成都合生汇店）,ggV275490051,好吃
芭莉与彩虹西餐厅（成都合生汇店）,Eleoar,跟分店比起来，差距太大了。价格没有优惠
芭莉与彩虹西餐厅（成都合生汇店）,hend73,性价比一般，味道也一般，没有让人有映像的菜品
芭莉与彩虹西餐厅（成都合生汇店）,cpc607204066889,牛排很贵，味道还行，反正总感觉没吃饱
芭莉与彩虹西餐厅（成都合生汇店）,shanshanhaohao33,一家人来的，爹妈和娃娃都很满意，意面超级好吃，牛排也不错
芭莉与彩虹西餐厅（成都合生汇店）,Ivn57804044,第一次这家，感觉还不错，牛排价格有一点小贵，但是分量很足，也对得起这个价格，其次就是他们家的服务真的很好，
芭莉与彩虹西餐厅（成都合生汇店）,多MUM,"地址：珠江广场4楼.
【服务】不管是门口的还是里面的服务员都非常热情，给人宾至如归的感觉。
【环境】装修的非常有情调，适合约会，小聚，长长的沙发，靠在靠枕上舒服极了。

「#美式黑椒大牛排」牛排味道巴适，有嚼劲，里面的配菜香菇超好吃。
「#小食拼盘」薯条超好吃，鸡翅，鸡腿味道也很棒。
我比较喜欢的是柃檬水，吃西餐配上它，
别具一番风味。"
芭莉与彩虹西餐厅（成都合生汇店）,爱静的鸟语,"「#美式烤鸡」这个是这家店的招牌菜，去的时候一定要提前点好，要不然现烤新鲜出炉的菜品都会等的很久。手撕烤鸡的感觉真的特别爽，外皮的油脂都考的特别干，吃起来很脆。肉质吃起来不会很柴的感觉，还配有炸土豆和其他配菜。

【环境】这里位于珠江国际四楼，很好找，感觉这里还可以点下午茶有两份不同的菜单。氛围很清静，很适合家庭或者情侣聚餐。

【服务】服务不错，挺热情的。说话都轻声轻语，都是年轻人👱🏻"
芭莉与彩虹西餐厅（成都合生汇店）,Ivn57804044,服务特别好，我们过去的时候是下午四点左右，是店长给我们点的菜，他们家的牛排很大一块，价格也很美丽，味道还好，以后还会再去
芭莉与彩虹西餐厅（成都合生汇店）,CocaCola恬,【环境】位置在珠江四楼，店铺环境很好，让人很舒适放松； 【服务】和朋友一进去服务员就热情接待，安排我们坐了靠窗边位置； 「#美式黑椒大牛排」两个人点了一份，里面有两块一人一块，害怕吃不完所以只点了一份，牛排要的七分熟，口感好很入味，没有烤老； 蒜香虾仁意面有点辣味，里面的虾很嫩，好吃～ 「#美式烤鸡」超级嫩，香～，一整只吃了一半没吃完； 「#烤南瓜鲜虾沙拉」爽口，吃了肉吃这个超解腻，里面的南瓜泥又沙又甜，大爱。 这里吃完饭还可以在珠江逛一逛，休闲约会的好去处……
芭莉与彩虹西餐厅（成都合生汇店）,社会楷模张小志,环境脏乱差，牛排肉质对不起它的价格，烤的也很差，熟度不对，海鲜饭我也是长见识了，吃了这么多年焗海鲜饭第一次见到这种，实物与图片不符差太多就算了，还咸的要死，完全没有吃出一点点芝士焗海鲜的意思！ 总的来说，环境、菜品、卫生都很对不起客人进门，但是点菜服务员态度还不错，收银员服务态度就很一般了。 今年到目前为止唯一一个差评给你们店：实至名归！ 另外补充一句：本来是直接买单走人的，实在觉得不给你个评价太对不起自己，才专门团了个美团券来给你们提个醒！
芭莉与彩虹西餐厅（成都合生汇店）,想看花看海看你,第一次和男友来这家餐厅，我感觉被侮辱了，有种土包子进城的感觉，这家店真的是太好吃了，看图片！以前西餐也吃过不少，没像今天这么丢人。哈哈，简直无法自拔 最开始上的烤鸡，我就开始戴手套撕，很烫，服务员看到后过来说帮我撕，我拒绝了，我就是想自己撕自己吃的那种感觉，鸡被我一个人吃了，就差把骨头拼成只鸡了😈 黑椒牛柳意面吃了后无法自拔，果断的又点了一份，水果沙拉他说超好吃，竟然把汤都喝完了，突然感觉我们好丢脸啊. 哈哈，好久没吃这么爽了
芭莉与彩虹西餐厅（成都合生汇店）,Pic773212136,很满意的一次就餐体验，整体评价的话我觉得：服务、环境、口味。
芭莉与彩虹西餐厅（成都合生汇店）,每时没事美食028,作为西餐厅，环境总得来说还可以，微暗的亮光，悦耳的慢🎶，让人放松，舒适的沙发，餐桌上的小物件。水果沙拉，各种水果都很新鲜的样子，口感也很不错，黑胡椒牛柳意面，很好吃，加了一份，吃得干干净净，光盘行动，彻彻底底。
芭莉与彩虹西餐厅（成都合生汇店）,D菜C菜,挺好的，买一对鸡翅服务态度都很好。
芭莉与彩虹西餐厅（成都合生汇店）,傻瓜不是瓜1212,珠江里面这家西餐厅属于高性价比的，装潢也很舒服，挺小清新的，特别适合情侣或者好友聚会。所有菜品性价比都很高，菜品份量很足，两人点了四个菜有点多，鸡肉 #芭莉特色鸡翅 是他们家特色， #美式黑椒大牛排 真的是色香味俱全， #烤南瓜鲜虾沙拉 菜品摆盘都挺惊艳的， #美式肉酱面 价格也美丽，每道菜都值得试一试，每个服务员态度特别好！
芭莉与彩虹西餐厅（成都合生汇店）,Phyllis181818,我为数不多喜欢的西餐厅之一了，这家店是温江最早的彩虹 跟朋友来吃过几次了，「#榴莲披萨」榴莲披萨一直是最爱， 薄胚，榴莲泥很厚实，意面很有创意，有了宫保鸡丁口味的，意面软硬度适中，而且酸甜口味，结合了中式，口感不错 烤鸡特别推荐很好吃，烤的香气四溢，端上来久忍不住赶紧吃，和朋友一人一半 服务人员态度很好，有礼貌，还会经常过来给你加水，所以这也是我喜欢他们家店的原因，服务不错，菜也好吃
芭莉与彩虹西餐厅（成都合生汇店）,匿名用户,味道还是不错的，不过现在的性价比没有以前好
芭莉与彩虹西餐厅（成都合生汇店）,绝对正义的吃货,喜欢这里的味道，但是装修确实经不起考究了，建议可以重新装修了，哈哈哈 服务这次没给我们跟上，上菜瞎慢
芭莉与彩虹西餐厅（成都合生汇店）,Bno964154769,这电压为味道非常不错，我们点了一个双人牛排套餐，一家三口吃的饱饱的，儿子非常喜欢吃牛排，这里的牛排比其他家的好吃也不那么柴，儿子小朋友也咬得动，大人也很喜欢，我觉得最推荐的是蘑菇汤，奶味很浓，大人小朋友都非常的满意
芭莉与彩虹西餐厅（成都合生汇店）,花宝贝游乐园,平时跟朋友吃饭都是什么串串火锅的，难得来优雅的吃一回西餐😊店里有优惠的套餐，价格很实惠，配菜很丰富，比较考究。烤鸡是一整只，现烤的，很大一只，皮焦但肉嫩。牛排七分熟，熟度掌握的特别好，口感刚刚好。沙拉是拌好汁的，酸酸的，不会像沙拉酱那么腻，里面有好多只鲜虾。所有菜品分量都很足，整体不错。
芭莉与彩虹西餐厅（成都合生汇店）,杨蕙源666,温江真正好吃的西餐不多， 这家芭莉与彩虹在温江开了很多年了，吃过很多次 品质一直有保障，「#大厨海鲜饭」海鲜饭是他们家的主打，特色 「#榴莲披萨」必点还有榴莲披萨，最早的薄胚，我是在他们家吃的「#美式烤鸡」烤鸡很好吃，够两三个人吃，分量挺大，锁水很好，不柴 生意太好了，放暑假，很多家长带着小朋友来吃 服务不错
芭莉与彩虹西餐厅（成都合生汇店）,谁家的狗蛋,"非常温馨，舒适，有爱，满满少女心
味道很符合口味，鸡肉松软可口，牛排🥩一吃就知道是比较好的牛肉，一分价格一分货，值。量适中，不少，信价比高。

服务：
服务很热情，小哥哥们手脚麻利，很贴心
环境：
环境优雅，在珠江国际楼上，地址很好找，还会再来。"
芭莉与彩虹西餐厅（成都合生汇店）,沅江九肋,这家牛排好吃，一分钱一分货。常客了
芭莉与彩虹西餐厅（成都合生汇店）,扮猪吃虎c,这家店在珠江广场4楼美食广场里面，开车来可以停楼下的地下停车场。服务热情，环境也不错，关键是菜品味道确实好。点了一份美式黑椒大牛排，要的7分熟，肉质很好，烤得很嫩，份量也很多，非常的好吃，意面的味道也很好，值得再去的一家店。
芭莉与彩虹西餐厅（成都合生汇店）,你是大逗逗,离我很近的一家店，休息时刻带家人来吃一盘，整家店的装修风格我很喜欢，菜品味道很不错，这个鸡肉肉看上去就很有食欲是不是，真挺好吃的，薯条🍟很酥软，披萨🍕好吃😋，整个披萨几乎都是我吃完的，哈哈，会经常来的一家店。 【环境】珠江广场，逛完商场就可以吃到的美食， 【服务】小姐姐都是随叫随到的哦，
芭莉与彩虹西餐厅（成都合生汇店）,陈子风312,味道不错！还可以更好，鸡肉有点油
芭莉与彩虹西餐厅（成都合生汇店）,叶筱婧,烧烤 火锅涮菜 牛排 海鲜 小吃 饮料这些都有，价格也不贵，位置好找又宽敞。感觉还可以。还送了代金券，算下来非常划算，只是刚好节假日，人多，有些菜没有啦。
芭莉与彩虹西餐厅（成都合生汇店）,你家的狗蛋,前段时间去珠江那边逛个街，今天突然翻到得照片，那家西餐的环境还是挺不错的。本来那天就像随便吃点的。不知怎么的就看到这家店了。这样的环境我觉得大部分人都会喜欢的吧。服务员也很有礼貌的呢。我记得他们家的牛排确实不一样。口感挺不错的。很适合情侣呢。嘿嘿。
芭莉与彩虹西餐厅（成都合生汇店）,维尼米奇,很满意的一次就餐体验，整体评价的话我觉得：口味。
芭莉与彩虹西餐厅（成都合生汇店）,匿名用户,味道还行吧，分量不错。。。。。。。。
芭莉与彩虹西餐厅（成都合生汇店）,taW974830258,陪老婆去吃的一家西餐厅，平时对西餐不感冒，她说来吃过几次了环境和味道还阔以。 「#美式烤鸡」鸡肉烤得比较入味而且多汁，配了干辣椒粉沾起吃还是很适合我这个重口味客人。 「#巴莉彩虹特色披萨」这款披萨确实不错，我不怎么爱吃的人都吃了好几块，皮脆拉丝。 「#烤薯皮」土豆上面加了火腿丁和芝士等材料烤得，很有特色，非常好吃。 【口味】总体味道不错，不会踩雷。 【分散就餐】店员的服务意识和卫生意识都比较强，疫情期间稍微对生意有影响，但是总体质量还是在线的。
芭莉与彩虹西餐厅（成都合生汇店）,pselina8,三星是给服务的，服务很不错，但菜品真的不满意，点菜的时候还专门问哪种牛排嫩点，因为娃娃要吃，说是西冷嫩，结果牛排直接嚼不动，小孩吃了吐出来说嚼不动，我还不信，结果我吃都费劲，唉，好失望
