店铺名称,用户名,评论
豪客来牛排（成都温江新尚天地店）,DavidRL,这家分店牛排感觉烤的有些老了一点，明明要的也是七分熟，但端上来都切不动，很老了，期望下次能好一点。这次用了豪客币换小吃，很不错很划算，就是牛排味道次了点，水果还是随便吃，也够新鲜，补充也及时，环境也ok。
豪客来牛排（成都温江新尚天地店）,爱吃的琳琳Linda,这个杂志会真的不错，配的是，柚子酱味道还挺独特的，而且还有免费水果和小吃，可以吃不错不错，好像从来没有让我失望过，真的是非常的不错，小姐姐，人也特别好，我只买了个鸡块，他也认真的接待了我非常棒的体验哦
豪客来牛排（成都温江新尚天地店）,vZs846144283,避开饭点儿过来的，人不是很多，可能是刚推出的新品，有些店员不知道美团上有这个券，但是他们的服务态度都很好，四点去的而且是工作日，所以水果没有很多也不是特别新鲜，但是我还是拿了两次😂，我选的丼汁牛肉饭，丼汁不是很多，不够拌饭，牛肉饭的味道也是中规中矩的那种，不算特别惊艳但是也很好吃，我吃光光了
豪客来牛排（成都温江新尚天地店）,Qkb758032086,各方面都不错！
豪客来牛排（成都温江新尚天地店）,爱吃的琳琳Linda,太棒了，趁着外面下雨，而且今天还是端午节就过来了，因为突然来了七个人，小哥哥让我换了一个位置，后面小哥哥居然送了我一杯奶茶，真的太感谢了，这里还有免费的水果和零食，真是很棒棒的体验，豪客来真的不错，哈哈
豪客来牛排（成都温江新尚天地店）,Kgg436871328,我真的难以相信，七分熟的牛排居然能做到咬不动的程度，是你们店里的叉子有问题，还是我的手有问题？不好吃就算了吧，价格还那么贵，真不知道是给谁吃的，怎么还不倒闭？一整个牛排咬不动，念一点儿味儿没有，也就只有土豆泥能吃，难不成您家这这么贵的牛排只吃吃土豆泥的吗？
豪客来牛排（成都温江新尚天地店）,Kgg436871328,我真的很想问这家店，您觉得您凭什么能这么高的价格卖这么贵的食物，还能如此难吃呢？我去隔壁汉堡王，我去买点儿薯条套餐都比你这便宜，还亮还大呢，赶紧反思反思吧，再不反思倒闭了怎么办呀？哎。
豪客来牛排（成都温江新尚天地店）,April4788,挺划算的  很好吃  挺好的挺好的哈哈哈哈
豪客来牛排（成都温江新尚天地店）,JkH5062675,娃喜欢吃这个，不然也不会来。这次的牛排有点颈膜。娃吃了吐了不少，只有这一次遇到了，其他时候来吃那么多次娃都吃的干干净净的。满意
豪客来牛排（成都温江新尚天地店）,匿名用户,这次就餐整体感觉很赞，比较满意的方面有：口味。
豪客来牛排（成都温江新尚天地店）,,
豪客来牛排（成都温江新尚天地店）,小兵751,牛排很材，很多菜品团购后才知道周末不能使用！体验感差！
豪客来牛排（成都温江新尚天地店）,dNh428621553,份量很足哟，自助小吃很多样，也很新鲜哦，老顾客啦，好评！
豪客来牛排（成都温江新尚天地店）,JkH5062675,这个面上的肉很难吃有个味道，感觉不新鲜。饭菜都不好吃
豪客来牛排（成都温江新尚天地店）,spring、、,服务态度太差了 无力吐槽 特别是上菜的时候 有一个汤 离桌子多远 一下放下去 汤都溅出来了 对他说谢谢 不理不睬的
豪客来牛排（成都温江新尚天地店）,JkH5062675,还可以，这次是真饿了来干饭。感觉还可以
豪客来牛排（成都温江新尚天地店）,欧阳子婷,环境不错，适合小朋友，自助水果也有，牛排一如既往的好吃。
豪客来牛排（成都温江新尚天地店）,匿名用户,666
豪客来牛排（成都温江新尚天地店）,你你猜猜我是谁,很Nice
豪客来牛排（成都温江新尚天地店）,匿名用户,一家三口，点了亲子套餐和双人餐。娃爸一人吃了两份。
豪客来牛排（成都温江新尚天地店）,kdZ380189688,很不错
豪客来牛排（成都温江新尚天地店）,totti912,很满意的一次就餐体验，整体评价的话我觉得：服务细致、环境优雅，牛排的质量比较稳定，水果丰富，供应充足，孩子们每次过来都觉得很开心。另外桌子的摆设也比较好，灯光环境都不错，亮度满意，总的来说，给95分还是可以的。
豪客来牛排（成都温江新尚天地店）,匿名用户,此次用餐总体来说不错，觉得比较认可的地方有：口味、环境、服务、性价比、团购接待。「#套餐：流金芝士牛排饭」
豪客来牛排（成都温江新尚天地店）,Daj218597079,差评，牛肉质量太劣了，用刀切牛肉全部成渣渣，肉水的很烂稀稀的，不会再来吃了，吃的我反胃。
豪客来牛排（成都温江新尚天地店）,lemon199393,好看 好吃 环境也好 服务态度也好 非常满意的一次就餐体验。       下次还会光顾的「#套餐：2 人沙朗尊享牛排」「#喜马拉雅玫瑰盐牛排」「#黑胡椒传奇牛排」「#红酒菲力牛排」「#黑胡椒传奇」「#沙朗牛排」「#黑胡椒传奇」「#汉风牛肉烩饭」「#地中海风情鳕鱼条」「#新奥尔良鸡翅」「#超值经典轻食拼盘」
豪客来牛排（成都温江新尚天地店）,千山暮雪飘花,菜品特色多、好吃、环境优雅大气
豪客来牛排（成都温江新尚天地店）,xDt762078187,味道一般，环境没想象的好，桌椅板凳距离很不合理！
豪客来牛排（成都温江新尚天地店）,zHw285858667,第一次来环境不错👍服务还不错，唯一不足之处就是没有通心粉，意面太硬口感不好
豪客来牛排（成都温江新尚天地店）,匿名用户,注水牛肉 玉米汤一股香精味 薯条莫名其妙是红薯 也没写是红薯 服务员态度极差 感觉也不会走路 走路有很大的声音 感觉在拖地
豪客来牛排（成都温江新尚天地店）,oKr866403818,豪客来环境不错，圣诞节店内有放圣诞歌，菜品可口，小牛排很嫩，茶树菇和饭很入味。有自助水果，布丁，小吃和红茶，美团上团券很划算，就是饭的份量不算多，我一个女孩纸吃是完全够的，但是如果是男孩纸的话就有点少了。总体就餐体验好，还会光顾。
豪客来牛排（成都温江新尚天地店）,风晶371,已经好久没吃过豪客来，今天来吃，感觉还是熟悉的味道。 唯一区别的是以前爱吃的小餐包变成了华夫饼。 牛排和玉米浓汤一如既往好吃，不过感觉意面的番茄酱少了点。 额外点了份柚子酱的鸡块，鸡块很大，不过只有几块，两个人一分就没啦。柚子酱太好吃了呜呜呜呜，吃完就开始淘宝柚子酱下单。 还送了两个小布丁，服务好评！
豪客来牛排（成都温江新尚天地店）,匿名用户,五分熟上来全部是全熟，味道也不好，汤喝了脑壳都晕，沙拉酱吃了一点就咸，服务员态度也不好，太难吃了还没海鲜牛排自助的好吃，每份牛排上来都是一样的全熟，牛肉也很散，撇
豪客来牛排（成都温江新尚天地店）,oUf679140738,还不错，味道可以强推喜马拉雅牛排
