店铺名称,用户名,评论
锦城大院火锅（大学城店）,匿名用户,菜品特别新鲜_锅底味道好吃的不得了。「#鸭肠」超脆_「#套餐：性价比很高4人套餐」店面重新装修过了，更加干净整洁啦，推荐前往
锦城大院火锅（大学城店）,郭郭郭郭猪,首先说服务员很热情去，没有因为美团团的就态度不好 锅底我要的特辣，很香的牛油味 价格也很便宜 适合朋友们小聚一下 好吃 爆赞
锦城大院火锅（大学城店）,歪请给我一口饭,"「#火锅」「#红汤锅底」「#土豆粉」「#雪花肥牛」「#爽口虾滑」「#冰粉」「#极品耗儿鱼」「#红糖糍粑」「#无骨凤爪」「#豆皮」「#大院肥牛」「#梅子酿」「#酸梅汤」
【服务】：大家都蛮热情的，去的时候不是高峰期，体验还可以

【口味】：挺好吃的，量也很足，团购券有优惠价性价比很高，记得那会还想买他家的火锅底料哈哈哈"
锦城大院火锅（大学城店）,匿名用户,环境比较干净，菜品也很实惠，点的套餐非常划算，海带芽很嫩，烫完过后特别好吃，汤也很香，打小料的豌豆很香，推荐肥牛和五花肉，一点也不腻，锅底真的太香了，这个价格很难不心动啊，点一个四人套餐再点个素菜我们直接吃到撑
锦城大院火锅（大学城店）,方物599,去吃过两次了，味道非常不错「#套餐：好久不见2人套餐」，菜品两个人吃的饱饱的，还有免费的蛋炒饭，很好吃，菜品的分量也行足，超级推荐，环境也不错，服务也很好哦，推荐推荐强烈推荐，必吃麻辣牛肉真对好吃，nice
锦城大院火锅（大学城店）,雾眠气泡水O,味道还是可以在美团上的套餐 俩个人吃的很撑 味道也还可以 去的时候人挺少的 不用排队 刚好是跨年那天去吃的 哈哈哈 老板人也还可以 就是环境一般啦 不过比较实惠 价格也很低 所以能接受 位置也还算好找 比较显眼 一下子就能找到啦
锦城大院火锅（大学城店）,kgb884868100,首先来说。卫生条件真的不好。桌子都没有擦干净。水哒哒的。第二。里面油烟味特别大特别呛。小孩子去吃饭根本受不了。第三。菜品不是很新鲜。我还是比较喜欢奥克斯和的城门口老火锅。统一牌子。环境卫生味道千差万别。我只是实话实说。请不要骚扰我。
锦城大院火锅（大学城店）,Wnx887668920,服务态度好，特别是两个帅哥，人长得帅服务态度又好，菜品新鲜， 值得大家去欣赏。
锦城大院火锅（大学城店）,yKe274855762,吃饱了但是感觉不知道吃了什么，总体一般吧。
锦城大院火锅（大学城店）,aLW229774434,菜量很足，这么一个套餐有9个荤菜和四个素菜很丰盛了，我们三个人去吃的都没吃完，素菜除了豆腐几乎没碰，荤菜也剩了一些，真的很足的量，这价格相当便宜了，味道也是不错的，服务方面也挺好。
锦城大院火锅（大学城店）,,
锦城大院火锅（大学城店）,我要抽闪耀,超级实惠的火锅，同学聚会的话来这里很棒
锦城大院火锅（大学城店）,XPv717298385,菜品不咋样，团购的四人餐，每份菜都挺少的，郡肝是串起的，没有吃到喜欢的菜
锦城大院火锅（大学城店）,富贵险中求9734,非常好，物美价廉，超级划算
锦城大院火锅（大学城店）,zzy372039709,这次就餐整体感觉很赞，比较满意的方面有：口味。
锦城大院火锅（大学城店）,aJA969742930,店里环境优美，麻辣牛肉温润爽口很是喜欢，和朋友们聊着家常，喝口小酒非常之巴适. 下次还会来选择这家，超级赞！！！！
