店铺名称,用户名,评论
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,ewl735013904,"【环境】鱼凫路上，不方便停车，可以骑车来，门店很明显亮眼，院内环境干净整洁，是一般吃饭餐厅中算卫生的，维护的不错👍🏻
【口味】锅底有红糖还有番茄🍅或高汤可选，味道可以，主要菜品新鲜，菜区干净，有阿姨维护整洁。一直在整理菜品，也很好，就是菜品好像比较少。

【性价比】有点小贵，但偶尔吃一次，也可以接受。

【服务】表扬服务阿姨，李大姐，动作麻利，很好，我们吃饭吃的好开心🥳整体体验很舒服，人很多但是有被服务到，没有因为人多就乱乱的。一进门就被招呼的到位！"
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,GqE828007250,菜品新鲜，味道不错，环境也挺好！
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,JAM118338303,店面整洁干净。但也有不合理的地方，比如下雨天去取菜，头顶没有遮雨的东西。服务还是可以的比较和蔼。食材比较新鲜，特别推荐他的牛肉系列，据说是牦牛 肉。这家店不光可以吃烫的串还可以吃烤串及小龙虾。
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,Lhp757857944,主要是院坝记忆牦牛串串的蔬菜和食材还是很新鲜的，环境也比较干净。
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,匿名用户,环境很好，菜品也很新鲜，回头客了就不用多说了
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,匿名用户,环境可以，价格贵，味道一般，服务可以
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,sunyu0918,整体还是很不错的，店铺升级后，一不小心餐标容易超标的
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,是罗大爷,位置不错 东西新鲜 总体来说还是不错的 还是推荐 有点小贵 有折扣就更好了
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,Taurus_瑶,没想到卖串串的地方让我找到了温江最好吃的小龙虾
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,gfmlzy,说实话，不是朋友没吃过我不会再去的地方，价格偏高，服务不行，以前去还有烧烤，现在生意好了烧烤也没了，以前虽然也感觉贵，但是分量还是不错，现在嘛，都懂，生意好了就开始想着赚钱了
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,,
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,神仙男友o,唯一优点是菜品比较丰富但是味道一般 还特别贵 我和女朋友2个人吃了270多 还没咋个吃
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,魔剑烈皇9527,又贵又少来了来了来了噜啦啦啦啦啦啦
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,aEE980787864,吃了晚饭去的，去尝尝味道，两个人没吃几串，150多，要是空腹去吃，哈哈起码300多，太贵了。
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,Alannnnnn862,环境不错，挺大的，菜品也新鲜！！
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,李木子木子李945,串串的品种特别多，味道也不错
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,李木子木子李945,串串的品种特别多，牛肉类也很特别
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,xpj12345,味道还是不错的，菜品新鲜，小贵
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,xpj12345,味道还是不错的，菜品比较新鲜，
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,BVv729788553,菜品新鲜，味道很好吃，服务太度以很好，价格以不貴。
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,浩海阔天空,菜品新鲜，环境不错，服务热情周到，还有很多小吃，味道不错
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,a万水千山,环境很不错！谁知道后院更大呢？哈哈！很经典的一家店，吃很多回了。
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,WDz22832040,味道好，服务好，环境改良后更具宽敞
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,依旧～_,味道口感非常不错，环境也可以，份量十足
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,PDK326161103,还不错。菜品新鲜。环境也挺干净
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,那个老男孩999,这次消费总体来说比较一般，提几点问题吧：口味不好，希望店家能有所改善。
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,卡布基若,装修不如不装修，越吃越贵，不推荐！
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,momodemami,非常美味、环境优美、服务超级热情给力。味道始终如一，不知道去了多少次，每次一提起吃串串就先到他们家，各种牛肉味道简直不要太美味了，还有耗儿鱼我的最爱。鸡脚鸡尖必拿菜品。银耳汤也很好喝。锅底也是一直很浓，不会到后面变淡
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,sunyu0918,老喜欢这家了，串串味道不错，龙虾也不错
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,sunyu0918,比较喜欢吃这家，味道很不错的。
院坝记忆牦牛串串·龙虾·烧烤（鱼凫路总店）,XXYY520138,味道超级赞，好喜欢他们家的牛肉，嫩滑不老，还有免费的粥和银耳汤，干碟也不错👍
