店铺名称,用户名,评论
雅府正红木桶鱼（杨柳河店）,NDe800517248,很满意的一次就餐体验，整体评价的话我觉得：总体来说店面位置非常好找，老顾客了，来了很多次啦。一直感觉服务好，用餐环境不错干净卫生，木桶鱼的味道小清新，菜品配搭秀色可餐，价格实惠好吃不贵，加油，冲冲冲。
雅府正红木桶鱼（杨柳河店）,Yqqyyqy,在美团团的双人餐，锅底是固定的藤椒锅底。 菜品：鲢鱼两斤，还不错，吃起来挺嫩的，蔬菜的份量比较少，蘸料可以自己提前打好。 木桶下面垫了一层滚烫的鹅卵石，然后把鱼倒进去，再把汤倒进去，等待鱼熟。同学说汤好喝，但是我没有喝。总体还可以，不过吃的辣的朋友可以点辣一点，中辣没有感觉。
雅府正红木桶鱼（杨柳河店）,raa564977748,服务还不错，没有因为用券怎么区别对待。上菜速度一般，没有想得那么久。第一次吃这个木桶鱼，形式新，而且味道还不错，麻麻的，原汤就好吃。另外，不能吃辣的话，点微辣完全可以哈，不会被辣到不舒服，就是最近吃有点热。
雅府正红木桶鱼（杨柳河店）,匿名用户,明明有好几个服务员，却让人觉得毫无服务可言，6点3分下的单，6点20才把单子打出来，单子上有打印时间，半天验证不起，浪费我们时间不说还觉得服务大妈特没礼貌。喝水杯子就更厉害了，两人用餐，其中一个杯子里面有点脏，这就算了，没想麻烦工作人员，自己去换了，结果刚买过来准备倒水，发现杯口外侧粘着菜，变色了，很恶心，这才跟接待的大妈说换一个，结果直到我们吃完饭杯子也没换来。 更离谱的是鱼，明明团购内容是鲢鱼，上上来明显是梭边鱼，服务的大妈问，她死活不承认，说是鲢鱼，真把消费者当猴耍啊？！你死不认账我们也懒得理论，自己什么货自己清楚！以前经常点他家外卖，堂食吃过几次，这次绝对是最后一次，这也太恶心人了。
雅府正红木桶鱼（杨柳河店）,我是超级小仙女呦,实在等了太久了，他家没有那种意识，做事情松垮垮的，我没见过这样的服务员，不招呼不安排。都是我自己问要的碗筷和在哪里打碟，问了她们还不怎么搭理我，我连续喊了她们好几次，他们才过来回答，简直服了。我点的四人份的鱼，结果三个人吃一点都不够，还说三斤，估计只有1斤吧，反正再也不想再来这家店
雅府正红木桶鱼（杨柳河店）,TyG713367441,首先，进了店也没人搭理你，也没人带你去座位，就指一下。点了一个黔鱼3斤多，结果端上桌来就一盘，盘子也不大，就缺斤少两吧。等鱼下锅后，溅出一圈汤汁也不管，自己动手擦吧。吃的时候刚开始吃着还行，后面就越吃越不好吃，跟面粉一样，而且我不明白一只鱼有多少个鱼头，就吃了5-6个半个鱼头，吃到后面实在受不了了，最后两个人吃了一百多，总之体验很差，也不值这个价
雅府正红木桶鱼（杨柳河店）,时安time,他们家生意非常好，我特地提前预约的。，来了就可以吃。
雅府正红木桶鱼（杨柳河店）,XcJ600935670,物美价廉，特别好吃，来了很多次了，我个人特别喜欢吃鱼，这个木桶鱼很有特色。一级棒，特别棒。一级棒，已经来过很多次了，百吃不厌。还会继续来的。 【环境】环境还是不错的，有两层可以提供选择。 「#木桶河鲢」真的很好吃！！！
雅府正红木桶鱼（杨柳河店）,咆哮三天888,这个木桶鱼是温江大学城最好的口味了，虽然说附近也有几家，但是这一家我觉得是最好的，因为我一直在这里吃，吃了好多好多次了，简直是老熟客了，每次都在这里吃，地理位置好，环境好，口味好，而且服务很周到，店面也挺好的，大概78年前就开始在这吃了，陆陆续续的吃了很多回了，我推荐给大家，这是一个好地方，你来了吃了，绝对会觉得物超所值
雅府正红木桶鱼（杨柳河店）,xQf752126578,本来就是老顾客，之前让办会员说有会员价还送菜，今天过来却说没有送菜也没有会员价。希望诚信经营。
