店铺名称,用户名,评论
香街坊汤锅馆（国色天乡店）,QBU473958035,今晚来个养生局吗？ #打卡香街坊汤锅馆#板栗鸡汤锅⭐⭐⭐⭐⭐ 又来温江，看了看点评，最终寻觅到了这家香街坊汤锅馆，刚开始还有点担心会不会环境不好啊，会不会味道不好啊，会不会服务不好啊…来了之后发现，完全不用担心！进门就感受到阿姨的热情，说是用美团也非常热情的接待！环境也很安静干净并且挺好看的！味道很巴适，特别好吃，养生汤好好喝啊，在工作一般都点外卖，时不时约上三五好友组一个养生局是特别美好的事情！大家快来冲，温江的朋友有机会强烈推荐来试试！
香街坊汤锅馆（国色天乡店）,木马sonia,坐标西财，大学四年钟爱板栗鸡汤，来了不下十次。毕业之前看到美团有券，和同学抓紧时间来吃～汤里的肉，板栗，和配的蔬菜分量都超级足，还点了玉米烙饼，真的强推，味道很清甜！蘸料一如既往的种类丰富。烙饼过程，阿姨一直都是热情的，有求必应。希望老板生意越做越好吧，以后有机会返校还要继续来吃～
香街坊汤锅馆（国色天乡店）,小猴子丫,环境宽敞，整洁。干净卫生，味道不错，锅边馍馍有特色，汤锅味道很好，很鲜美，我们点的虫草花鸭子汤，份量很足，服务员态度好，建议吃多少点多少，汤锅份量很足。菜品多，新鲜，服务员建议我们不要点多了，值得过来！
香街坊汤锅馆（国色天乡店）,匿名用户,菜品健康，环境很好，价格实惠 非常不错，味道棒棒哒，环境卫生干净，菜品又新鲜，强烈推荐这店。第一次来这边尝尝一口。离国色天香那边又不远啦。方便去国色天香那边吃喝玩。太给力啊。服务员也好，态度很受欢迎。下次还来
香街坊汤锅馆（国色天乡店）,陈奕迅的陈c,「#套餐：2 人特色汤锅」两个人吃分量很合适  味道清淡又不失味道 还赠送了一份锅边馍也很好吃 老板娘人很好 服务的阿姨态度也很好   环境不错 干净  两个人秒杀五十多块钱很划算 下次还会再来 位置也很好找 跟着地图走 就在路边上 很棒
香街坊汤锅馆（国色天乡店）,BMr893764316,味道真的不错，朋友都喜欢吃。今天还是比较幸运的，去了没有排队，坐下之后人瞬间好多。涮菜吃的时候味道好极了，分量绝对是够的，老板娘也特别温柔可爱ớ ₃ờ爱了爱了………………
香街坊汤锅馆（国色天乡店）,ekr108606445,点的两人套餐，另外加了玉米饼。分量很足，两个人吃足够了。他们很辛苦，随锅赠送了很多菌子。乌骨鸡很不错肉不柴。玉米饼外酥里嫩甜甜的很好吃，香辣酱是重点超棒，服务态度也很好。
香街坊汤锅馆（国色天乡店）,多多要奋斗！,餐馆环境很好，上菜速度很快，服务员的服务也很到位，美团上的双人餐非常划算，还赠送了一盘现炸酥肉，就是板栗鸡汤送了一些菌子，一开始没有板栗的味道，后面煮久一点慢慢出了味道，总体来说非常划算，值得推荐，就在西财东门旁边。
香街坊汤锅馆（国色天乡店）,qOx637767948,第三次来吃，玉米馍馍真的很好吃，甜甜的，汤也很好喝，里面鸡肉和板栗都很多，板栗都没吃完，里面的蘑菇很好吃，特别是海鲜菇，海带煮在里面也没腥味，很鲜，还点了冬瓜和白菜，特别说一句调沾碟的时候特别推荐那个辣的酱，一绝
香街坊汤锅馆（国色天乡店）,BMr893764316,"此次用餐总体来说不错，觉得比较认可的地方有：口味、环境、性价比、服务、锅一上桌就让人非常有食欲，香气浓郁，非常诱人
而且用料十分新鲜，给的量也很足，性价比超级高。

下次有机会一定会再来。"
