店铺名称,用户名,评论
鱼契·烤鱼（西南财大总店）,上善若水879,鱼契的烤鱼是百吃不厌，除了蒜香味个人不太喜欢，（没有一点辣味，适合口味清淡的）。偏爱子姜混椒味。里面的姜丝都给吃完了。就是垫的魔芋太多了，能不能换点别的蔬菜呢？前台的小吃任意自取，酸梅汁汤里面货真价实有很多山楂，不是那种酸梅粉冲的。味道好极了。
鱼契·烤鱼（西南财大总店）,hQx831844805,「#干锅香辣鱿鱼须」「#特色烤串」「#招牌烤鱼」 和姐姐一起来过一次，也和朋友来了一次，味道不错，比很多地方都好了，喜欢装修 【环境】环境非常好，装潢很有格调，很喜欢。 【口味】口味也还不错 【服务】挺好的 【性价比】挺高的
鱼契·烤鱼（西南财大总店）,西城的老街巷,第一次来鱼契·烤鱼(西南财大总店)品尝美味！选择的是麻辣味的烤鱼。烤鱼非常入味，色泽鲜艳，口感极佳！使用团购非常方便，去的时候店内顾客不多，所以上餐速度很快，总体来说非常满意，以后有时间还会再次购买体验！
鱼契·烤鱼（西南财大总店）,jgq906908521,鱼契和其他烤鱼不太一样，感觉鱼更新鲜一些，味道选择比较多，肉嫩多汁，服务态度很好，就是有时候需要等位，鱼现烤要等些时间，「#套餐：情侣烤鱼双人餐」「#玉米饼」「#烤鱼」烤五花好吃，下回可以试试烧烤和干锅之类的。。。。
鱼契·烤鱼（西南财大总店）,桜井田橙,是朋友推荐的一家店，说是非常适合情侣的！ 有很多种味道，我们点的是泡椒，感觉很好吃，非常下饭哈哈哈哈， 玉米饼味道不错，酸梅汤也不错，五花肉也是不够吃呀！ 吃到最后的时候土豆焦焦的我觉得很好吃 综合:口味，环境，服务，我觉得性价比还是蛮高的
鱼契·烤鱼（西南财大总店）,vrR878935507,「#套餐：超值烤鱼三至四人餐」 环境很不错，菜品也挺美味的，香辣烤鱼也很可口，不是很辣，玉米饼很好吃，值得五星好评！！ 但是烤鱼上菜稍微有点慢了哟，在吃烤鱼之前就吃了很多小食，吃的有点饱了，希望可以上菜更快些
鱼契·烤鱼（西南财大总店）,奈斯46569,太绝了，只有那么好吃了，而且好划算哦，感觉特别便宜，性价比很高，店员的服务态度也很好，会帮你收东西拿东西之类的，环境也很不错，干净卫生，鱼都是现杀的，我朋友不吃鱼的都吃了好多，鱼的刺也不多，真的非常推荐！！！！
鱼契·烤鱼（西南财大总店）,匿名用户,已经来吃第二次了，这家烤鱼的味道算是大学城比较好的，分量也很足，在网上定套餐算是很便宜的，还可以在店里加自己喜欢的菜品，肉沫茄子的味道非常赞。环境很好，而且麻辣口味很不错，性价比也很高，还有一些小零食可以免费吃。
鱼契·烤鱼（西南财大总店）,Vot926600426,「#套餐：情侣烤鱼双人餐」「#烤鱼」 【口味】不好吃，烤鱼一点味道都没有，里面的素菜又很咸，真的难吃，三个人只吃了一点，菜很少，鱼肉也少，再不回来了 【口味 【环境】环境好是唯一的优点 【服务】一般，跟谁欠他钱一样臭着一张脸不耐烦 【性价比】低，吃点啥不好
鱼契·烤鱼（西南财大总店）,匿名用户,"上次点了份双人套餐，额外点了两份玉米饼，没上，我们也没说什么，就几块钱。
这次又弄错了，多上了份鸡中翅，然后扭扭捏捏徘徊半天又给撤掉了。
倒也不在于两块鸡中翅，但是我们吃着吃着突然旁边撤掉，不考虑一下客人的心情吗？
难道格局就这么小，只能少上不能多上，不能送了算了？谁在乎这几块钱，但你已经开吃了还当面拿走，真是无语死了。
"
鱼契·烤鱼（西南财大总店）,,
鱼契·烤鱼（西南财大总店）,一只香芋派,挺好吃的！第一次吃这种蒜蓉味的烤鱼，感觉老少皆宜咸淡合适，玉米饼很赞
鱼契·烤鱼（西南财大总店）,clwcx,生意好排队排了很久理解！点完餐等了接近一个小时……很多人都在催菜，等得真的不耐烦，点的菜吃完了还没上齐！说好了把没上的菜钱原路退换到微信，也没退 就很无语哦！上菜慢就不要接那么多人 ……饭店大家都在哪里饿着等菜 ！味道还是不错的  吃了好几次
鱼契·烤鱼（西南财大总店）,梦遗少年丨,"有一说一，环境还可以，上菜具慢，等了将近一小时，自己看我下单时间和上菜时间，将近一个小时,怕是现钓的鱼吧。"
鱼契·烤鱼（西南财大总店）,匿名用户,在他们家吃过很多次了，确实好吃！
鱼契·烤鱼（西南财大总店）,匿名用户,很满意的一次就餐体验，整体评价的话我觉得：性价比。性价比极高 味道非常不错，是和好朋友一起聚餐的好地方，非常可以去尝试，新客户还可以有优惠，在美团上面会更便宜一些，鱼的大小可能会有些差异，尽量点大一点，小了可能会不够哈哈哈。
鱼契·烤鱼（西南财大总店）,EDh879400619,才开没多久，卫生很好，很干净。环境也是很不错的哦，推荐大家来这里，吃的是麻辣的，下次可以试一下蒜蓉的看这也很不错，玉米饼一般般，酥肉还是可以的
鱼契·烤鱼（西南财大总店）,Qpw590983994,好好好好好好好好好好好好好好好好好好好好好好好好好好陪陪他每次辅导孩子家庭作业爸爸辅导孩子作业总是很多的谎我们女儿常常会辅导小孩很多噢辅导都是这样做起来我们都已经看到了吗……这里也很重要了……不想做自己想做什么工作了……在乎过的人
鱼契·烤鱼（西南财大总店）,飞翔的小马猪,还不错反正我们两个人吃味道还可以
鱼契·烤鱼（西南财大总店）,Otsan_,干锅和掌中宝真的还不错好吃，其他就都一般般，那个地是真有点滑差点摔倒，干锅分量还不错，鱼就有点少
鱼契·烤鱼（西南财大总店）,YfM526371920,味道相当好，烤鱼鲜嫩入味，酸梅汤真材实料！
鱼契·烤鱼（西南财大总店）,Luo5353,三个人吃吃撑了 味道不错 烤鱼很入味 干锅排骨超好吃 最爱酸梅汤 酸梅汤真的必点 太好喝了 我们喝的就剩渣了哈哈哈
