,Unnamed: 0,Unnamed: 0.1,店铺名称,用户名,评论,scores,res
28784,28784,0,江南道自助烤肉海鲜涮锅（柳浪湾店）,vZs846144283,在西财那边和新尚天地这里的都吃过，味道真的一绝，特别是里面各种肉类，超级美味，寝室团建我们可以吃一下午，里面的小蛋糕和泡芙很不错，很快就没有了，炸鸡腿还是鸡翅根很好吃不油腻，新尚的那家饮品比西财这边多，装修也要好一些，但是西财的要便宜一点，强烈推荐里面的肉类绝绝子,14.8,1
28785,28785,1,江南道自助烤肉海鲜涮锅（柳浪湾店）,HeS153085382,人超级超级多，所以服务完全是马马虎虎，六点左右去都已经没有里面的位置了，只是外面的，位置很打挤，菜品特别是五花肉还需要排队，喜欢吃烤肉的还是很值得去的，如果想要好位置的话得早早去，不然就没有可选择性了,11.875,1
28786,28786,2,江南道自助烤肉海鲜涮锅（柳浪湾店）,qsl522523970,就是距离太远了，平时也不好聚，真的强烈推荐性价比超级高，就是晚了就要等很久排队，毕竟生意好，真的很nice，怎么吃都行，只要不浪费就行，生蚝扇贝永远的神，还有烤肉和生菜，很nice，熟食和甜点我到不怎么吃,5.0,1
28787,28787,3,江南道自助烤肉海鲜涮锅（柳浪湾店）,qsl522523970,很不错，指着自己喜欢的来吃，非常不错，肥瘦相间配生菜，还有花甲，生蚝扇贝都是最喜欢的，然后还有水果，水果很抢手啊，还拿了点熟食，我们也吃了很多次了，每次都只想着来这家吃，就是离太远了，以前还在学校就近,9.0,1
28788,28788,4,江南道自助烤肉海鲜涮锅（柳浪湾店）,qsl522523970,每次都会来吃，跟室友跟男朋友， 【口味】口味都很nice 【环境】环境也非常不错，特别热闹 【服务】服务也不错，就是排队要蛮久 【性价比】性价比真的很nice「#水果蔬菜」还是蛮多人喜欢拿的 供不应求「#西瓜」夏天就应该吃西瓜超nice的,5.0,1
28789,28789,5,江南道自助烤肉海鲜涮锅（柳浪湾店）,吃吃吃！买！！,好久没有去学校，这边的江南到了，这次来吃，味道还是不错的，菜品也比以前丰富了很多，就是完全吃不下太多吃的了，菜品也是不断的更新，补充上肥牛那些一出来就被抢完了，人也特别的多，还有各种饮料和小吃，冰激凌也是有的，但是我不是很喜欢这里的冰淇淋，其他的很不错。好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃。,19.75,1
28790,28790,6,江南道自助烤肉海鲜涮锅（柳浪湾店）,Mmm724433901,太无语了，吃完就拉稀了，拉爆，太无语了，在也不想吃这家了，但是服务态度很好，只是菜品真的是有问题，便秘的朋友可以来吃，包治便秘，从来没有喷射的这么厉害过👍真的无语了，半个小时拉了5次了，没有吃的都拉出来了,-3.0,-1
28791,28791,7,江南道自助烤肉海鲜涮锅（柳浪湾店）,吹来人间烟火.263,第一次去，美团上看着评分高就去了，结果去就吃到钢丝球，悄悄给那里的服务员说了，他们也只是说了“不好意思哈”，然后把钢丝球拿走了。挺不舒服的，味道一般，太咸了,-2.2,-1
28792,28792,8,江南道自助烤肉海鲜涮锅（柳浪湾店）,VVg275473434,味道很棒，感觉也不是拿差的东西来充数，就是饮料选择有点少，但是总体上还是不错的，值得来试一试,0.3999999999999999,1
28793,28793,9,江南道自助烤肉海鲜涮锅（柳浪湾店）,ZZh931835296,超级喜欢的，毕业了也来吃，不过就是人比较多哈哈哈，牛肉有点太咸哦，其他很棒哦！,13.45,1
28794,28794,11,江南道自助烤肉海鲜涮锅（柳浪湾店）,可爱胡一巴,还不错，挺便宜的，服务也不错。,4.0,1
28795,28795,12,江南道自助烤肉海鲜涮锅（柳浪湾店）,木与土吖,菜品很新鲜哦~种类也很多~ 最近很迷赶海视频~烤了几轮都是海鲜~ 快来get自制铁板鱿鱼烧叭~ 水果超级新鲜~西瓜哈密瓜都挺甜~ 还解锁了一个新的小吃~泡椒鱼皮~QQ嘚~大家可以试一试哦~ 阿姨服务也特别好~换纸都不用喊~ 就是回到宿舍了身上的烤肉味还浓浓的...,8.2,1
28796,28796,13,江南道自助烤肉海鲜涮锅（柳浪湾店）,长腿FENG,特别满意，菜品丰富，新鲜，里面工作人员态度非常好，值得推荐，！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,311.0,1
28797,28797,14,江南道自助烤肉海鲜涮锅（柳浪湾店）,uIQ676752498,菜品种类丰富，用餐环境干净，服务态度很好，味道好吃，份量也很足，菠萝啤超好喝很爽口，凉面、炸鸡、薯条等小吃丰富，海鲜品种丰富，腌料入味，总体味道很不错，人很多但没有等，黄粑烤了以后超香，好吃(｢･ω･)｢嘿，推荐！,17.5,1
28798,28798,15,江南道自助烤肉海鲜涮锅（柳浪湾店）,Pxs707949933,已经去了不知道多少次了，超级喜欢的酱鸭肠，每次去都吃好多   味道真挺好，服务也可以,2.0,1
28799,28799,16,江南道自助烤肉海鲜涮锅（柳浪湾店）,十二baisu,很值很好吃的一家自助，菜品丰富海鲜多 ，用餐环境也不错，服务态度很好，推荐烤五花肉，烤生蚝，泡芙也很好吃，还有海星，味道不错子，该有的东西都有，菜品很齐全。和寝室好友去的，她们都觉得很好吃，想下次聚餐的时候也吃这家，不愧是排行第一的自助!,18.0,1
